Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Houston,W117-107,1-0,107.0,117.0,10.0,10.0
2022-10-19,vs Houston,W117-107,1-0,107.0,117.0,10.0,10.0
2022-10-20,vs Houston,W117-107,1-0,107.0,117.0,10.0,10.0
2022-10-21,vs Orlando,W108-98,2-0,98.0,108.0,10.0,20.0
2022-10-22,vs Orlando,W108-98,2-0,98.0,108.0,10.0,20.0
2022-10-23,vs Charlotte,L126-109,2-1,126.0,109.0,-17.0,3.0
2022-10-24,vs Charlotte,L126-109,2-1,126.0,109.0,-17.0,3.0
2022-10-25,vs Charlotte,L126-109,2-1,126.0,109.0,-17.0,3.0
2022-10-26,@ Detroit,W118-113,3-1,113.0,118.0,5.0,8.0
2022-10-27,@ Detroit,W118-113,3-1,113.0,118.0,5.0,8.0
2022-10-28,@ Detroit,W136-112,4-1,112.0,136.0,24.0,32.0
2022-10-29,@ Milwaukee,L123-115,4-2,123.0,115.0,-8.0,24.0
2022-10-30,@ Milwaukee,L123-115,4-2,123.0,115.0,-8.0,24.0
2022-10-31,@ Toronto,L139-109,4-3,139.0,109.0,-30.0,-6.0
2022-11-01,@ Toronto,L139-109,4-3,139.0,109.0,-30.0,-6.0
2022-11-02,@ New York,W112-99,5-3,99.0,112.0,13.0,7.0
2022-11-03,@ New York,W112-99,5-3,99.0,112.0,13.0,7.0
2022-11-04,@ New York,W112-99,5-3,99.0,112.0,13.0,7.0
2022-11-05,vs New Orleans,W124-121 OT,6-3,121.0,124.0,3.0,10.0
2022-11-06,vs New Orleans,W124-121 OT,6-3,121.0,124.0,3.0,10.0
2022-11-07,vs Milwaukee,W117-98,7-3,98.0,117.0,19.0,29.0
2022-11-08,vs Milwaukee,W117-98,7-3,98.0,117.0,19.0,29.0
2022-11-09,vs Utah,L125-119,7-4,125.0,119.0,-6.0,23.0
2022-11-10,vs Philadelphia,W104-95,8-4,95.0,104.0,9.0,32.0
2022-11-11,vs Philadelphia,W104-95,8-4,95.0,104.0,9.0,32.0
2022-11-12,@ Philadelphia,L121-109,8-5,121.0,109.0,-12.0,20.0
2022-11-13,@ Philadelphia,L121-109,8-5,121.0,109.0,-12.0,20.0
2022-11-14,@ Milwaukee,W121-106,9-5,106.0,121.0,15.0,35.0
2022-11-15,@ Milwaukee,W121-106,9-5,106.0,121.0,15.0,35.0
2022-11-16,vs Boston,L126-101,9-6,126.0,101.0,-25.0,10.0
2022-11-17,vs Boston,L126-101,9-6,126.0,101.0,-25.0,10.0
2022-11-18,vs Boston,L126-101,9-6,126.0,101.0,-25.0,10.0
2022-11-19,vs Toronto,W124-122 OT,10-6,122.0,124.0,2.0,12.0
2022-11-20,vs Toronto,W124-122 OT,10-6,122.0,124.0,2.0,12.0
2022-11-21,@ Cleveland,L114-102,10-7,114.0,102.0,-12.0,0.0
2022-11-22,@ Cleveland,L114-102,10-7,114.0,102.0,-12.0,0.0
2022-11-23,vs Sacramento,W115-106,11-7,106.0,115.0,9.0,9.0
2022-11-24,vs Sacramento,W115-106,11-7,106.0,115.0,9.0,9.0
2022-11-25,@ Houston,L128-122,11-8,128.0,122.0,-6.0,3.0
2022-11-26,@ Houston,L128-122,11-8,128.0,122.0,-6.0,3.0
2022-11-27,vs Miami,L106-98,11-9,106.0,98.0,-8.0,-5.0
2022-11-28,@ Philadelphia,L104-101,11-10,104.0,101.0,-3.0,-8.0
2022-11-29,@ Philadelphia,L104-101,11-10,104.0,101.0,-3.0,-8.0
2022-11-30,@ Orlando,W125-108,12-10,108.0,125.0,17.0,9.0
2022-12-01,@ Orlando,W125-108,12-10,108.0,125.0,17.0,9.0
2022-12-02,vs Denver,W117-109,13-10,109.0,117.0,8.0,17.0
2022-12-03,vs Denver,W117-109,13-10,109.0,117.0,8.0,17.0
2022-12-04,vs Denver,W117-109,13-10,109.0,117.0,8.0,17.0
2022-12-05,vs Oklahoma City,L121-114,13-11,121.0,114.0,-7.0,10.0
2022-12-06,vs Oklahoma City,L121-114,13-11,121.0,114.0,-7.0,10.0
2022-12-07,@ New York,L113-89,13-12,113.0,89.0,-24.0,-14.0
2022-12-08,@ New York,L113-89,13-12,113.0,89.0,-24.0,-14.0
2022-12-09,@ Brooklyn,L120-116,13-13,120.0,116.0,-4.0,-18.0
2022-12-10,@ Brooklyn,L120-116,13-13,120.0,116.0,-4.0,-18.0
2022-12-11,vs Chicago,W123-122 OT,14-13,122.0,123.0,1.0,-17.0
2022-12-12,@ Memphis,L128-103,14-14,128.0,103.0,-25.0,-42.0
2022-12-13,@ Memphis,L128-103,14-14,128.0,103.0,-25.0,-42.0
2022-12-14,@ Orlando,L135-124,14-15,135.0,124.0,-11.0,-53.0
2022-12-15,@ Orlando,L135-124,14-15,135.0,124.0,-11.0,-53.0
2022-12-16,@ Charlotte,W125-106,15-15,106.0,125.0,19.0,-34.0
2022-12-17,@ Charlotte,W125-106,15-15,106.0,125.0,19.0,-34.0
2022-12-18,@ Charlotte,W125-106,15-15,106.0,125.0,19.0,-34.0
2022-12-19,vs Orlando,W126-125,16-15,125.0,126.0,1.0,-33.0
2022-12-20,vs Orlando,W126-125,16-15,125.0,126.0,1.0,-33.0
2022-12-21,vs Chicago,L110-108,16-16,110.0,108.0,-2.0,-35.0
2022-12-22,vs Chicago,L110-108,16-16,110.0,108.0,-2.0,-35.0
2022-12-23,vs Detroit,W130-105,17-16,105.0,130.0,25.0,-10.0
2022-12-24,vs Detroit,W130-105,17-16,105.0,130.0,25.0,-10.0
2022-12-25,vs Detroit,W130-105,17-16,105.0,130.0,25.0,-10.0
2022-12-26,vs Detroit,W130-105,17-16,105.0,130.0,25.0,-10.0
2022-12-27,@ Indiana,L129-114,17-17,129.0,114.0,-15.0,-25.0
2022-12-28,vs Brooklyn,L108-107,17-18,108.0,107.0,-1.0,-26.0
2022-12-29,vs Brooklyn,L108-107,17-18,108.0,107.0,-1.0,-26.0
2022-12-30,vs Los Angeles,L130-121,17-19,130.0,121.0,-9.0,-35.0
2022-12-31,vs Los Angeles,L130-121,17-19,130.0,121.0,-9.0,-35.0
2023-01-01,vs Los Angeles,L130-121,17-19,130.0,121.0,-9.0,-35.0
2023-01-02,@ Golden State,L143-141 2OT,17-20,143.0,141.0,-2.0,-37.0
2023-01-03,@ Golden State,L143-141 2OT,17-20,143.0,141.0,-2.0,-37.0
2023-01-04,@ Sacramento,W120-117,18-20,117.0,120.0,3.0,-34.0
2023-01-05,@ Sacramento,W120-117,18-20,117.0,120.0,3.0,-34.0
2023-01-06,@ Los Angeles,L130-114,18-21,130.0,114.0,-16.0,-50.0
2023-01-07,@ Los Angeles,L130-114,18-21,130.0,114.0,-16.0,-50.0
2023-01-08,@ LA,W112-108,19-21,108.0,112.0,4.0,-46.0
2023-01-09,@ LA,W112-108,19-21,108.0,112.0,4.0,-46.0
2023-01-10,@ LA,W112-108,19-21,108.0,112.0,4.0,-46.0
2023-01-11,vs Milwaukee,L114-105,19-22,114.0,105.0,-9.0,-55.0
2023-01-12,vs Milwaukee,L114-105,19-22,114.0,105.0,-9.0,-55.0
2023-01-13,@ Indiana,W113-111,20-22,111.0,113.0,2.0,-53.0
2023-01-14,@ Toronto,W114-103,21-22,103.0,114.0,11.0,-42.0
2023-01-15,@ Toronto,W114-103,21-22,103.0,114.0,11.0,-42.0
2023-01-16,vs Miami,W121-113,22-22,113.0,121.0,8.0,-34.0
2023-01-17,vs Miami,W121-113,22-22,113.0,121.0,8.0,-34.0
2023-01-18,@ Dallas,W130-122,23-22,122.0,130.0,8.0,-26.0
2023-01-19,@ Dallas,W130-122,23-22,122.0,130.0,8.0,-26.0
2023-01-20,vs New York,W139-124,24-22,124.0,139.0,15.0,-11.0
2023-01-21,vs Charlotte,L122-118,24-23,122.0,118.0,-4.0,-15.0
2023-01-22,vs Charlotte,L122-118,24-23,122.0,118.0,-4.0,-15.0
2023-01-23,@ Chicago,L111-100,24-24,111.0,100.0,-11.0,-26.0
2023-01-24,@ Chicago,L111-100,24-24,111.0,100.0,-11.0,-26.0
2023-01-25,@ Oklahoma City,W137-132,25-24,132.0,137.0,5.0,-21.0
2023-01-26,@ Oklahoma City,W137-132,25-24,132.0,137.0,5.0,-21.0
2023-01-27,@ Oklahoma City,W137-132,25-24,132.0,137.0,5.0,-21.0
2023-01-28,vs LA,L120-113,25-25,120.0,113.0,-7.0,-28.0
2023-01-29,vs LA,L120-113,25-25,120.0,113.0,-7.0,-28.0
2023-01-30,@ Portland,L129-125,25-26,129.0,125.0,-4.0,-32.0
2023-01-31,@ Portland,L129-125,25-26,129.0,125.0,-4.0,-32.0
2023-02-01,@ Phoenix,W132-100,26-26,100.0,132.0,32.0,0.0
2023-02-02,@ Phoenix,W132-100,26-26,100.0,132.0,32.0,0.0
2023-02-03,@ Utah,W115-108,27-26,108.0,115.0,7.0,7.0
2023-02-04,@ Denver,L128-108,27-27,128.0,108.0,-20.0,-13.0
2023-02-05,@ Denver,L128-108,27-27,128.0,108.0,-20.0,-13.0
2023-02-06,@ Denver,L128-108,27-27,128.0,108.0,-20.0,-13.0
2023-02-07,@ New Orleans,L116-107,27-28,116.0,107.0,-9.0,-22.0
2023-02-08,@ New Orleans,L116-107,27-28,116.0,107.0,-9.0,-22.0
2023-02-09,vs Phoenix,W116-107,28-28,107.0,116.0,9.0,-13.0
2023-02-10,vs Phoenix,W116-107,28-28,107.0,116.0,9.0,-13.0
2023-02-11,vs San Antonio,W125-106,29-28,106.0,125.0,19.0,6.0
2023-02-12,vs San Antonio,W125-106,29-28,106.0,125.0,19.0,6.0
2023-02-13,@ Charlotte,L144-138,29-29,144.0,138.0,-6.0,0.0
2023-02-14,@ Charlotte,L144-138,29-29,144.0,138.0,-6.0,0.0
2023-02-15,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-16,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-17,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-18,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-19,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-20,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-21,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-22,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-23,vs New York,L122-101,29-30,122.0,101.0,-21.0,-21.0
2023-02-24,vs Cleveland,W136-119,30-30,119.0,136.0,17.0,-4.0
2023-02-25,vs Cleveland,W136-119,30-30,119.0,136.0,17.0,-4.0
2023-02-26,vs Brooklyn,W129-127,31-30,127.0,129.0,2.0,-2.0
2023-02-27,vs Brooklyn,W129-127,31-30,127.0,129.0,2.0,-2.0
2023-02-28,vs Washington,L119-116,31-31,119.0,116.0,-3.0,-5.0
2023-03-01,vs Washington,L119-116,31-31,119.0,116.0,-3.0,-5.0
2023-03-02,vs Washington,L119-116,31-31,119.0,116.0,-3.0,-5.0
2023-03-03,vs Portland,W129-111,32-31,111.0,129.0,18.0,13.0
2023-03-04,@ Miami,L117-109,32-32,117.0,109.0,-8.0,5.0
2023-03-05,@ Miami,L117-109,32-32,117.0,109.0,-8.0,5.0
2023-03-06,@ Miami,L130-128,32-33,130.0,128.0,-2.0,3.0
2023-03-07,@ Miami,L130-128,32-33,130.0,128.0,-2.0,3.0
2023-03-08,@ Washington,W122-120,33-33,120.0,122.0,2.0,5.0
2023-03-09,@ Washington,W122-120,33-33,120.0,122.0,2.0,5.0
2023-03-10,@ Washington,W114-107,34-33,107.0,114.0,7.0,12.0
2023-03-11,vs Boston,L134-125,34-34,134.0,125.0,-9.0,3.0
2023-03-12,vs Boston,L134-125,34-34,134.0,125.0,-9.0,3.0
2023-03-13,vs Minnesota,L136-115,34-35,136.0,115.0,-21.0,-18.0
2023-03-14,vs Minnesota,L136-115,34-35,136.0,115.0,-21.0,-18.0
2023-03-15,vs Minnesota,L136-115,34-35,136.0,115.0,-21.0,-18.0
2023-03-16,vs Minnesota,L136-115,34-35,136.0,115.0,-21.0,-18.0
2023-03-17,vs Golden State,W127-119,35-35,119.0,127.0,8.0,-10.0
2023-03-18,vs Golden State,W127-119,35-35,119.0,127.0,8.0,-10.0
2023-03-19,@ San Antonio,L126-118,35-36,126.0,118.0,-8.0,-18.0
2023-03-20,@ San Antonio,L126-118,35-36,126.0,118.0,-8.0,-18.0
2023-03-21,vs Detroit,W129-107,36-36,107.0,129.0,22.0,4.0
2023-03-22,@ Minnesota,L125-124,36-37,125.0,124.0,-1.0,3.0
2023-03-23,@ Minnesota,L125-124,36-37,125.0,124.0,-1.0,3.0
2023-03-24,@ Minnesota,L125-124,36-37,125.0,124.0,-1.0,3.0
2023-03-25,vs Indiana,W143-130,37-37,130.0,143.0,13.0,16.0
2023-03-26,vs Memphis,L123-119,37-38,123.0,119.0,-4.0,12.0
2023-03-27,vs Memphis,L123-119,37-38,123.0,119.0,-4.0,12.0
2023-03-28,vs Cleveland,W120-118,38-38,118.0,120.0,2.0,14.0
2023-03-29,vs Cleveland,W120-118,38-38,118.0,120.0,2.0,14.0
2023-03-30,vs Cleveland,W120-118,38-38,118.0,120.0,2.0,14.0
2023-03-31,@ Brooklyn,L124-107,38-39,124.0,107.0,-17.0,-3.0
2023-04-01,@ Brooklyn,L124-107,38-39,124.0,107.0,-17.0,-3.0
2023-04-02,vs Dallas,W132-130 OT,39-39,130.0,132.0,2.0,-1.0
2023-04-03,vs Dallas,W132-130 OT,39-39,130.0,132.0,2.0,-1.0
2023-04-04,@ Chicago,W123-105,40-39,105.0,123.0,18.0,17.0
2023-04-05,vs Washington,W134-116,41-39,116.0,134.0,18.0,35.0
2023-04-06,vs Washington,W134-116,41-39,116.0,134.0,18.0,35.0
2023-04-07,vs Philadelphia,L136-131 OT,41-40,136.0,131.0,-5.0,30.0
2023-04-08,vs Philadelphia,L136-131 OT,41-40,136.0,131.0,-5.0,30.0
2023-04-09,@ Boston,L120-114,41-41,120.0,114.0,-6.0,24.0
