Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs New Orleans,L130-108,0-1,130.0,108.0,-22.0,-22.0
2022-10-19,vs New Orleans,L130-108,0-1,130.0,108.0,-22.0,-22.0
2022-10-20,vs New Orleans,L130-108,0-1,130.0,108.0,-22.0,-22.0
2022-10-21,vs Toronto,W109-105,1-1,105.0,109.0,4.0,-18.0
2022-10-22,vs Toronto,W109-105,1-1,105.0,109.0,4.0,-18.0
2022-10-23,vs Toronto,W109-105,1-1,105.0,109.0,4.0,-18.0
2022-10-24,@ Memphis,L134-124,1-2,134.0,124.0,-10.0,-28.0
2022-10-25,@ Memphis,L134-124,1-2,134.0,124.0,-10.0,-28.0
2022-10-26,@ Milwaukee,L110-99,1-3,110.0,99.0,-11.0,-39.0
2022-10-27,vs Dallas,L129-125 OT,1-4,129.0,125.0,-4.0,-43.0
2022-10-28,vs Dallas,L129-125 OT,1-4,129.0,125.0,-4.0,-43.0
2022-10-29,vs Indiana,L125-116,1-5,125.0,116.0,-9.0,-52.0
2022-10-30,vs Indiana,L125-116,1-5,125.0,116.0,-9.0,-52.0
2022-10-31,vs Indiana,W116-109,2-5,109.0,116.0,7.0,-45.0
2022-11-01,vs Chicago,L108-99,2-6,108.0,99.0,-9.0,-54.0
2022-11-02,vs Chicago,L108-99,2-6,108.0,99.0,-9.0,-54.0
2022-11-03,vs Chicago,L108-99,2-6,108.0,99.0,-9.0,-54.0
2022-11-04,@ Washington,W128-86,3-6,86.0,128.0,42.0,-12.0
2022-11-05,@ Charlotte,W98-94,4-6,94.0,98.0,4.0,-8.0
2022-11-06,@ Charlotte,W98-94,4-6,94.0,98.0,4.0,-8.0
2022-11-07,@ Dallas,L96-94,4-7,96.0,94.0,-2.0,-10.0
2022-11-08,@ Dallas,L96-94,4-7,96.0,94.0,-2.0,-10.0
2022-11-09,vs New York,W112-85,5-7,85.0,112.0,27.0,17.0
2022-11-10,vs New York,W112-85,5-7,85.0,112.0,27.0,17.0
2022-11-11,vs New York,W112-85,5-7,85.0,112.0,27.0,17.0
2022-11-12,@ LA,W110-95,6-7,95.0,110.0,15.0,32.0
2022-11-13,@ Los Angeles,L116-103,6-8,116.0,103.0,-13.0,19.0
2022-11-14,@ Los Angeles,L116-103,6-8,116.0,103.0,-13.0,19.0
2022-11-15,@ Sacramento,L153-121,6-9,153.0,121.0,-32.0,-13.0
2022-11-16,@ Sacramento,L153-121,6-9,153.0,121.0,-32.0,-13.0
2022-11-17,@ Portland,W109-107,7-9,107.0,109.0,2.0,-11.0
2022-11-18,@ Portland,W109-107,7-9,107.0,109.0,2.0,-11.0
2022-11-19,@ Portland,W109-107,7-9,107.0,109.0,2.0,-11.0
2022-11-20,vs Memphis,W127-115,8-9,115.0,127.0,12.0,1.0
2022-11-21,vs Memphis,W127-115,8-9,115.0,127.0,12.0,1.0
2022-11-22,@ Philadelphia,L115-106,8-10,115.0,106.0,-9.0,-8.0
2022-11-23,@ Toronto,W112-98,9-10,98.0,112.0,14.0,6.0
2022-11-24,@ Toronto,W112-98,9-10,98.0,112.0,14.0,6.0
2022-11-25,@ Indiana,L128-117,9-11,128.0,117.0,-11.0,-5.0
2022-11-26,@ Indiana,L128-117,9-11,128.0,117.0,-11.0,-5.0
2022-11-27,vs Portland,W111-97,10-11,97.0,111.0,14.0,9.0
2022-11-28,vs Orlando,W109-102,11-11,102.0,109.0,7.0,16.0
2022-11-29,vs Orlando,W109-102,11-11,102.0,109.0,7.0,16.0
2022-11-30,vs Washington,W113-107,12-11,107.0,113.0,6.0,22.0
2022-12-01,vs Washington,W113-107,12-11,107.0,113.0,6.0,22.0
2022-12-02,vs Toronto,W114-105,13-11,105.0,114.0,9.0,31.0
2022-12-03,vs Toronto,W114-105,13-11,105.0,114.0,9.0,31.0
2022-12-04,vs Boston,L103-92,13-12,103.0,92.0,-11.0,20.0
2022-12-05,vs Boston,L103-92,13-12,103.0,92.0,-11.0,20.0
2022-12-06,vs Boston,L103-92,13-12,103.0,92.0,-11.0,20.0
2022-12-07,vs Charlotte,W122-116,14-12,116.0,122.0,6.0,26.0
2022-12-08,vs Charlotte,W122-116,14-12,116.0,122.0,6.0,26.0
2022-12-09,vs Atlanta,W120-116,15-12,116.0,120.0,4.0,30.0
2022-12-10,@ Indiana,W136-133,16-12,133.0,136.0,3.0,33.0
2022-12-11,@ Indiana,W136-133,16-12,133.0,136.0,3.0,33.0
2022-12-12,@ Washington,W112-100,17-12,100.0,112.0,12.0,45.0
2022-12-13,@ Washington,W112-100,17-12,100.0,112.0,12.0,45.0
2022-12-14,@ Washington,W112-100,17-12,100.0,112.0,12.0,45.0
2022-12-15,@ Washington,W112-100,17-12,100.0,112.0,12.0,45.0
2022-12-16,@ Toronto,W119-116,18-12,116.0,119.0,3.0,48.0
2022-12-17,@ Toronto,W119-116,18-12,116.0,119.0,3.0,48.0
2022-12-18,@ Detroit,W124-121,19-12,121.0,124.0,3.0,51.0
2022-12-19,@ Detroit,W124-121,19-12,121.0,124.0,3.0,51.0
2022-12-20,@ Detroit,W124-121,19-12,121.0,124.0,3.0,51.0
2022-12-21,vs Golden State,W143-113,20-12,113.0,143.0,30.0,81.0
2022-12-22,vs Golden State,W143-113,20-12,113.0,143.0,30.0,81.0
2022-12-23,vs Milwaukee,W118-100,21-12,100.0,118.0,18.0,99.0
2022-12-24,vs Milwaukee,W118-100,21-12,100.0,118.0,18.0,99.0
2022-12-25,vs Milwaukee,W118-100,21-12,100.0,118.0,18.0,99.0
2022-12-26,@ Cleveland,W125-117,22-12,117.0,125.0,8.0,107.0
2022-12-27,@ Cleveland,W125-117,22-12,117.0,125.0,8.0,107.0
2022-12-28,@ Atlanta,W108-107,23-12,107.0,108.0,1.0,108.0
2022-12-29,@ Atlanta,W108-107,23-12,107.0,108.0,1.0,108.0
2022-12-30,@ Atlanta,W108-107,23-12,107.0,108.0,1.0,108.0
2022-12-31,@ Charlotte,W123-106,24-12,106.0,123.0,17.0,125.0
2023-01-01,@ Charlotte,W123-106,24-12,106.0,123.0,17.0,125.0
2023-01-02,vs San Antonio,W139-103,25-12,103.0,139.0,36.0,161.0
2023-01-03,vs San Antonio,W139-103,25-12,103.0,139.0,36.0,161.0
2023-01-04,@ Chicago,L121-112,25-13,121.0,112.0,-9.0,152.0
2023-01-05,@ Chicago,L121-112,25-13,121.0,112.0,-9.0,152.0
2023-01-06,@ New Orleans,W108-102,26-13,102.0,108.0,6.0,158.0
2023-01-07,@ New Orleans,W108-102,26-13,102.0,108.0,6.0,158.0
2023-01-08,@ Miami,W102-101,27-13,101.0,102.0,1.0,159.0
2023-01-09,@ Miami,W102-101,27-13,101.0,102.0,1.0,159.0
2023-01-10,@ Miami,W102-101,27-13,101.0,102.0,1.0,159.0
2023-01-11,@ Miami,W102-101,27-13,101.0,102.0,1.0,159.0
2023-01-12,vs Boston,L109-98,27-14,109.0,98.0,-11.0,148.0
2023-01-13,vs Boston,L109-98,27-14,109.0,98.0,-11.0,148.0
2023-01-14,vs Boston,L109-98,27-14,109.0,98.0,-11.0,148.0
2023-01-15,vs Oklahoma City,L112-102,27-15,112.0,102.0,-10.0,138.0
2023-01-16,vs Oklahoma City,L112-102,27-15,112.0,102.0,-10.0,138.0
2023-01-17,@ San Antonio,L106-98,27-16,106.0,98.0,-8.0,130.0
2023-01-18,@ San Antonio,L106-98,27-16,106.0,98.0,-8.0,130.0
2023-01-19,@ Phoenix,L117-112,27-17,117.0,112.0,-5.0,125.0
2023-01-20,@ Utah,W117-106,28-17,106.0,117.0,11.0,136.0
2023-01-21,@ Utah,W117-106,28-17,106.0,117.0,11.0,136.0
2023-01-22,@ Golden State,W120-116,29-17,116.0,120.0,4.0,140.0
2023-01-23,@ Golden State,W120-116,29-17,116.0,120.0,4.0,140.0
2023-01-24,@ Golden State,W120-116,29-17,116.0,120.0,4.0,140.0
2023-01-25,@ Philadelphia,L137-133,29-18,137.0,133.0,-4.0,136.0
2023-01-26,vs Detroit,L130-122,29-19,130.0,122.0,-8.0,128.0
2023-01-27,vs Detroit,L130-122,29-19,130.0,122.0,-8.0,128.0
2023-01-28,vs New York,W122-115,30-19,115.0,122.0,7.0,135.0
2023-01-29,vs New York,W122-115,30-19,115.0,122.0,7.0,135.0
2023-01-30,vs Los Angeles,W121-104,31-19,104.0,121.0,17.0,152.0
2023-01-31,vs Los Angeles,W121-104,31-19,104.0,121.0,17.0,152.0
2023-02-01,@ Boston,L139-96,31-20,139.0,96.0,-43.0,109.0
2023-02-02,@ Boston,L139-96,31-20,139.0,96.0,-43.0,109.0
2023-02-03,@ Boston,L139-96,31-20,139.0,96.0,-43.0,109.0
2023-02-04,vs Washington,W125-123,32-20,123.0,125.0,2.0,111.0
2023-02-05,vs Washington,W125-123,32-20,123.0,125.0,2.0,111.0
2023-02-06,vs LA,L124-116,32-21,124.0,116.0,-8.0,103.0
2023-02-07,vs Phoenix,L116-112,32-22,116.0,112.0,-4.0,99.0
2023-02-08,vs Phoenix,L116-112,32-22,116.0,112.0,-4.0,99.0
2023-02-09,vs Chicago,W116-105,33-22,105.0,116.0,11.0,110.0
2023-02-10,vs Chicago,W116-105,33-22,105.0,116.0,11.0,110.0
2023-02-11,vs Philadelphia,L101-98,33-23,101.0,98.0,-3.0,107.0
2023-02-12,vs Philadelphia,L101-98,33-23,101.0,98.0,-3.0,107.0
2023-02-13,@ New York,L124-106,33-24,124.0,106.0,-18.0,89.0
2023-02-14,@ New York,L124-106,33-24,124.0,106.0,-18.0,89.0
2023-02-15,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-16,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-17,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-18,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-19,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-20,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-21,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-22,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-23,vs Miami,W116-105,34-24,105.0,116.0,11.0,100.0
2023-02-24,@ Chicago,L131-87,34-25,131.0,87.0,-44.0,56.0
2023-02-25,@ Chicago,L131-87,34-25,131.0,87.0,-44.0,56.0
2023-02-26,@ Atlanta,L129-127,34-26,129.0,127.0,-2.0,54.0
2023-02-27,@ Atlanta,L129-127,34-26,129.0,127.0,-2.0,54.0
2023-02-28,vs Milwaukee,L118-104,34-27,118.0,104.0,-14.0,40.0
2023-03-01,@ New York,L142-118,34-28,142.0,118.0,-24.0,16.0
2023-03-02,@ New York,L142-118,34-28,142.0,118.0,-24.0,16.0
2023-03-03,@ Boston,W115-105,35-28,105.0,115.0,10.0,26.0
2023-03-04,@ Boston,W115-105,35-28,105.0,115.0,10.0,26.0
2023-03-05,vs Charlotte,W102-86,36-28,86.0,102.0,16.0,42.0
2023-03-06,vs Charlotte,W102-86,36-28,86.0,102.0,16.0,42.0
2023-03-07,@ Houston,W118-96,37-28,96.0,118.0,22.0,64.0
2023-03-08,@ Houston,W118-96,37-28,96.0,118.0,22.0,64.0
2023-03-09,@ Milwaukee,L118-113,37-29,118.0,113.0,-5.0,59.0
2023-03-10,@ Minnesota,W124-123 OT,38-29,123.0,124.0,1.0,60.0
2023-03-11,@ Minnesota,W124-123 OT,38-29,123.0,124.0,1.0,60.0
2023-03-12,@ Denver,W122-120,39-29,120.0,122.0,2.0,62.0
2023-03-13,@ Denver,W122-120,39-29,120.0,122.0,2.0,62.0
2023-03-14,@ Oklahoma City,L121-107,39-30,121.0,107.0,-14.0,48.0
2023-03-15,@ Oklahoma City,L121-107,39-30,121.0,107.0,-14.0,48.0
2023-03-16,vs Sacramento,L101-96,39-31,101.0,96.0,-5.0,43.0
2023-03-17,vs Sacramento,L101-96,39-31,101.0,96.0,-5.0,43.0
2023-03-18,vs Sacramento,L101-96,39-31,101.0,96.0,-5.0,43.0
2023-03-19,vs Denver,L108-102,39-32,108.0,102.0,-6.0,37.0
2023-03-20,vs Denver,L108-102,39-32,108.0,102.0,-6.0,37.0
2023-03-21,vs Cleveland,L115-109,39-33,115.0,109.0,-6.0,31.0
2023-03-22,vs Cleveland,L115-109,39-33,115.0,109.0,-6.0,31.0
2023-03-23,vs Cleveland,L116-114,39-34,116.0,114.0,-2.0,29.0
2023-03-24,vs Cleveland,L116-114,39-34,116.0,114.0,-2.0,29.0
2023-03-25,@ Miami,W129-100,40-34,100.0,129.0,29.0,58.0
2023-03-26,@ Orlando,L119-106,40-35,119.0,106.0,-13.0,45.0
2023-03-27,@ Orlando,L119-106,40-35,119.0,106.0,-13.0,45.0
2023-03-28,@ Orlando,L119-106,40-35,119.0,106.0,-13.0,45.0
2023-03-29,vs Houston,W123-114,41-35,114.0,123.0,9.0,54.0
2023-03-30,vs Houston,W123-114,41-35,114.0,123.0,9.0,54.0
2023-03-31,vs Atlanta,W124-107,42-35,107.0,124.0,17.0,71.0
2023-04-01,vs Atlanta,W124-107,42-35,107.0,124.0,17.0,71.0
2023-04-02,vs Utah,W111-110,43-35,110.0,111.0,1.0,72.0
2023-04-03,vs Utah,W111-110,43-35,110.0,111.0,1.0,72.0
2023-04-04,vs Minnesota,L107-102,43-36,107.0,102.0,-5.0,67.0
2023-04-05,@ Detroit,W123-108,44-36,108.0,123.0,15.0,82.0
2023-04-06,@ Detroit,W123-108,44-36,108.0,123.0,15.0,82.0
2023-04-07,vs Orlando,W101-84,45-36,84.0,101.0,17.0,99.0
2023-04-08,vs Orlando,W101-84,45-36,84.0,101.0,17.0,99.0
2023-04-09,vs Philadelphia,L134-105,45-37,134.0,105.0,-29.0,70.0
