Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Philadelphia,W126-117,1-0,117.0,126.0,9.0,9.0
2022-10-19,vs Philadelphia,W126-117,1-0,117.0,126.0,9.0,9.0
2022-10-20,vs Philadelphia,W126-117,1-0,117.0,126.0,9.0,9.0
2022-10-21,@ Miami,W111-104,2-0,104.0,111.0,7.0,16.0
2022-10-22,@ Orlando,W126-120,3-0,120.0,126.0,6.0,22.0
2022-10-23,@ Orlando,W126-120,3-0,120.0,126.0,6.0,22.0
2022-10-24,@ Chicago,L120-102,3-1,120.0,102.0,-18.0,4.0
2022-10-25,@ Chicago,L120-102,3-1,120.0,102.0,-18.0,4.0
2022-10-26,@ Chicago,L120-102,3-1,120.0,102.0,-18.0,4.0
2022-10-27,@ Chicago,L120-102,3-1,120.0,102.0,-18.0,4.0
2022-10-28,vs Cleveland,L132-123 OT,3-2,132.0,123.0,-9.0,-5.0
2022-10-29,vs Cleveland,L132-123 OT,3-2,132.0,123.0,-9.0,-5.0
2022-10-30,vs Washington,W112-94,4-2,94.0,112.0,18.0,13.0
2022-10-31,vs Washington,W112-94,4-2,94.0,112.0,18.0,13.0
2022-11-01,vs Washington,W112-94,4-2,94.0,112.0,18.0,13.0
2022-11-02,@ Cleveland,L114-113 OT,4-3,114.0,113.0,-1.0,12.0
2022-11-03,@ Cleveland,L114-113 OT,4-3,114.0,113.0,-1.0,12.0
2022-11-04,vs Chicago,W123-119,5-3,119.0,123.0,4.0,16.0
2022-11-05,@ New York,W133-118,6-3,118.0,133.0,15.0,31.0
2022-11-06,@ New York,W133-118,6-3,118.0,133.0,15.0,31.0
2022-11-07,@ Memphis,W109-106,7-3,106.0,109.0,3.0,34.0
2022-11-08,@ Memphis,W109-106,7-3,106.0,109.0,3.0,34.0
2022-11-09,vs Detroit,W128-112,8-3,112.0,128.0,16.0,50.0
2022-11-10,vs Detroit,W128-112,8-3,112.0,128.0,16.0,50.0
2022-11-11,vs Denver,W131-112,9-3,112.0,131.0,19.0,69.0
2022-11-12,@ Detroit,W117-108,10-3,108.0,117.0,9.0,78.0
2022-11-13,@ Detroit,W117-108,10-3,108.0,117.0,9.0,78.0
2022-11-14,vs Oklahoma City,W126-122,11-3,122.0,126.0,4.0,82.0
2022-11-15,vs Oklahoma City,W126-122,11-3,122.0,126.0,4.0,82.0
2022-11-16,@ Atlanta,W126-101,12-3,101.0,126.0,25.0,107.0
2022-11-17,@ Atlanta,W126-101,12-3,101.0,126.0,25.0,107.0
2022-11-18,@ New Orleans,W117-109,13-3,109.0,117.0,8.0,115.0
2022-11-19,@ New Orleans,W117-109,13-3,109.0,117.0,8.0,115.0
2022-11-20,@ New Orleans,W117-109,13-3,109.0,117.0,8.0,115.0
2022-11-21,@ Chicago,L121-107,13-4,121.0,107.0,-14.0,101.0
2022-11-22,@ Chicago,L121-107,13-4,121.0,107.0,-14.0,101.0
2022-11-23,vs Dallas,W125-112,14-4,112.0,125.0,13.0,114.0
2022-11-24,vs Dallas,W125-112,14-4,112.0,125.0,13.0,114.0
2022-11-25,vs Sacramento,W122-104,15-4,104.0,122.0,18.0,132.0
2022-11-26,vs Sacramento,W122-104,15-4,104.0,122.0,18.0,132.0
2022-11-27,vs Washington,W130-121,16-4,121.0,130.0,9.0,141.0
2022-11-28,vs Charlotte,W140-105,17-4,105.0,140.0,35.0,176.0
2022-11-29,vs Charlotte,W140-105,17-4,105.0,140.0,35.0,176.0
2022-11-30,vs Miami,W134-121,18-4,121.0,134.0,13.0,189.0
2022-12-01,vs Miami,W134-121,18-4,121.0,134.0,13.0,189.0
2022-12-02,vs Miami,L120-116 OT,18-5,120.0,116.0,-4.0,185.0
2022-12-03,vs Miami,L120-116 OT,18-5,120.0,116.0,-4.0,185.0
2022-12-04,@ Brooklyn,W103-92,19-5,92.0,103.0,11.0,196.0
2022-12-05,@ Toronto,W116-110,20-5,110.0,116.0,6.0,202.0
2022-12-06,@ Toronto,W116-110,20-5,110.0,116.0,6.0,202.0
2022-12-07,@ Phoenix,W125-98,21-5,98.0,125.0,27.0,229.0
2022-12-08,@ Phoenix,W125-98,21-5,98.0,125.0,27.0,229.0
2022-12-09,@ Phoenix,W125-98,21-5,98.0,125.0,27.0,229.0
2022-12-10,@ Golden State,L123-107,21-6,123.0,107.0,-16.0,213.0
2022-12-11,@ Golden State,L123-107,21-6,123.0,107.0,-16.0,213.0
2022-12-12,@ LA,L113-93,21-7,113.0,93.0,-20.0,193.0
2022-12-13,@ Los Angeles,W122-118 OT,22-7,118.0,122.0,4.0,197.0
2022-12-14,@ Los Angeles,W122-118 OT,22-7,118.0,122.0,4.0,197.0
2022-12-15,@ Los Angeles,W122-118 OT,22-7,118.0,122.0,4.0,197.0
2022-12-16,vs Orlando,L117-109,22-8,117.0,109.0,-8.0,189.0
2022-12-17,vs Orlando,L117-109,22-8,117.0,109.0,-8.0,189.0
2022-12-18,vs Orlando,L95-92,22-9,95.0,92.0,-3.0,186.0
2022-12-19,vs Orlando,L95-92,22-9,95.0,92.0,-3.0,186.0
2022-12-20,vs Orlando,L95-92,22-9,95.0,92.0,-3.0,186.0
2022-12-21,vs Indiana,L117-112,22-10,117.0,112.0,-5.0,181.0
2022-12-22,vs Indiana,L117-112,22-10,117.0,112.0,-5.0,181.0
2022-12-23,vs Minnesota,W121-109,23-10,109.0,121.0,12.0,193.0
2022-12-24,vs Minnesota,W121-109,23-10,109.0,121.0,12.0,193.0
2022-12-25,vs Milwaukee,W139-118,24-10,118.0,139.0,21.0,214.0
2022-12-26,vs Milwaukee,W139-118,24-10,118.0,139.0,21.0,214.0
2022-12-27,vs Houston,W126-102,25-10,102.0,126.0,24.0,238.0
2022-12-28,vs Houston,W126-102,25-10,102.0,126.0,24.0,238.0
2022-12-29,vs LA,W116-110,26-10,110.0,116.0,6.0,244.0
2022-12-30,vs LA,W116-110,26-10,110.0,116.0,6.0,244.0
2022-12-31,vs LA,W116-110,26-10,110.0,116.0,6.0,244.0
2023-01-01,@ Denver,L123-111,26-11,123.0,111.0,-12.0,232.0
2023-01-02,@ Denver,L123-111,26-11,123.0,111.0,-12.0,232.0
2023-01-03,@ Oklahoma City,L150-117,26-12,150.0,117.0,-33.0,199.0
2023-01-04,@ Oklahoma City,L150-117,26-12,150.0,117.0,-33.0,199.0
2023-01-05,@ Dallas,W124-95,27-12,95.0,124.0,29.0,228.0
2023-01-06,@ Dallas,W124-95,27-12,95.0,124.0,29.0,228.0
2023-01-07,@ San Antonio,W121-116,28-12,116.0,121.0,5.0,233.0
2023-01-08,@ San Antonio,W121-116,28-12,116.0,121.0,5.0,233.0
2023-01-09,vs Chicago,W107-99,29-12,99.0,107.0,8.0,241.0
2023-01-10,vs Chicago,W107-99,29-12,99.0,107.0,8.0,241.0
2023-01-11,vs New Orleans,W125-114,30-12,114.0,125.0,11.0,252.0
2023-01-12,@ Brooklyn,W109-98,31-12,98.0,109.0,11.0,263.0
2023-01-13,@ Brooklyn,W109-98,31-12,98.0,109.0,11.0,263.0
2023-01-14,@ Charlotte,W122-106,32-12,106.0,122.0,16.0,279.0
2023-01-15,@ Charlotte,W122-106,32-12,106.0,122.0,16.0,279.0
2023-01-16,@ Charlotte,W130-118,33-12,118.0,130.0,12.0,291.0
2023-01-17,@ Charlotte,W130-118,33-12,118.0,130.0,12.0,291.0
2023-01-18,@ Charlotte,W130-118,33-12,118.0,130.0,12.0,291.0
2023-01-19,vs Golden State,W121-118 OT,34-12,118.0,121.0,3.0,294.0
2023-01-20,vs Golden State,W121-118 OT,34-12,118.0,121.0,3.0,294.0
2023-01-21,@ Toronto,W106-104,35-12,104.0,106.0,2.0,296.0
2023-01-22,@ Toronto,W106-104,35-12,104.0,106.0,2.0,296.0
2023-01-23,@ Orlando,L113-98,35-13,113.0,98.0,-15.0,281.0
2023-01-24,@ Miami,L98-95,35-14,98.0,95.0,-3.0,278.0
2023-01-25,@ Miami,L98-95,35-14,98.0,95.0,-3.0,278.0
2023-01-26,vs New York,L120-117 OT,35-15,120.0,117.0,-3.0,275.0
2023-01-27,vs New York,L120-117 OT,35-15,120.0,117.0,-3.0,275.0
2023-01-28,vs Los Angeles,W125-121 OT,36-15,121.0,125.0,4.0,279.0
2023-01-29,vs Los Angeles,W125-121 OT,36-15,121.0,125.0,4.0,279.0
2023-01-30,vs Los Angeles,W125-121 OT,36-15,121.0,125.0,4.0,279.0
2023-01-31,vs Los Angeles,W125-121 OT,36-15,121.0,125.0,4.0,279.0
2023-02-01,vs Brooklyn,W139-96,37-15,96.0,139.0,43.0,322.0
2023-02-02,vs Brooklyn,W139-96,37-15,96.0,139.0,43.0,322.0
2023-02-03,vs Phoenix,L106-94,37-16,106.0,94.0,-12.0,310.0
2023-02-04,vs Phoenix,L106-94,37-16,106.0,94.0,-12.0,310.0
2023-02-05,vs Phoenix,L106-94,37-16,106.0,94.0,-12.0,310.0
2023-02-06,@ Detroit,W111-99,38-16,99.0,111.0,12.0,322.0
2023-02-07,@ Detroit,W111-99,38-16,99.0,111.0,12.0,322.0
2023-02-08,vs Philadelphia,W106-99,39-16,99.0,106.0,7.0,329.0
2023-02-09,vs Philadelphia,W106-99,39-16,99.0,106.0,7.0,329.0
2023-02-10,vs Charlotte,W127-116,40-16,116.0,127.0,11.0,340.0
2023-02-11,vs Charlotte,W127-116,40-16,116.0,127.0,11.0,340.0
2023-02-12,vs Memphis,W119-109,41-16,109.0,119.0,10.0,350.0
2023-02-13,vs Memphis,W119-109,41-16,109.0,119.0,10.0,350.0
2023-02-14,@ Milwaukee,L131-125 OT,41-17,131.0,125.0,-6.0,344.0
2023-02-15,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-16,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-17,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-18,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-19,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-20,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-21,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-22,vs Detroit,W127-109,42-17,109.0,127.0,18.0,362.0
2023-02-23,@ Indiana,W142-138 OT,43-17,138.0,142.0,4.0,366.0
2023-02-24,@ Indiana,W142-138 OT,43-17,138.0,142.0,4.0,366.0
2023-02-25,@ Philadelphia,W110-107,44-17,107.0,110.0,3.0,369.0
2023-02-26,@ Philadelphia,W110-107,44-17,107.0,110.0,3.0,369.0
2023-02-27,@ New York,L109-94,44-18,109.0,94.0,-15.0,354.0
2023-02-28,@ New York,L109-94,44-18,109.0,94.0,-15.0,354.0
2023-03-01,vs Cleveland,W117-113,45-18,113.0,117.0,4.0,358.0
2023-03-02,vs Cleveland,W117-113,45-18,113.0,117.0,4.0,358.0
2023-03-03,vs Brooklyn,L115-105,45-19,115.0,105.0,-10.0,348.0
2023-03-04,vs Brooklyn,L115-105,45-19,115.0,105.0,-10.0,348.0
2023-03-05,vs New York,L131-129 2OT,45-20,131.0,129.0,-2.0,346.0
2023-03-06,@ Cleveland,L118-114 OT,45-21,118.0,114.0,-4.0,342.0
2023-03-07,@ Cleveland,L118-114 OT,45-21,118.0,114.0,-4.0,342.0
2023-03-08,vs Portland,W115-93,46-21,93.0,115.0,22.0,364.0
2023-03-09,vs Portland,W115-93,46-21,93.0,115.0,22.0,364.0
2023-03-10,vs Portland,W115-93,46-21,93.0,115.0,22.0,364.0
2023-03-11,@ Atlanta,W134-125,47-21,125.0,134.0,9.0,373.0
2023-03-12,@ Atlanta,W134-125,47-21,125.0,134.0,9.0,373.0
2023-03-13,@ Houston,L111-109,47-22,111.0,109.0,-2.0,371.0
2023-03-14,@ Houston,L111-109,47-22,111.0,109.0,-2.0,371.0
2023-03-15,@ Minnesota,W104-102,48-22,102.0,104.0,2.0,373.0
2023-03-16,@ Minnesota,W104-102,48-22,102.0,104.0,2.0,373.0
2023-03-17,@ Portland,W126-112,49-22,112.0,126.0,14.0,387.0
2023-03-18,@ Utah,L118-117,49-23,118.0,117.0,-1.0,386.0
2023-03-19,@ Utah,L118-117,49-23,118.0,117.0,-1.0,386.0
2023-03-20,@ Utah,L118-117,49-23,118.0,117.0,-1.0,386.0
2023-03-21,@ Sacramento,W132-109,50-23,109.0,132.0,23.0,409.0
2023-03-22,@ Sacramento,W132-109,50-23,109.0,132.0,23.0,409.0
2023-03-23,@ Sacramento,W132-109,50-23,109.0,132.0,23.0,409.0
