Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ San Antonio,W129-102,1-0,102.0,129.0,27.0,27.0
2022-10-19,@ San Antonio,W129-102,1-0,102.0,129.0,27.0,27.0
2022-10-20,@ San Antonio,W129-102,1-0,102.0,129.0,27.0,27.0
2022-10-21,vs New Orleans,L124-112,1-1,124.0,112.0,-12.0,15.0
2022-10-22,vs New Orleans,L124-112,1-1,124.0,112.0,-12.0,15.0
2022-10-23,@ Atlanta,W126-109,2-1,109.0,126.0,17.0,32.0
2022-10-24,@ Atlanta,W126-109,2-1,109.0,126.0,17.0,32.0
2022-10-25,@ Atlanta,W126-109,2-1,109.0,126.0,17.0,32.0
2022-10-26,@ New York,L134-131 OT,2-2,134.0,131.0,-3.0,29.0
2022-10-27,@ New York,L134-131 OT,2-2,134.0,131.0,-3.0,29.0
2022-10-28,@ Orlando,L113-93,2-3,113.0,93.0,-20.0,9.0
2022-10-29,vs Golden State,W120-113 OT,3-3,113.0,120.0,7.0,16.0
2022-10-30,vs Golden State,W120-113 OT,3-3,113.0,120.0,7.0,16.0
2022-10-31,vs Sacramento,L115-108,3-4,115.0,108.0,-7.0,9.0
2022-11-01,vs Sacramento,L115-108,3-4,115.0,108.0,-7.0,9.0
2022-11-02,@ Chicago,L106-88,3-5,106.0,88.0,-18.0,-9.0
2022-11-03,@ Chicago,L106-88,3-5,106.0,88.0,-18.0,-9.0
2022-11-04,@ Memphis,L130-99,3-6,130.0,99.0,-31.0,-40.0
2022-11-05,vs Brooklyn,L98-94,3-7,98.0,94.0,-4.0,-44.0
2022-11-06,vs Brooklyn,L98-94,3-7,98.0,94.0,-4.0,-44.0
2022-11-07,vs Washington,L108-100,3-8,108.0,100.0,-8.0,-52.0
2022-11-08,vs Washington,L108-100,3-8,108.0,100.0,-8.0,-52.0
2022-11-09,vs Portland,L105-95,3-9,105.0,95.0,-10.0,-62.0
2022-11-10,@ Miami,L117-112 OT,3-10,117.0,112.0,-5.0,-67.0
2022-11-11,@ Miami,L117-112 OT,3-10,117.0,112.0,-5.0,-67.0
2022-11-12,@ Miami,L132-115,3-11,132.0,115.0,-17.0,-84.0
2022-11-13,@ Miami,L132-115,3-11,132.0,115.0,-17.0,-84.0
2022-11-14,@ Orlando,W112-105,4-11,105.0,112.0,7.0,-77.0
2022-11-15,@ Orlando,W112-105,4-11,105.0,112.0,7.0,-77.0
2022-11-16,vs Indiana,L125-113,4-12,125.0,113.0,-12.0,-89.0
2022-11-17,vs Indiana,L125-113,4-12,125.0,113.0,-12.0,-89.0
2022-11-18,@ Cleveland,L132-122 2OT,4-13,132.0,122.0,-10.0,-99.0
2022-11-19,@ Cleveland,L132-122 2OT,4-13,132.0,122.0,-10.0,-99.0
2022-11-20,@ Washington,L106-102,4-14,106.0,102.0,-4.0,-103.0
2022-11-21,@ Washington,L106-102,4-14,106.0,102.0,-4.0,-103.0
2022-11-22,@ Washington,L106-102,4-14,106.0,102.0,-4.0,-103.0
2022-11-23,vs Philadelphia,W107-101,5-14,101.0,107.0,6.0,-97.0
2022-11-24,vs Philadelphia,W107-101,5-14,101.0,107.0,6.0,-97.0
2022-11-25,vs Minnesota,W110-108,6-14,108.0,110.0,2.0,-95.0
2022-11-26,vs Minnesota,W110-108,6-14,108.0,110.0,2.0,-95.0
2022-11-27,vs Minnesota,W110-108,6-14,108.0,110.0,2.0,-95.0
2022-11-28,@ Boston,L140-105,6-15,140.0,105.0,-35.0,-130.0
2022-11-29,@ Boston,L140-105,6-15,140.0,105.0,-35.0,-130.0
2022-11-30,@ Boston,L140-105,6-15,140.0,105.0,-35.0,-130.0
2022-12-01,@ Boston,L140-105,6-15,140.0,105.0,-35.0,-130.0
2022-12-02,vs Washington,W117-116,7-15,116.0,117.0,1.0,-129.0
2022-12-03,vs Milwaukee,L105-96,7-16,105.0,96.0,-9.0,-138.0
2022-12-04,vs Milwaukee,L105-96,7-16,105.0,96.0,-9.0,-138.0
2022-12-05,vs LA,L119-117,7-17,119.0,117.0,-2.0,-140.0
2022-12-06,vs LA,L119-117,7-17,119.0,117.0,-2.0,-140.0
2022-12-07,@ Brooklyn,L122-116,7-18,122.0,116.0,-6.0,-146.0
2022-12-08,@ Brooklyn,L122-116,7-18,122.0,116.0,-6.0,-146.0
2022-12-09,vs New York,L121-102,7-19,121.0,102.0,-19.0,-165.0
2022-12-10,vs New York,L121-102,7-19,121.0,102.0,-19.0,-165.0
2022-12-11,@ Philadelphia,L131-113,7-20,131.0,113.0,-18.0,-183.0
2022-12-12,@ Philadelphia,L131-113,7-20,131.0,113.0,-18.0,-183.0
2022-12-13,@ Philadelphia,L131-113,7-20,131.0,113.0,-18.0,-183.0
2022-12-14,vs Detroit,L141-134 OT,7-21,141.0,134.0,-7.0,-190.0
2022-12-15,vs Detroit,L141-134 OT,7-21,141.0,134.0,-7.0,-190.0
2022-12-16,vs Atlanta,L125-106,7-22,125.0,106.0,-19.0,-209.0
