Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Miami,W116-108,1-0,108.0,116.0,8.0,8.0
2022-10-19,@ Miami,W116-108,1-0,108.0,116.0,8.0,8.0
2022-10-20,@ Miami,W116-108,1-0,108.0,116.0,8.0,8.0
2022-10-21,@ Washington,L102-100,1-1,102.0,100.0,-2.0,6.0
2022-10-22,vs Cleveland,L128-96,1-2,128.0,96.0,-32.0,-26.0
2022-10-23,vs Cleveland,L128-96,1-2,128.0,96.0,-32.0,-26.0
2022-10-24,vs Boston,W120-102,2-2,102.0,120.0,18.0,-8.0
2022-10-25,vs Boston,W120-102,2-2,102.0,120.0,18.0,-8.0
2022-10-26,vs Indiana,W124-109,3-2,109.0,124.0,15.0,7.0
2022-10-27,vs Indiana,W124-109,3-2,109.0,124.0,15.0,7.0
2022-10-28,@ San Antonio,L129-124,3-3,129.0,124.0,-5.0,2.0
2022-10-29,vs Philadelphia,L114-109,3-4,114.0,109.0,-5.0,-3.0
2022-10-30,vs Philadelphia,L114-109,3-4,114.0,109.0,-5.0,-3.0
2022-10-31,vs Philadelphia,L114-109,3-4,114.0,109.0,-5.0,-3.0
2022-11-01,@ Brooklyn,W108-99,4-4,99.0,108.0,9.0,6.0
2022-11-02,vs Charlotte,W106-88,5-4,88.0,106.0,18.0,24.0
2022-11-03,vs Charlotte,W106-88,5-4,88.0,106.0,18.0,24.0
2022-11-04,@ Boston,L123-119,5-5,123.0,119.0,-4.0,20.0
2022-11-05,@ Boston,L123-119,5-5,123.0,119.0,-4.0,20.0
2022-11-06,@ Toronto,L113-104,5-6,113.0,104.0,-9.0,11.0
2022-11-07,vs Toronto,W111-97,6-6,97.0,111.0,14.0,25.0
2022-11-08,vs Toronto,W111-97,6-6,97.0,111.0,14.0,25.0
2022-11-09,vs New Orleans,L115-111,6-7,115.0,111.0,-4.0,21.0
2022-11-10,vs New Orleans,L115-111,6-7,115.0,111.0,-4.0,21.0
2022-11-11,vs New Orleans,L115-111,6-7,115.0,111.0,-4.0,21.0
2022-11-12,vs New Orleans,L115-111,6-7,115.0,111.0,-4.0,21.0
