Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Toronto,L108-105,0-1,108.0,105.0,-3.0,-3.0
2022-10-19,@ Toronto,L108-105,0-1,108.0,105.0,-3.0,-3.0
2022-10-20,@ Toronto,L108-105,0-1,108.0,105.0,-3.0,-3.0
2022-10-21,@ Toronto,L108-105,0-1,108.0,105.0,-3.0,-3.0
2022-10-22,@ Chicago,W128-96,1-1,96.0,128.0,32.0,29.0
2022-10-23,vs Washington,W117-107 OT,2-1,107.0,117.0,10.0,39.0
2022-10-24,vs Washington,W117-107 OT,2-1,107.0,117.0,10.0,39.0
2022-10-25,vs Washington,W117-107 OT,2-1,107.0,117.0,10.0,39.0
2022-10-26,vs Orlando,W103-92,3-1,92.0,103.0,11.0,50.0
2022-10-27,vs Orlando,W103-92,3-1,92.0,103.0,11.0,50.0
2022-10-28,@ Boston,W132-123 OT,4-1,123.0,132.0,9.0,59.0
2022-10-29,@ Boston,W132-123 OT,4-1,123.0,132.0,9.0,59.0
2022-10-30,vs New York,W121-108,5-1,108.0,121.0,13.0,72.0
2022-10-31,vs New York,W121-108,5-1,108.0,121.0,13.0,72.0
2022-11-01,vs New York,W121-108,5-1,108.0,121.0,13.0,72.0
2022-11-02,vs Boston,W114-113 OT,6-1,113.0,114.0,1.0,73.0
2022-11-03,vs Boston,W114-113 OT,6-1,113.0,114.0,1.0,73.0
2022-11-04,@ Detroit,W112-88,7-1,88.0,112.0,24.0,97.0
2022-11-05,@ Detroit,W112-88,7-1,88.0,112.0,24.0,97.0
2022-11-06,@ Los Angeles,W114-100,8-1,100.0,114.0,14.0,111.0
2022-11-07,@ LA,L119-117,8-2,119.0,117.0,-2.0,109.0
2022-11-08,@ LA,L119-117,8-2,119.0,117.0,-2.0,109.0
2022-11-09,@ Sacramento,L127-120,8-3,127.0,120.0,-7.0,102.0
2022-11-10,@ Sacramento,L127-120,8-3,127.0,120.0,-7.0,102.0
2022-11-11,@ Golden State,L106-101,8-4,106.0,101.0,-5.0,97.0
2022-11-12,@ Golden State,L106-101,8-4,106.0,101.0,-5.0,97.0
2022-11-13,vs Minnesota,L129-124,8-5,129.0,124.0,-5.0,92.0
2022-11-14,vs Minnesota,L129-124,8-5,129.0,124.0,-5.0,92.0
2022-11-15,vs Minnesota,L129-124,8-5,129.0,124.0,-5.0,92.0
2022-11-16,@ Milwaukee,L113-98,8-6,113.0,98.0,-15.0,77.0
2022-11-17,@ Milwaukee,L113-98,8-6,113.0,98.0,-15.0,77.0
2022-11-18,vs Charlotte,W132-122 2OT,9-6,122.0,132.0,10.0,87.0
2022-11-19,vs Charlotte,W132-122 2OT,9-6,122.0,132.0,10.0,87.0
2022-11-20,vs Miami,W113-87,10-6,87.0,113.0,26.0,113.0
2022-11-21,vs Atlanta,W114-102,11-6,102.0,114.0,12.0,125.0
2022-11-22,vs Atlanta,W114-102,11-6,102.0,114.0,12.0,125.0
2022-11-23,vs Portland,W114-96,12-6,96.0,114.0,18.0,143.0
2022-11-24,vs Portland,W114-96,12-6,96.0,114.0,18.0,143.0
2022-11-25,@ Milwaukee,L117-102,12-7,117.0,102.0,-15.0,128.0
2022-11-26,@ Milwaukee,L117-102,12-7,117.0,102.0,-15.0,128.0
2022-11-27,@ Detroit,W102-94,13-7,94.0,102.0,8.0,136.0
2022-11-28,@ Toronto,L100-88,13-8,100.0,88.0,-12.0,124.0
2022-11-29,@ Toronto,L100-88,13-8,100.0,88.0,-12.0,124.0
2022-11-30,vs Philadelphia,W113-85,14-8,85.0,113.0,28.0,152.0
2022-12-01,vs Philadelphia,W113-85,14-8,85.0,113.0,28.0,152.0
2022-12-02,vs Orlando,W107-96,15-8,96.0,107.0,11.0,163.0
2022-12-03,vs Orlando,W107-96,15-8,96.0,107.0,11.0,163.0
2022-12-04,@ New York,L92-81,15-9,92.0,81.0,-11.0,152.0
2022-12-05,@ New York,L92-81,15-9,92.0,81.0,-11.0,152.0
2022-12-06,vs Los Angeles,W116-102,16-9,102.0,116.0,14.0,166.0
2022-12-07,vs Los Angeles,W116-102,16-9,102.0,116.0,14.0,166.0
2022-12-08,vs Los Angeles,W116-102,16-9,102.0,116.0,14.0,166.0
2022-12-09,vs Sacramento,L106-95,16-10,106.0,95.0,-11.0,155.0
2022-12-10,vs Oklahoma City,W110-102,17-10,102.0,110.0,8.0,163.0
2022-12-11,vs Oklahoma City,W110-102,17-10,102.0,110.0,8.0,163.0
2022-12-12,@ San Antonio,L112-111,17-11,112.0,111.0,-1.0,162.0
2022-12-13,@ San Antonio,L112-111,17-11,112.0,111.0,-1.0,162.0
2022-12-14,@ Dallas,W105-90,18-11,90.0,105.0,15.0,177.0
2022-12-15,@ Dallas,W105-90,18-11,90.0,105.0,15.0,177.0
2022-12-16,vs Indiana,W118-112,19-11,112.0,118.0,6.0,183.0
2022-12-17,vs Dallas,W100-99 OT,20-11,99.0,100.0,1.0,184.0
2022-12-18,vs Dallas,W100-99 OT,20-11,99.0,100.0,1.0,184.0
2022-12-19,vs Utah,W122-99,21-11,99.0,122.0,23.0,207.0
2022-12-20,vs Utah,W122-99,21-11,99.0,122.0,23.0,207.0
2022-12-21,vs Milwaukee,W114-106,22-11,106.0,114.0,8.0,215.0
2022-12-22,vs Milwaukee,W114-106,22-11,106.0,114.0,8.0,215.0
2022-12-23,vs Toronto,L118-107,22-12,118.0,107.0,-11.0,204.0
2022-12-24,vs Toronto,L118-107,22-12,118.0,107.0,-11.0,204.0
2022-12-25,vs Toronto,L118-107,22-12,118.0,107.0,-11.0,204.0
2022-12-26,vs Brooklyn,L125-117,22-13,125.0,117.0,-8.0,196.0
2022-12-27,vs Brooklyn,L125-117,22-13,125.0,117.0,-8.0,196.0
2022-12-28,vs Brooklyn,L125-117,22-13,125.0,117.0,-8.0,196.0
2022-12-29,@ Indiana,L135-126,22-14,135.0,126.0,-9.0,187.0
2022-12-30,@ Indiana,L135-126,22-14,135.0,126.0,-9.0,187.0
2022-12-31,@ Chicago,W103-102,23-14,102.0,103.0,1.0,188.0
2023-01-01,@ Chicago,W103-102,23-14,102.0,103.0,1.0,188.0
2023-01-02,vs Chicago,W145-134 OT,24-14,134.0,145.0,11.0,199.0
2023-01-03,vs Chicago,W145-134 OT,24-14,134.0,145.0,11.0,199.0
2023-01-04,vs Phoenix,W90-88,25-14,88.0,90.0,2.0,201.0
2023-01-05,vs Phoenix,W90-88,25-14,88.0,90.0,2.0,201.0
2023-01-06,@ Denver,L121-108,25-15,121.0,108.0,-13.0,188.0
2023-01-07,@ Denver,L121-108,25-15,121.0,108.0,-13.0,188.0
2023-01-08,@ Phoenix,W112-98,26-15,98.0,112.0,14.0,202.0
2023-01-09,@ Phoenix,W112-98,26-15,98.0,112.0,14.0,202.0
2023-01-10,@ Utah,L116-114,26-16,116.0,114.0,-2.0,200.0
2023-01-11,@ Utah,L116-114,26-16,116.0,114.0,-2.0,200.0
2023-01-12,@ Portland,W119-113,27-16,113.0,119.0,6.0,206.0
2023-01-13,@ Portland,W119-113,27-16,113.0,119.0,6.0,206.0
2023-01-14,@ Minnesota,L110-102,27-17,110.0,102.0,-8.0,198.0
2023-01-15,@ Minnesota,L110-102,27-17,110.0,102.0,-8.0,198.0
2023-01-16,vs New Orleans,W113-103,28-17,103.0,113.0,10.0,208.0
2023-01-17,vs New Orleans,W113-103,28-17,103.0,113.0,10.0,208.0
2023-01-18,@ Memphis,L115-114,28-18,115.0,114.0,-1.0,207.0
2023-01-19,@ Memphis,L115-114,28-18,115.0,114.0,-1.0,207.0
2023-01-20,vs Golden State,L120-114,28-19,120.0,114.0,-6.0,201.0
2023-01-21,vs Milwaukee,W114-102,29-19,102.0,114.0,12.0,213.0
2023-01-22,vs Milwaukee,W114-102,29-19,102.0,114.0,12.0,213.0
2023-01-23,vs Milwaukee,W114-102,29-19,102.0,114.0,12.0,213.0
2023-01-24,@ New York,L105-103,29-20,105.0,103.0,-2.0,211.0
2023-01-25,@ New York,L105-103,29-20,105.0,103.0,-2.0,211.0
2023-01-26,@ Houston,W113-95,30-20,95.0,113.0,18.0,229.0
2023-01-27,@ Oklahoma City,L112-100,30-21,112.0,100.0,-12.0,217.0
2023-01-28,@ Oklahoma City,L112-100,30-21,112.0,100.0,-12.0,217.0
2023-01-29,vs LA,W122-99,31-21,99.0,122.0,23.0,240.0
2023-01-30,vs LA,W122-99,31-21,99.0,122.0,23.0,240.0
2023-01-31,vs Miami,L100-97,31-22,100.0,97.0,-3.0,237.0
2023-02-01,vs Miami,L100-97,31-22,100.0,97.0,-3.0,237.0
2023-02-02,vs Memphis,W128-113,32-22,113.0,128.0,15.0,252.0
2023-02-03,vs Memphis,W128-113,32-22,113.0,128.0,15.0,252.0
2023-02-04,vs Memphis,W128-113,32-22,113.0,128.0,15.0,252.0
2023-02-05,@ Indiana,W122-103,33-22,103.0,122.0,19.0,271.0
2023-02-06,@ Washington,W114-91,34-22,91.0,114.0,23.0,294.0
2023-02-07,@ Washington,W114-91,34-22,91.0,114.0,23.0,294.0
2023-02-08,vs Detroit,W113-85,35-22,85.0,113.0,28.0,322.0
2023-02-09,vs Detroit,W113-85,35-22,85.0,113.0,28.0,322.0
2023-02-10,@ New Orleans,W118-107,36-22,107.0,118.0,11.0,333.0
2023-02-11,vs Chicago,W97-89,37-22,89.0,97.0,8.0,341.0
2023-02-12,vs Chicago,W97-89,37-22,89.0,97.0,8.0,341.0
2023-02-13,vs San Antonio,W117-109,38-22,109.0,117.0,8.0,349.0
2023-02-14,vs San Antonio,W117-109,38-22,109.0,117.0,8.0,349.0
2023-02-15,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-16,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-17,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-18,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-19,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-20,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-21,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-22,@ Philadelphia,L118-112,38-23,118.0,112.0,-6.0,343.0
2023-02-23,vs Denver,L115-109,38-24,115.0,109.0,-6.0,337.0
2023-02-24,@ Atlanta,L136-119,38-25,136.0,119.0,-17.0,320.0
2023-02-25,@ Atlanta,L136-119,38-25,136.0,119.0,-17.0,320.0
2023-02-26,vs Toronto,W118-93,39-25,93.0,118.0,25.0,345.0
2023-02-27,vs Toronto,W118-93,39-25,93.0,118.0,25.0,345.0
2023-02-28,vs Toronto,W118-93,39-25,93.0,118.0,25.0,345.0
2023-03-01,@ Boston,L117-113,39-26,117.0,113.0,-4.0,341.0
2023-03-02,@ Boston,L117-113,39-26,117.0,113.0,-4.0,341.0
2023-03-03,@ Boston,L117-113,39-26,117.0,113.0,-4.0,341.0
2023-03-04,vs Detroit,W114-90,40-26,90.0,114.0,24.0,365.0
2023-03-05,vs Detroit,W114-90,40-26,90.0,114.0,24.0,365.0
2023-03-06,vs Boston,W118-114 OT,41-26,114.0,118.0,4.0,369.0
2023-03-07,vs Boston,W118-114 OT,41-26,114.0,118.0,4.0,369.0
2023-03-08,@ Miami,W104-100,42-26,100.0,104.0,4.0,373.0
2023-03-09,@ Miami,W104-100,42-26,100.0,104.0,4.0,373.0
2023-03-10,@ Miami,L119-115,42-27,119.0,115.0,-4.0,369.0
2023-03-11,@ Miami,L119-115,42-27,119.0,115.0,-4.0,369.0
2023-03-12,@ Charlotte,W114-108,43-27,108.0,114.0,6.0,375.0
2023-03-13,@ Charlotte,W114-108,43-27,108.0,114.0,6.0,375.0
2023-03-14,@ Charlotte,W120-104,44-27,104.0,120.0,16.0,391.0
2023-03-15,vs Philadelphia,L118-109,44-28,118.0,109.0,-9.0,382.0
2023-03-16,vs Philadelphia,L118-109,44-28,118.0,109.0,-9.0,382.0
2023-03-17,vs Washington,W117-94,45-28,94.0,117.0,23.0,405.0
2023-03-18,vs Washington,W117-94,45-28,94.0,117.0,23.0,405.0
2023-03-19,vs Washington,W117-94,45-28,94.0,117.0,23.0,405.0
2023-03-20,vs Washington,W117-94,45-28,94.0,117.0,23.0,405.0
2023-03-21,@ Brooklyn,W115-109,46-28,109.0,115.0,6.0,411.0
2023-03-22,@ Brooklyn,W115-109,46-28,109.0,115.0,6.0,411.0
2023-03-23,@ Brooklyn,W116-114,47-28,114.0,116.0,2.0,413.0
2023-03-24,@ Brooklyn,W116-114,47-28,114.0,116.0,2.0,413.0
2023-03-25,@ Brooklyn,W116-114,47-28,114.0,116.0,2.0,413.0
2023-03-26,vs Houston,W108-91,48-28,91.0,108.0,17.0,430.0
2023-03-27,vs Houston,W108-91,48-28,91.0,108.0,17.0,430.0
2023-03-28,@ Atlanta,L120-118,48-29,120.0,118.0,-2.0,428.0
2023-03-29,@ Atlanta,L120-118,48-29,120.0,118.0,-2.0,428.0
2023-03-30,@ Atlanta,L120-118,48-29,120.0,118.0,-2.0,428.0
2023-03-31,vs New York,L130-116,48-30,130.0,116.0,-14.0,414.0
2023-04-01,vs New York,L130-116,48-30,130.0,116.0,-14.0,414.0
2023-04-02,vs Indiana,W115-105,49-30,105.0,115.0,10.0,424.0
2023-04-03,vs Indiana,W115-105,49-30,105.0,115.0,10.0,424.0
2023-04-04,@ Orlando,W117-113,50-30,113.0,117.0,4.0,428.0
2023-04-05,@ Orlando,W117-113,50-30,113.0,117.0,4.0,428.0
2023-04-06,@ Orlando,W118-94,51-30,94.0,118.0,24.0,452.0
2023-04-07,@ Orlando,W118-94,51-30,94.0,118.0,24.0,452.0
2023-04-08,@ Orlando,W118-94,51-30,94.0,118.0,24.0,452.0
2023-04-09,vs Charlotte,L106-95,51-31,106.0,95.0,-11.0,441.0
