Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Phoenix,L107-105,0-1,107.0,105.0,-2.0,-2.0
2022-10-19,@ Phoenix,L107-105,0-1,107.0,105.0,-2.0,-2.0
2022-10-20,@ Phoenix,L107-105,0-1,107.0,105.0,-2.0,-2.0
2022-10-21,@ Phoenix,L107-105,0-1,107.0,105.0,-2.0,-2.0
2022-10-22,vs Memphis,W137-96,1-1,96.0,137.0,41.0,39.0
2022-10-23,vs Memphis,W137-96,1-1,96.0,137.0,41.0,39.0
2022-10-24,vs Memphis,W137-96,1-1,96.0,137.0,41.0,39.0
2022-10-25,@ New Orleans,L113-111,1-2,113.0,111.0,-2.0,37.0
2022-10-26,@ New Orleans,L113-111,1-2,113.0,111.0,-2.0,37.0
2022-10-27,@ Brooklyn,W129-125 OT,2-2,125.0,129.0,4.0,41.0
2022-10-28,@ Brooklyn,W129-125 OT,2-2,125.0,129.0,4.0,41.0
2022-10-29,vs Oklahoma City,L117-111 OT,2-3,117.0,111.0,-6.0,35.0
2022-10-30,vs Orlando,W114-105,3-3,105.0,114.0,9.0,44.0
2022-10-31,vs Orlando,W114-105,3-3,105.0,114.0,9.0,44.0
2022-11-01,vs Orlando,W114-105,3-3,105.0,114.0,9.0,44.0
2022-11-02,vs Utah,W103-100,4-3,100.0,103.0,3.0,47.0
2022-11-03,vs Utah,W103-100,4-3,100.0,103.0,3.0,47.0
2022-11-04,vs Toronto,W111-110,5-3,110.0,111.0,1.0,48.0
2022-11-05,vs Toronto,W111-110,5-3,110.0,111.0,1.0,48.0
2022-11-06,vs Toronto,W111-110,5-3,110.0,111.0,1.0,48.0
2022-11-07,vs Brooklyn,W96-94,6-3,94.0,96.0,2.0,50.0
2022-11-08,vs Brooklyn,W96-94,6-3,94.0,96.0,2.0,50.0
2022-11-09,@ Orlando,L94-87,6-4,94.0,87.0,-7.0,43.0
2022-11-10,@ Washington,L113-105,6-5,113.0,105.0,-8.0,35.0
2022-11-11,@ Washington,L113-105,6-5,113.0,105.0,-8.0,35.0
2022-11-12,vs Portland,W117-112,7-5,112.0,117.0,5.0,40.0
2022-11-13,vs Portland,W117-112,7-5,112.0,117.0,5.0,40.0
2022-11-14,vs Portland,W117-112,7-5,112.0,117.0,5.0,40.0
2022-11-15,vs LA,W103-101,8-5,101.0,103.0,2.0,42.0
