Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Utah,L123-102,0-1,123.0,102.0,-21.0,-21.0
2022-10-19,@ Utah,L123-102,0-1,123.0,102.0,-21.0,-21.0
2022-10-20,@ Utah,L123-102,0-1,123.0,102.0,-21.0,-21.0
2022-10-21,@ Golden State,W128-123,1-1,123.0,128.0,5.0,-16.0
2022-10-22,vs Oklahoma City,W122-117,2-1,117.0,122.0,5.0,-11.0
2022-10-23,vs Oklahoma City,W122-117,2-1,117.0,122.0,5.0,-11.0
2022-10-24,@ Portland,L135-110,2-2,135.0,110.0,-25.0,-36.0
2022-10-25,@ Portland,L135-110,2-2,135.0,110.0,-25.0,-36.0
2022-10-26,vs Los Angeles,W110-99,3-2,99.0,110.0,11.0,-25.0
2022-10-27,vs Los Angeles,W110-99,3-2,99.0,110.0,11.0,-25.0
2022-10-28,vs Utah,W117-101,4-2,101.0,117.0,16.0,-9.0
2022-10-29,vs Utah,W117-101,4-2,101.0,117.0,16.0,-9.0
2022-10-30,@ Los Angeles,L121-110,4-3,121.0,110.0,-11.0,-20.0
2022-10-31,@ Los Angeles,L121-110,4-3,121.0,110.0,-11.0,-20.0
2022-11-01,@ Los Angeles,L121-110,4-3,121.0,110.0,-11.0,-20.0
2022-11-02,@ Los Angeles,L121-110,4-3,121.0,110.0,-11.0,-20.0
2022-11-03,@ Oklahoma City,W122-110,5-3,110.0,122.0,12.0,-8.0
2022-11-04,@ Oklahoma City,W122-110,5-3,110.0,122.0,12.0,-8.0
2022-11-05,vs San Antonio,W126-101,6-3,101.0,126.0,25.0,17.0
2022-11-06,vs San Antonio,W126-101,6-3,101.0,126.0,25.0,17.0
2022-11-07,@ San Antonio,W115-109,7-3,109.0,115.0,6.0,23.0
2022-11-08,@ San Antonio,W115-109,7-3,109.0,115.0,6.0,23.0
2022-11-09,@ Indiana,W122-119,8-3,119.0,122.0,3.0,26.0
2022-11-10,@ Indiana,W122-119,8-3,119.0,122.0,3.0,26.0
2022-11-11,@ Boston,L131-112,8-4,131.0,112.0,-19.0,7.0
2022-11-12,@ Boston,L131-112,8-4,131.0,112.0,-19.0,7.0
2022-11-13,@ Chicago,W126-103,9-4,103.0,126.0,23.0,30.0
2022-11-14,@ Chicago,W126-103,9-4,103.0,126.0,23.0,30.0
2022-11-15,@ Chicago,W126-103,9-4,103.0,126.0,23.0,30.0
2022-11-16,vs New York,L106-103,9-5,106.0,103.0,-3.0,27.0
2022-11-17,vs New York,L106-103,9-5,106.0,103.0,-3.0,27.0
2022-11-18,@ Dallas,L127-99,9-6,127.0,99.0,-28.0,-1.0
2022-11-19,@ Dallas,L127-99,9-6,127.0,99.0,-28.0,-1.0
2022-11-20,@ Dallas,W98-97,10-6,97.0,98.0,1.0,0.0
2022-11-21,@ Dallas,W98-97,10-6,97.0,98.0,1.0,0.0
2022-11-22,vs Detroit,L110-108,10-7,110.0,108.0,-2.0,-2.0
2022-11-23,@ Oklahoma City,W131-126 OT,11-7,126.0,131.0,5.0,3.0
2022-11-24,@ Oklahoma City,W131-126 OT,11-7,126.0,131.0,5.0,3.0
2022-11-25,@ LA,W114-104,12-7,104.0,114.0,10.0,13.0
2022-11-26,@ LA,W114-104,12-7,104.0,114.0,10.0,13.0
2022-11-27,@ LA,W114-104,12-7,104.0,114.0,10.0,13.0
2022-11-28,vs Houston,W129-113,13-7,113.0,129.0,16.0,29.0
2022-11-29,vs Houston,W129-113,13-7,113.0,129.0,16.0,29.0
2022-11-30,vs Houston,W120-100,14-7,100.0,120.0,20.0,49.0
2022-12-01,vs Houston,W120-100,14-7,100.0,120.0,20.0,49.0
2022-12-02,@ Atlanta,L117-109,14-8,117.0,109.0,-8.0,41.0
2022-12-03,@ Atlanta,L117-109,14-8,117.0,109.0,-8.0,41.0
2022-12-04,@ New Orleans,L121-106,14-9,121.0,106.0,-15.0,26.0
2022-12-05,@ New Orleans,L121-106,14-9,121.0,106.0,-15.0,26.0
2022-12-06,vs Dallas,L116-115,14-10,116.0,115.0,-1.0,25.0
2022-12-07,vs Dallas,L116-115,14-10,116.0,115.0,-1.0,25.0
2022-12-08,@ Portland,W121-120,15-10,120.0,121.0,1.0,26.0
2022-12-09,@ Portland,W121-120,15-10,120.0,121.0,1.0,26.0
2022-12-10,vs Utah,W115-110,16-10,110.0,115.0,5.0,31.0
2022-12-11,vs Utah,W115-110,16-10,110.0,115.0,5.0,31.0
2022-12-12,vs Utah,W115-110,16-10,110.0,115.0,5.0,31.0
2022-12-13,vs Utah,W115-110,16-10,110.0,115.0,5.0,31.0
2022-12-14,vs Washington,W141-128,17-10,128.0,141.0,13.0,44.0
2022-12-15,vs Washington,W141-128,17-10,128.0,141.0,13.0,44.0
2022-12-16,@ Los Angeles,L126-108,17-11,126.0,108.0,-18.0,26.0
2022-12-17,@ Los Angeles,L126-108,17-11,126.0,108.0,-18.0,26.0
2022-12-18,vs Charlotte,W119-115,18-11,115.0,119.0,4.0,30.0
2022-12-19,vs Charlotte,W119-115,18-11,115.0,119.0,4.0,30.0
