Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Orlando,W113-109,1-0,109.0,113.0,4.0,4.0
2022-10-19,vs Orlando,W113-109,1-0,109.0,113.0,4.0,4.0
2022-10-20,vs Orlando,W113-109,1-0,109.0,113.0,4.0,4.0
2022-10-21,@ New York,L130-106,1-1,130.0,106.0,-24.0,-20.0
2022-10-22,@ Indiana,L124-115,1-2,124.0,115.0,-9.0,-29.0
2022-10-23,@ Indiana,L124-115,1-2,124.0,115.0,-9.0,-29.0
2022-10-24,@ Indiana,L124-115,1-2,124.0,115.0,-9.0,-29.0
2022-10-25,@ Washington,L120-99,1-3,120.0,99.0,-21.0,-50.0
2022-10-26,vs Atlanta,L118-113,1-4,118.0,113.0,-5.0,-55.0
2022-10-27,vs Atlanta,L118-113,1-4,118.0,113.0,-5.0,-55.0
2022-10-28,vs Atlanta,L136-112,1-5,136.0,112.0,-24.0,-79.0
2022-10-29,vs Atlanta,L136-112,1-5,136.0,112.0,-24.0,-79.0
2022-10-30,vs Golden State,W128-114,2-5,114.0,128.0,14.0,-65.0
2022-10-31,@ Milwaukee,L110-108,2-6,110.0,108.0,-2.0,-67.0
2022-11-01,@ Milwaukee,L110-108,2-6,110.0,108.0,-2.0,-67.0
2022-11-02,@ Milwaukee,L116-91,2-7,116.0,91.0,-25.0,-92.0
2022-11-03,@ Milwaukee,L116-91,2-7,116.0,91.0,-25.0,-92.0
2022-11-04,vs Cleveland,L112-88,2-8,112.0,88.0,-24.0,-116.0
2022-11-05,vs Cleveland,L112-88,2-8,112.0,88.0,-24.0,-116.0
2022-11-06,vs Cleveland,L112-88,2-8,112.0,88.0,-24.0,-116.0
2022-11-07,vs Oklahoma City,W112-103,3-8,103.0,112.0,9.0,-107.0
2022-11-08,vs Oklahoma City,W112-103,3-8,103.0,112.0,9.0,-107.0
2022-11-09,@ Boston,L128-112,3-9,128.0,112.0,-16.0,-123.0
2022-11-10,@ Boston,L128-112,3-9,128.0,112.0,-16.0,-123.0
2022-11-11,@ New York,L121-112,3-10,121.0,112.0,-9.0,-132.0
2022-11-12,vs Boston,L117-108,3-11,117.0,108.0,-9.0,-141.0
2022-11-13,vs Boston,L117-108,3-11,117.0,108.0,-9.0,-141.0
2022-11-14,vs Toronto,L115-111,3-12,115.0,111.0,-4.0,-145.0
2022-11-15,vs Toronto,L115-111,3-12,115.0,111.0,-4.0,-145.0
2022-11-16,vs Toronto,L115-111,3-12,115.0,111.0,-4.0,-145.0
2022-11-17,@ LA,L96-91,3-13,96.0,91.0,-5.0,-150.0
2022-11-18,@ Los Angeles,L128-121,3-14,128.0,121.0,-7.0,-157.0
2022-11-19,@ Los Angeles,L128-121,3-14,128.0,121.0,-7.0,-157.0
2022-11-20,@ Sacramento,L137-129,3-15,137.0,129.0,-8.0,-165.0
2022-11-21,@ Sacramento,L137-129,3-15,137.0,129.0,-8.0,-165.0
2022-11-22,@ Denver,W110-108,4-15,108.0,110.0,2.0,-163.0
2022-11-23,@ Utah,W125-116,5-15,116.0,125.0,9.0,-154.0
2022-11-24,@ Utah,W125-116,5-15,116.0,125.0,9.0,-154.0
2022-11-25,@ Phoenix,L108-102,5-16,108.0,102.0,-6.0,-160.0
2022-11-26,@ Phoenix,L108-102,5-16,108.0,102.0,-6.0,-160.0
2022-11-27,vs Cleveland,L102-94,5-17,102.0,94.0,-8.0,-168.0
2022-11-28,vs Cleveland,L102-94,5-17,102.0,94.0,-8.0,-168.0
2022-11-29,vs New York,L140-110,5-18,140.0,110.0,-30.0,-198.0
2022-11-30,vs New York,L140-110,5-18,140.0,110.0,-30.0,-198.0
2022-12-01,vs Dallas,W131-125 OT,6-18,125.0,131.0,6.0,-192.0
2022-12-02,vs Dallas,W131-125 OT,6-18,125.0,131.0,6.0,-192.0
2022-12-03,vs Dallas,W131-125 OT,6-18,125.0,131.0,6.0,-192.0
2022-12-04,vs Memphis,L122-112,6-19,122.0,112.0,-10.0,-202.0
2022-12-05,vs Memphis,L122-112,6-19,122.0,112.0,-10.0,-202.0
2022-12-06,@ Miami,W116-96,7-19,96.0,116.0,20.0,-182.0
2022-12-07,@ New Orleans,L104-98,7-20,104.0,98.0,-6.0,-188.0
2022-12-08,@ New Orleans,L104-98,7-20,104.0,98.0,-6.0,-188.0
2022-12-09,@ Memphis,L114-103,7-21,114.0,103.0,-11.0,-199.0
2022-12-10,@ Memphis,L114-103,7-21,114.0,103.0,-11.0,-199.0
2022-12-11,vs Los Angeles,L124-117,7-22,124.0,117.0,-7.0,-206.0
2022-12-12,vs Los Angeles,L124-117,7-22,124.0,117.0,-7.0,-206.0
2022-12-13,vs Los Angeles,L124-117,7-22,124.0,117.0,-7.0,-206.0
2022-12-14,@ Charlotte,W141-134 OT,8-22,134.0,141.0,7.0,-199.0
2022-12-15,@ Charlotte,W141-134 OT,8-22,134.0,141.0,7.0,-199.0
2022-12-16,vs Sacramento,L122-113,8-23,122.0,113.0,-9.0,-208.0
2022-12-17,vs Sacramento,L122-113,8-23,122.0,113.0,-9.0,-208.0
2022-12-18,vs Brooklyn,L124-121,8-24,124.0,121.0,-3.0,-211.0
2022-12-19,vs Brooklyn,L124-121,8-24,124.0,121.0,-3.0,-211.0
2022-12-20,vs Utah,L126-111,8-25,126.0,111.0,-15.0,-226.0
2022-12-21,@ Philadelphia,L113-93,8-26,113.0,93.0,-20.0,-246.0
2022-12-22,@ Philadelphia,L113-93,8-26,113.0,93.0,-20.0,-246.0
2022-12-23,@ Atlanta,L130-105,8-27,130.0,105.0,-25.0,-271.0
2022-12-24,@ Atlanta,L130-105,8-27,130.0,105.0,-25.0,-271.0
2022-12-25,@ Atlanta,L130-105,8-27,130.0,105.0,-25.0,-271.0
2022-12-26,vs LA,L142-131 OT,8-28,142.0,131.0,-11.0,-282.0
2022-12-27,vs LA,L142-131 OT,8-28,142.0,131.0,-11.0,-282.0
2022-12-28,vs Orlando,W121-101,9-28,101.0,121.0,20.0,-262.0
2022-12-29,vs Orlando,W121-101,9-28,101.0,121.0,20.0,-262.0
2022-12-30,@ Chicago,L132-118,9-29,132.0,118.0,-14.0,-276.0
2022-12-31,@ Minnesota,W116-104,10-29,104.0,116.0,12.0,-264.0
2023-01-01,@ Minnesota,W116-104,10-29,104.0,116.0,12.0,-264.0
2023-01-02,@ Portland,L135-106,10-30,135.0,106.0,-29.0,-293.0
2023-01-03,@ Portland,L135-106,10-30,135.0,106.0,-29.0,-293.0
2023-01-04,@ Golden State,W122-119,11-30,119.0,122.0,3.0,-290.0
2023-01-05,@ Golden State,W122-119,11-30,119.0,122.0,3.0,-290.0
2023-01-06,@ San Antonio,L121-109,11-31,121.0,109.0,-12.0,-302.0
2023-01-07,@ San Antonio,L121-109,11-31,121.0,109.0,-12.0,-302.0
2023-01-08,vs Philadelphia,L123-111,11-32,123.0,111.0,-12.0,-314.0
2023-01-09,vs Philadelphia,L123-111,11-32,123.0,111.0,-12.0,-314.0
2023-01-10,@ Philadelphia,L147-116,11-33,147.0,116.0,-31.0,-345.0
