Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Los Angeles,W123-109,1-0,109.0,123.0,14.0,14.0
2022-10-19,vs Los Angeles,W123-109,1-0,109.0,123.0,14.0,14.0
2022-10-20,vs Los Angeles,W123-109,1-0,109.0,123.0,14.0,14.0
2022-10-21,vs Denver,L128-123,1-1,128.0,123.0,-5.0,9.0
2022-10-22,vs Denver,L128-123,1-1,128.0,123.0,-5.0,9.0
2022-10-23,vs Sacramento,W130-125,2-1,125.0,130.0,5.0,14.0
2022-10-24,vs Sacramento,W130-125,2-1,125.0,130.0,5.0,14.0
2022-10-25,@ Phoenix,L134-105,2-2,134.0,105.0,-29.0,-15.0
2022-10-26,@ Phoenix,L134-105,2-2,134.0,105.0,-29.0,-15.0
2022-10-27,vs Miami,W123-110,3-2,110.0,123.0,13.0,-2.0
2022-10-28,vs Miami,W123-110,3-2,110.0,123.0,13.0,-2.0
2022-10-29,@ Charlotte,L120-113 OT,3-3,120.0,113.0,-7.0,-9.0
2022-10-30,@ Detroit,L128-114,3-4,128.0,114.0,-14.0,-23.0
2022-10-31,@ Detroit,L128-114,3-4,128.0,114.0,-14.0,-23.0
2022-11-01,@ Miami,L116-109,3-5,116.0,109.0,-7.0,-30.0
2022-11-02,@ Miami,L116-109,3-5,116.0,109.0,-7.0,-30.0
2022-11-03,@ Orlando,L130-129,3-6,130.0,129.0,-1.0,-31.0
2022-11-04,@ New Orleans,L114-105,3-7,114.0,105.0,-9.0,-40.0
2022-11-05,@ New Orleans,L114-105,3-7,114.0,105.0,-9.0,-40.0
2022-11-06,@ New Orleans,L114-105,3-7,114.0,105.0,-9.0,-40.0
2022-11-07,vs Sacramento,W116-113,4-7,113.0,116.0,3.0,-37.0
2022-11-08,vs Sacramento,W116-113,4-7,113.0,116.0,3.0,-37.0
2022-11-09,vs Sacramento,W116-113,4-7,113.0,116.0,3.0,-37.0
2022-11-10,vs Sacramento,W116-113,4-7,113.0,116.0,3.0,-37.0
2022-11-11,vs Cleveland,W106-101,5-7,101.0,106.0,5.0,-32.0
2022-11-12,vs Cleveland,W106-101,5-7,101.0,106.0,5.0,-32.0
2022-11-13,@ Sacramento,L122-115,5-8,122.0,115.0,-7.0,-39.0
2022-11-14,vs San Antonio,W132-95,6-8,95.0,132.0,37.0,-2.0
2022-11-15,vs San Antonio,W132-95,6-8,95.0,132.0,37.0,-2.0
2022-11-16,@ Phoenix,L130-119,6-9,130.0,119.0,-11.0,-13.0
2022-11-17,@ Phoenix,L130-119,6-9,130.0,119.0,-11.0,-13.0
2022-11-18,vs New York,W111-101,7-9,101.0,111.0,10.0,-3.0
2022-11-19,vs New York,W111-101,7-9,101.0,111.0,10.0,-3.0
2022-11-20,@ Houston,W127-120,8-9,120.0,127.0,7.0,4.0
2022-11-21,@ New Orleans,L128-83,8-10,128.0,83.0,-45.0,-41.0
2022-11-22,@ New Orleans,L128-83,8-10,128.0,83.0,-45.0,-41.0
2022-11-23,vs LA,W124-107,9-10,107.0,124.0,17.0,-24.0
2022-11-24,vs LA,W124-107,9-10,107.0,124.0,17.0,-24.0
2022-11-25,vs Utah,W129-118,10-10,118.0,129.0,11.0,-13.0
2022-11-26,vs Utah,W129-118,10-10,118.0,129.0,11.0,-13.0
2022-11-27,@ Minnesota,W137-114,11-10,114.0,137.0,23.0,10.0
2022-11-28,@ Minnesota,W137-114,11-10,114.0,137.0,23.0,10.0
2022-11-29,@ Dallas,L116-113,11-11,116.0,113.0,-3.0,7.0
2022-11-30,@ Dallas,L116-113,11-11,116.0,113.0,-3.0,7.0
2022-12-01,@ Dallas,L116-113,11-11,116.0,113.0,-3.0,7.0
2022-12-02,vs Chicago,W119-111,12-11,111.0,119.0,8.0,15.0
2022-12-03,vs Houston,W120-101,13-11,101.0,120.0,19.0,34.0
2022-12-04,vs Houston,W120-101,13-11,101.0,120.0,19.0,34.0
2022-12-05,vs Indiana,L112-104,13-12,112.0,104.0,-8.0,26.0
2022-12-06,vs Indiana,L112-104,13-12,112.0,104.0,-8.0,26.0
2022-12-07,@ Utah,L124-123,13-13,124.0,123.0,-1.0,25.0
2022-12-08,@ Utah,L124-123,13-13,124.0,123.0,-1.0,25.0
2022-12-09,@ Utah,L124-123,13-13,124.0,123.0,-1.0,25.0
2022-12-10,vs Boston,W123-107,14-13,107.0,123.0,16.0,41.0
2022-12-11,vs Boston,W123-107,14-13,107.0,123.0,16.0,41.0
2022-12-12,vs Boston,W123-107,14-13,107.0,123.0,16.0,41.0
2022-12-13,@ Milwaukee,L128-111,14-14,128.0,111.0,-17.0,24.0
2022-12-14,@ Indiana,L125-119,14-15,125.0,119.0,-6.0,18.0
2022-12-15,@ Indiana,L125-119,14-15,125.0,119.0,-6.0,18.0
2022-12-16,@ Philadelphia,L118-106,14-16,118.0,106.0,-12.0,6.0
2022-12-17,@ Philadelphia,L118-106,14-16,118.0,106.0,-12.0,6.0
2022-12-18,@ Toronto,W126-110,15-16,110.0,126.0,16.0,22.0
2022-12-19,@ Toronto,W126-110,15-16,110.0,126.0,16.0,22.0
2022-12-20,@ New York,L132-94,15-17,132.0,94.0,-38.0,-16.0
2022-12-21,@ Brooklyn,L143-113,15-18,143.0,113.0,-30.0,-46.0
2022-12-22,@ Brooklyn,L143-113,15-18,143.0,113.0,-30.0,-46.0
2022-12-23,@ Brooklyn,L143-113,15-18,143.0,113.0,-30.0,-46.0
2022-12-24,@ Brooklyn,L143-113,15-18,143.0,113.0,-30.0,-46.0
2022-12-25,vs Memphis,W123-109,16-18,109.0,123.0,14.0,-32.0
2022-12-26,vs Memphis,W123-109,16-18,109.0,123.0,14.0,-32.0
2022-12-27,vs Charlotte,W110-105,17-18,105.0,110.0,5.0,-27.0
2022-12-28,vs Utah,W112-107,18-18,107.0,112.0,5.0,-22.0
2022-12-29,vs Utah,W112-107,18-18,107.0,112.0,5.0,-22.0
2022-12-30,vs Portland,W118-112,19-18,112.0,118.0,6.0,-16.0
2022-12-31,vs Portland,W118-112,19-18,112.0,118.0,6.0,-16.0
2023-01-01,vs Portland,W118-112,19-18,112.0,118.0,6.0,-16.0
2023-01-02,vs Atlanta,W143-141 2OT,20-18,141.0,143.0,2.0,-14.0
2023-01-03,vs Atlanta,W143-141 2OT,20-18,141.0,143.0,2.0,-14.0
2023-01-04,vs Detroit,L122-119,20-19,122.0,119.0,-3.0,-17.0
2023-01-05,vs Detroit,L122-119,20-19,122.0,119.0,-3.0,-17.0
2023-01-06,vs Detroit,L122-119,20-19,122.0,119.0,-3.0,-17.0
2023-01-07,vs Orlando,L115-101,20-20,115.0,101.0,-14.0,-31.0
2023-01-08,vs Orlando,L115-101,20-20,115.0,101.0,-14.0,-31.0
2023-01-09,vs Orlando,L115-101,20-20,115.0,101.0,-14.0,-31.0
2023-01-10,vs Phoenix,L125-113,20-21,125.0,113.0,-12.0,-43.0
2023-01-11,vs Phoenix,L125-113,20-21,125.0,113.0,-12.0,-43.0
2023-01-12,vs Phoenix,L125-113,20-21,125.0,113.0,-12.0,-43.0
2023-01-13,@ San Antonio,W144-113,21-21,113.0,144.0,31.0,-12.0
2023-01-14,@ San Antonio,W144-113,21-21,113.0,144.0,31.0,-12.0
