Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Atlanta,L117-107,0-1,117.0,107.0,-10.0,-10.0
2022-10-19,@ Atlanta,L117-107,0-1,117.0,107.0,-10.0,-10.0
2022-10-20,@ Atlanta,L117-107,0-1,117.0,107.0,-10.0,-10.0
2022-10-21,vs Memphis,L129-122,0-2,129.0,122.0,-7.0,-17.0
2022-10-22,@ Milwaukee,L125-105,0-3,125.0,105.0,-20.0,-37.0
2022-10-23,@ Milwaukee,L125-105,0-3,125.0,105.0,-20.0,-37.0
2022-10-24,vs Utah,W114-108,1-3,108.0,114.0,6.0,-31.0
2022-10-25,vs Utah,W114-108,1-3,108.0,114.0,6.0,-31.0
2022-10-26,@ Utah,L109-101,1-4,109.0,101.0,-8.0,-39.0
2022-10-27,@ Utah,L109-101,1-4,109.0,101.0,-8.0,-39.0
2022-10-28,@ Portland,L125-111,1-5,125.0,111.0,-14.0,-53.0
2022-10-29,@ Portland,L125-111,1-5,125.0,111.0,-14.0,-53.0
2022-10-30,@ Phoenix,L124-109,1-6,124.0,109.0,-15.0,-68.0
2022-10-31,@ LA,L95-93,1-7,95.0,93.0,-2.0,-70.0
2022-11-01,@ LA,L95-93,1-7,95.0,93.0,-2.0,-70.0
2022-11-02,vs LA,L109-101,1-8,109.0,101.0,-8.0,-78.0
2022-11-03,vs LA,L109-101,1-8,109.0,101.0,-8.0,-78.0
2022-11-04,vs LA,L109-101,1-8,109.0,101.0,-8.0,-78.0
2022-11-05,@ Minnesota,L129-117,1-9,129.0,117.0,-12.0,-90.0
2022-11-06,@ Minnesota,L129-117,1-9,129.0,117.0,-12.0,-90.0
2022-11-07,@ Orlando,W134-127,2-9,127.0,134.0,7.0,-83.0
2022-11-08,@ Orlando,W134-127,2-9,127.0,134.0,7.0,-83.0
2022-11-09,@ Toronto,L116-109,2-10,116.0,109.0,-7.0,-90.0
2022-11-10,@ Toronto,L116-109,2-10,116.0,109.0,-7.0,-90.0
2022-11-11,@ Toronto,L116-109,2-10,116.0,109.0,-7.0,-90.0
2022-11-12,@ New Orleans,L119-106,2-11,119.0,106.0,-13.0,-103.0
2022-11-13,@ New Orleans,L119-106,2-11,119.0,106.0,-13.0,-103.0
2022-11-14,vs LA,L122-106,2-12,122.0,106.0,-16.0,-119.0
2022-11-15,vs LA,L122-106,2-12,122.0,106.0,-16.0,-119.0
2022-11-16,@ Dallas,W101-92,3-12,92.0,101.0,9.0,-110.0
2022-11-17,@ Dallas,W101-92,3-12,92.0,101.0,9.0,-110.0
2022-11-18,vs Indiana,L99-91,3-13,99.0,91.0,-8.0,-118.0
2022-11-19,vs Indiana,L99-91,3-13,99.0,91.0,-8.0,-118.0
2022-11-20,vs Golden State,L127-120,3-14,127.0,120.0,-7.0,-125.0
2022-11-21,vs Golden State,L127-120,3-14,127.0,120.0,-7.0,-125.0
2022-11-22,vs Golden State,L127-120,3-14,127.0,120.0,-7.0,-125.0
2022-11-23,vs Golden State,L127-120,3-14,127.0,120.0,-7.0,-125.0
2022-11-24,vs Golden State,L127-120,3-14,127.0,120.0,-7.0,-125.0
2022-11-25,vs Atlanta,W128-122,4-14,122.0,128.0,6.0,-119.0
2022-11-26,vs Oklahoma City,W118-105,5-14,105.0,118.0,13.0,-106.0
2022-11-27,vs Oklahoma City,W118-105,5-14,105.0,118.0,13.0,-106.0
2022-11-28,@ Denver,L129-113,5-15,129.0,113.0,-16.0,-122.0
2022-11-29,@ Denver,L129-113,5-15,129.0,113.0,-16.0,-122.0
2022-11-30,@ Denver,L120-100,5-16,120.0,100.0,-20.0,-142.0
2022-12-01,@ Denver,L120-100,5-16,120.0,100.0,-20.0,-142.0
2022-12-02,@ Phoenix,W122-121,6-16,121.0,122.0,1.0,-141.0
2022-12-03,@ Golden State,L120-101,6-17,120.0,101.0,-19.0,-160.0
2022-12-04,@ Golden State,L120-101,6-17,120.0,101.0,-19.0,-160.0
2022-12-05,vs Philadelphia,W132-123 2OT,7-17,123.0,132.0,9.0,-151.0
2022-12-06,vs Philadelphia,W132-123 2OT,7-17,123.0,132.0,9.0,-151.0
2022-12-07,vs Philadelphia,W132-123 2OT,7-17,123.0,132.0,9.0,-151.0
2022-12-08,@ San Antonio,L118-109,7-18,118.0,109.0,-9.0,-160.0
2022-12-09,@ San Antonio,L118-109,7-18,118.0,109.0,-9.0,-160.0
2022-12-10,@ San Antonio,L118-109,7-18,118.0,109.0,-9.0,-160.0
2022-12-11,vs Milwaukee,W97-92,8-18,92.0,97.0,5.0,-155.0
2022-12-12,vs Milwaukee,W97-92,8-18,92.0,97.0,5.0,-155.0
2022-12-13,vs Phoenix,W111-97,9-18,97.0,111.0,14.0,-141.0
2022-12-14,vs Phoenix,W111-97,9-18,97.0,111.0,14.0,-141.0
2022-12-15,vs Miami,L111-108,9-19,111.0,108.0,-3.0,-144.0
2022-12-16,vs Miami,L111-108,9-19,111.0,108.0,-3.0,-144.0
2022-12-17,vs Portland,L107-95,9-20,107.0,95.0,-12.0,-156.0
2022-12-18,vs Portland,L107-95,9-20,107.0,95.0,-12.0,-156.0
2022-12-19,vs San Antonio,L124-105,9-21,124.0,105.0,-19.0,-175.0
2022-12-20,vs San Antonio,L124-105,9-21,124.0,105.0,-19.0,-175.0
2022-12-21,vs Orlando,L116-110,9-22,116.0,110.0,-6.0,-181.0
2022-12-22,vs Orlando,L116-110,9-22,116.0,110.0,-6.0,-181.0
2022-12-23,vs Dallas,L112-106,9-23,112.0,106.0,-6.0,-187.0
2022-12-24,vs Dallas,L112-106,9-23,112.0,106.0,-6.0,-187.0
2022-12-25,vs Dallas,L112-106,9-23,112.0,106.0,-6.0,-187.0
2022-12-26,@ Chicago,W133-118,10-23,118.0,133.0,15.0,-172.0
2022-12-27,@ Boston,L126-102,10-24,126.0,102.0,-24.0,-196.0
2022-12-28,@ Boston,L126-102,10-24,126.0,102.0,-24.0,-196.0
2022-12-29,@ Dallas,L129-114,10-25,129.0,114.0,-15.0,-211.0
2022-12-30,@ Dallas,L129-114,10-25,129.0,114.0,-15.0,-211.0
2022-12-31,vs New York,L108-88,10-26,108.0,88.0,-20.0,-231.0
2023-01-01,vs New York,L108-88,10-26,108.0,88.0,-20.0,-231.0
2023-01-02,vs Dallas,L111-106,10-27,111.0,106.0,-5.0,-236.0
2023-01-03,vs Dallas,L111-106,10-27,111.0,106.0,-5.0,-236.0
2023-01-04,@ New Orleans,L119-108,10-28,119.0,108.0,-11.0,-247.0
2023-01-05,vs Utah,L131-114,10-29,131.0,114.0,-17.0,-264.0
2023-01-06,vs Utah,L131-114,10-29,131.0,114.0,-17.0,-264.0
2023-01-07,vs Utah,L131-114,10-29,131.0,114.0,-17.0,-264.0
2023-01-08,vs Minnesota,L104-96,10-30,104.0,96.0,-8.0,-272.0
2023-01-09,vs Minnesota,L104-96,10-30,104.0,96.0,-8.0,-272.0
2023-01-10,vs Minnesota,L104-96,10-30,104.0,96.0,-8.0,-272.0
2023-01-11,@ Sacramento,L135-115,10-31,135.0,115.0,-20.0,-292.0
2023-01-12,@ Sacramento,L135-115,10-31,135.0,115.0,-20.0,-292.0
2023-01-13,@ Sacramento,L139-114,10-32,139.0,114.0,-25.0,-317.0
2023-01-14,@ Sacramento,L139-114,10-32,139.0,114.0,-25.0,-317.0
2023-01-15,@ LA,L121-100,10-33,121.0,100.0,-21.0,-338.0
2023-01-16,@ Los Angeles,L140-132,10-34,140.0,132.0,-8.0,-346.0
2023-01-17,@ Los Angeles,L140-132,10-34,140.0,132.0,-8.0,-346.0
2023-01-18,vs Charlotte,L122-117,10-35,122.0,117.0,-5.0,-351.0
2023-01-19,vs Charlotte,L122-117,10-35,122.0,117.0,-5.0,-351.0
2023-01-20,vs Charlotte,L122-117,10-35,122.0,117.0,-5.0,-351.0
