Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Washington,L114-107,0-1,114.0,107.0,-7.0,-7.0
2022-10-19,vs Washington,L114-107,0-1,114.0,107.0,-7.0,-7.0
2022-10-20,vs Washington,L114-107,0-1,114.0,107.0,-7.0,-7.0
2022-10-21,vs San Antonio,L137-134,0-2,137.0,134.0,-3.0,-10.0
2022-10-22,vs Detroit,W124-115,1-2,115.0,124.0,9.0,-1.0
2022-10-23,vs Detroit,W124-115,1-2,115.0,124.0,9.0,-1.0
2022-10-24,@ Philadelphia,L120-106,1-3,120.0,106.0,-14.0,-15.0
2022-10-25,@ Philadelphia,L120-106,1-3,120.0,106.0,-14.0,-15.0
2022-10-26,@ Chicago,L124-109,1-4,124.0,109.0,-15.0,-30.0
2022-10-27,@ Chicago,L124-109,1-4,124.0,109.0,-15.0,-30.0
2022-10-28,@ Washington,W127-117,2-4,117.0,127.0,10.0,-20.0
2022-10-29,@ Brooklyn,W125-116,3-4,116.0,125.0,9.0,-11.0
2022-10-30,@ Brooklyn,W125-116,3-4,116.0,125.0,9.0,-11.0
2022-10-31,@ Brooklyn,L116-109,3-5,116.0,109.0,-7.0,-18.0
2022-11-01,@ Brooklyn,L116-109,3-5,116.0,109.0,-7.0,-18.0
2022-11-02,@ Brooklyn,L116-109,3-5,116.0,109.0,-7.0,-18.0
2022-11-03,@ Brooklyn,L116-109,3-5,116.0,109.0,-7.0,-18.0
2022-11-04,vs Miami,W101-99,4-5,99.0,101.0,2.0,-16.0
2022-11-05,vs Miami,W101-99,4-5,99.0,101.0,2.0,-16.0
2022-11-06,vs Miami,W101-99,4-5,99.0,101.0,2.0,-16.0
2022-11-07,vs New Orleans,W129-122,5-5,122.0,129.0,7.0,-9.0
2022-11-08,vs New Orleans,W129-122,5-5,122.0,129.0,7.0,-9.0
2022-11-09,vs Denver,L122-119,5-6,122.0,119.0,-3.0,-12.0
2022-11-10,vs Denver,L122-119,5-6,122.0,119.0,-3.0,-12.0
2022-11-11,vs Denver,L122-119,5-6,122.0,119.0,-3.0,-12.0
2022-11-12,vs Toronto,W118-104,6-6,104.0,118.0,14.0,2.0
2022-11-13,vs Toronto,W118-104,6-6,104.0,118.0,14.0,2.0
2022-11-14,vs Toronto,W118-104,6-6,104.0,118.0,14.0,2.0
2022-11-15,vs Toronto,W118-104,6-6,104.0,118.0,14.0,2.0
2022-11-16,@ Charlotte,W125-113,7-6,113.0,125.0,12.0,14.0
2022-11-17,@ Charlotte,W125-113,7-6,113.0,125.0,12.0,14.0
2022-11-18,@ Houston,W99-91,8-6,91.0,99.0,8.0,22.0
2022-11-19,vs Orlando,W114-113,9-6,113.0,114.0,1.0,23.0
2022-11-20,vs Orlando,W114-113,9-6,113.0,114.0,1.0,23.0
2022-11-21,vs Orlando,W123-102,10-6,102.0,123.0,21.0,44.0
2022-11-22,vs Orlando,W123-102,10-6,102.0,123.0,21.0,44.0
2022-11-23,vs Minnesota,L115-101,10-7,115.0,101.0,-14.0,30.0
2022-11-24,vs Minnesota,L115-101,10-7,115.0,101.0,-14.0,30.0
2022-11-25,vs Brooklyn,W128-117,11-7,117.0,128.0,11.0,41.0
2022-11-26,vs Brooklyn,W128-117,11-7,117.0,128.0,11.0,41.0
2022-11-27,@ LA,L114-100,11-8,114.0,100.0,-14.0,27.0
2022-11-28,@ Los Angeles,W116-115,12-8,115.0,116.0,1.0,28.0
2022-11-29,@ Los Angeles,W116-115,12-8,115.0,116.0,1.0,28.0
2022-11-30,@ Sacramento,L137-114,12-9,137.0,114.0,-23.0,5.0
2022-12-01,@ Sacramento,L137-114,12-9,137.0,114.0,-23.0,5.0
2022-12-02,@ Utah,L139-119,12-10,139.0,119.0,-20.0,-15.0
2022-12-03,@ Utah,L139-119,12-10,139.0,119.0,-20.0,-15.0
2022-12-04,@ Portland,L116-100,12-11,116.0,100.0,-16.0,-31.0
2022-12-05,@ Golden State,W112-104,13-11,104.0,112.0,8.0,-23.0
2022-12-06,@ Golden State,W112-104,13-11,104.0,112.0,8.0,-23.0
2022-12-07,@ Minnesota,L121-115,13-12,121.0,115.0,-6.0,-29.0
2022-12-08,@ Minnesota,L121-115,13-12,121.0,115.0,-6.0,-29.0
2022-12-09,vs Washington,W121-111,14-12,111.0,121.0,10.0,-19.0
2022-12-10,vs Brooklyn,L136-133,14-13,136.0,133.0,-3.0,-22.0
2022-12-11,vs Brooklyn,L136-133,14-13,136.0,133.0,-3.0,-22.0
2022-12-12,vs Miami,L87-82,14-14,87.0,82.0,-5.0,-27.0
2022-12-13,vs Miami,L87-82,14-14,87.0,82.0,-5.0,-27.0
2022-12-14,vs Golden State,W125-119,15-14,119.0,125.0,6.0,-21.0
2022-12-15,vs Golden State,W125-119,15-14,119.0,125.0,6.0,-21.0
2022-12-16,@ Cleveland,L118-112,15-15,118.0,112.0,-6.0,-27.0
2022-12-17,@ Cleveland,L118-112,15-15,118.0,112.0,-6.0,-27.0
2022-12-18,vs New York,L109-106,15-16,109.0,106.0,-3.0,-30.0
2022-12-19,vs New York,L109-106,15-16,109.0,106.0,-3.0,-30.0
2022-12-20,vs New York,L109-106,15-16,109.0,106.0,-3.0,-30.0
2022-12-21,@ Boston,W117-112,16-16,112.0,117.0,5.0,-25.0
2022-12-22,@ Boston,W117-112,16-16,112.0,117.0,5.0,-25.0
2022-12-23,@ Miami,W111-108,17-16,108.0,111.0,3.0,-22.0
2022-12-24,@ Miami,W111-108,17-16,108.0,111.0,3.0,-22.0
2022-12-25,@ Miami,W111-108,17-16,108.0,111.0,3.0,-22.0
2022-12-26,@ New Orleans,L113-93,17-17,113.0,93.0,-20.0,-42.0
2022-12-27,vs Atlanta,W129-114,18-17,114.0,129.0,15.0,-27.0
2022-12-28,vs Atlanta,W129-114,18-17,114.0,129.0,15.0,-27.0
2022-12-29,vs Cleveland,W135-126,19-17,126.0,135.0,9.0,-18.0
2022-12-30,vs Cleveland,W135-126,19-17,126.0,135.0,9.0,-18.0
2022-12-31,vs LA,W131-130,20-17,130.0,131.0,1.0,-17.0
2023-01-01,vs LA,W131-130,20-17,130.0,131.0,1.0,-17.0
2023-01-02,vs Toronto,W122-114,21-17,114.0,122.0,8.0,-9.0
2023-01-03,vs Toronto,W122-114,21-17,114.0,122.0,8.0,-9.0
2023-01-04,@ Philadelphia,L129-126 OT,21-18,129.0,126.0,-3.0,-12.0
2023-01-05,@ Philadelphia,L129-126 OT,21-18,129.0,126.0,-3.0,-12.0
2023-01-06,vs Portland,W108-99,22-18,99.0,108.0,9.0,-3.0
2023-01-07,vs Portland,W108-99,22-18,99.0,108.0,9.0,-3.0
2023-01-08,vs Charlotte,W116-111,23-18,111.0,116.0,5.0,2.0
2023-01-09,vs Charlotte,W116-111,23-18,111.0,116.0,5.0,2.0
2023-01-10,vs Charlotte,W116-111,23-18,111.0,116.0,5.0,2.0
2023-01-11,@ New York,L119-113,23-19,119.0,113.0,-6.0,-4.0
2023-01-12,@ New York,L119-113,23-19,119.0,113.0,-6.0,-4.0
2023-01-13,vs Atlanta,L113-111,23-20,113.0,111.0,-2.0,-6.0
2023-01-14,vs Memphis,L130-112,23-21,130.0,112.0,-18.0,-24.0
2023-01-15,vs Memphis,L130-112,23-21,130.0,112.0,-18.0,-24.0
2023-01-16,@ Milwaukee,L132-119,23-22,132.0,119.0,-13.0,-37.0
2023-01-17,@ Milwaukee,L132-119,23-22,132.0,119.0,-13.0,-37.0
2023-01-18,@ Oklahoma City,L126-106,23-23,126.0,106.0,-20.0,-57.0
2023-01-19,@ Oklahoma City,L126-106,23-23,126.0,106.0,-20.0,-57.0
2023-01-20,@ Denver,L134-111,23-24,134.0,111.0,-23.0,-80.0
2023-01-21,@ Phoenix,L112-107,23-25,112.0,107.0,-5.0,-85.0
2023-01-22,@ Phoenix,L112-107,23-25,112.0,107.0,-5.0,-85.0
2023-01-23,@ Phoenix,L112-107,23-25,112.0,107.0,-5.0,-85.0
2023-01-24,vs Chicago,W116-110,24-25,110.0,116.0,6.0,-79.0
2023-01-25,@ Orlando,L126-120,24-26,126.0,120.0,-6.0,-85.0
2023-01-26,@ Orlando,L126-120,24-26,126.0,120.0,-6.0,-85.0
2023-01-27,vs Milwaukee,L141-131,24-27,141.0,131.0,-10.0,-95.0
2023-01-28,vs Milwaukee,L141-131,24-27,141.0,131.0,-10.0,-95.0
2023-01-29,@ Memphis,L112-100,24-28,112.0,100.0,-12.0,-107.0
2023-01-30,@ Memphis,L112-100,24-28,112.0,100.0,-12.0,-107.0
2023-01-31,@ Memphis,L112-100,24-28,112.0,100.0,-12.0,-107.0
2023-02-01,@ Memphis,L112-100,24-28,112.0,100.0,-12.0,-107.0
2023-02-02,vs Los Angeles,L112-111,24-29,112.0,111.0,-1.0,-108.0
2023-02-03,vs Sacramento,W107-104,25-29,104.0,107.0,3.0,-105.0
2023-02-04,vs Sacramento,W107-104,25-29,104.0,107.0,3.0,-105.0
2023-02-05,vs Cleveland,L122-103,25-30,122.0,103.0,-19.0,-124.0
2023-02-06,vs Cleveland,L122-103,25-30,122.0,103.0,-19.0,-124.0
2023-02-07,vs Cleveland,L122-103,25-30,122.0,103.0,-19.0,-124.0
2023-02-08,@ Miami,L116-111,25-31,116.0,111.0,-5.0,-129.0
2023-02-09,@ Miami,L116-111,25-31,116.0,111.0,-5.0,-129.0
2023-02-10,vs Phoenix,L117-104,25-32,117.0,104.0,-13.0,-142.0
2023-02-11,@ Washington,L127-113,25-33,127.0,113.0,-14.0,-156.0
2023-02-12,@ Washington,L127-113,25-33,127.0,113.0,-14.0,-156.0
2023-02-13,vs Utah,L123-117,25-34,123.0,117.0,-6.0,-162.0
2023-02-14,vs Utah,L123-117,25-34,123.0,117.0,-6.0,-162.0
2023-02-15,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-16,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-17,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-18,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-19,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-20,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-21,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-22,vs Chicago,W117-113,26-34,113.0,117.0,4.0,-158.0
2023-02-23,vs Boston,L142-138 OT,26-35,142.0,138.0,-4.0,-162.0
2023-02-24,vs Boston,L142-138 OT,26-35,142.0,138.0,-4.0,-162.0
2023-02-25,@ Orlando,W121-108,27-35,108.0,121.0,13.0,-149.0
2023-02-26,@ Orlando,W121-108,27-35,108.0,121.0,13.0,-149.0
2023-02-27,@ Orlando,W121-108,27-35,108.0,121.0,13.0,-149.0
2023-02-28,@ Dallas,W124-122,28-35,122.0,124.0,2.0,-147.0
2023-03-01,@ Dallas,W124-122,28-35,122.0,124.0,2.0,-147.0
