Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Los Angeles,W103-97,1-0,97.0,103.0,6.0,6.0
2022-10-19,@ Los Angeles,W103-97,1-0,97.0,103.0,6.0,6.0
2022-10-20,@ Los Angeles,W103-97,1-0,97.0,103.0,6.0,6.0
2022-10-21,@ Los Angeles,W103-97,1-0,97.0,103.0,6.0,6.0
2022-10-22,@ Sacramento,W111-109,2-0,109.0,111.0,2.0,8.0
2022-10-23,vs Phoenix,L112-95,2-1,112.0,95.0,-17.0,-9.0
2022-10-24,vs Phoenix,L112-95,2-1,112.0,95.0,-17.0,-9.0
2022-10-25,@ Oklahoma City,L108-94,2-2,108.0,94.0,-14.0,-23.0
2022-10-26,@ Oklahoma City,L108-94,2-2,108.0,94.0,-14.0,-23.0
2022-10-27,@ Oklahoma City,L118-110,2-3,118.0,110.0,-8.0,-31.0
2022-10-28,@ Oklahoma City,L118-110,2-3,118.0,110.0,-8.0,-31.0
2022-10-29,@ Oklahoma City,L118-110,2-3,118.0,110.0,-8.0,-31.0
2022-10-30,vs New Orleans,L112-91,2-4,112.0,91.0,-21.0,-52.0
2022-10-31,vs Houston,W95-93,3-4,93.0,95.0,2.0,-50.0
2022-11-01,vs Houston,W95-93,3-4,93.0,95.0,2.0,-50.0
2022-11-02,@ Houston,W109-101,4-4,101.0,109.0,8.0,-42.0
2022-11-03,@ Houston,W109-101,4-4,101.0,109.0,8.0,-42.0
2022-11-04,@ San Antonio,W113-106,5-4,106.0,113.0,7.0,-35.0
2022-11-05,@ San Antonio,W113-106,5-4,106.0,113.0,7.0,-35.0
2022-11-06,vs Utah,L110-102,5-5,110.0,102.0,-8.0,-43.0
2022-11-07,vs Cleveland,W119-117,6-5,117.0,119.0,2.0,-41.0
2022-11-08,vs Cleveland,W119-117,6-5,117.0,119.0,2.0,-41.0
2022-11-09,vs Los Angeles,W114-101,7-5,101.0,114.0,13.0,-28.0
2022-11-10,vs Los Angeles,W114-101,7-5,101.0,114.0,13.0,-28.0
2022-11-11,vs Los Angeles,W114-101,7-5,101.0,114.0,13.0,-28.0
2022-11-12,vs Brooklyn,L110-95,7-6,110.0,95.0,-15.0,-43.0
2022-11-13,vs Brooklyn,L110-95,7-6,110.0,95.0,-15.0,-43.0
2022-11-14,@ Houston,W122-106,8-6,106.0,122.0,16.0,-27.0
2022-11-15,@ Dallas,L103-101,8-7,103.0,101.0,-2.0,-29.0
2022-11-16,@ Dallas,L103-101,8-7,103.0,101.0,-2.0,-29.0
2022-11-17,vs Detroit,W96-91,9-7,91.0,96.0,5.0,-24.0
2022-11-18,vs Detroit,W96-91,9-7,91.0,96.0,5.0,-24.0
2022-11-19,vs San Antonio,W119-97,10-7,97.0,119.0,22.0,-2.0
2022-11-20,vs San Antonio,W119-97,10-7,97.0,119.0,22.0,-2.0
2022-11-21,vs Utah,W121-114,11-7,114.0,121.0,7.0,5.0
2022-11-22,vs Utah,W121-114,11-7,114.0,121.0,7.0,5.0
2022-11-23,@ Golden State,L124-107,11-8,124.0,107.0,-17.0,-12.0
2022-11-24,@ Golden State,L124-107,11-8,124.0,107.0,-17.0,-12.0
2022-11-25,vs Denver,L114-104,11-9,114.0,104.0,-10.0,-22.0
