Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Golden State,L123-109,0-1,123.0,109.0,-14.0,-14.0
2022-10-19,@ Golden State,L123-109,0-1,123.0,109.0,-14.0,-14.0
2022-10-20,vs LA,L103-97,0-2,103.0,97.0,-6.0,-20.0
2022-10-21,vs LA,L103-97,0-2,103.0,97.0,-6.0,-20.0
2022-10-22,vs LA,L103-97,0-2,103.0,97.0,-6.0,-20.0
2022-10-23,vs Portland,L106-104,0-3,106.0,104.0,-2.0,-22.0
2022-10-24,vs Portland,L106-104,0-3,106.0,104.0,-2.0,-22.0
2022-10-25,vs Portland,L106-104,0-3,106.0,104.0,-2.0,-22.0
2022-10-26,@ Denver,L110-99,0-4,110.0,99.0,-11.0,-33.0
2022-10-27,@ Denver,L110-99,0-4,110.0,99.0,-11.0,-33.0
2022-10-28,@ Minnesota,L111-102,0-5,111.0,102.0,-9.0,-42.0
2022-10-29,@ Minnesota,L111-102,0-5,111.0,102.0,-9.0,-42.0
2022-10-30,vs Denver,W121-110,1-5,110.0,121.0,11.0,-31.0
2022-10-31,vs Denver,W121-110,1-5,110.0,121.0,11.0,-31.0
2022-11-01,vs Denver,W121-110,1-5,110.0,121.0,11.0,-31.0
2022-11-02,vs New Orleans,W120-117 OT,2-5,117.0,120.0,3.0,-28.0
2022-11-03,vs New Orleans,W120-117 OT,2-5,117.0,120.0,3.0,-28.0
2022-11-04,vs Utah,L130-116,2-6,130.0,116.0,-14.0,-42.0
2022-11-05,vs Utah,L130-116,2-6,130.0,116.0,-14.0,-42.0
2022-11-06,vs Cleveland,L114-100,2-7,114.0,100.0,-14.0,-56.0
2022-11-07,@ Utah,L139-116,2-8,139.0,116.0,-23.0,-79.0
2022-11-08,@ Utah,L139-116,2-8,139.0,116.0,-23.0,-79.0
2022-11-09,@ LA,L114-101,2-9,114.0,101.0,-13.0,-92.0
2022-11-10,@ LA,L114-101,2-9,114.0,101.0,-13.0,-92.0
2022-11-11,vs Sacramento,L120-114,2-10,120.0,114.0,-6.0,-98.0
2022-11-12,vs Sacramento,L120-114,2-10,120.0,114.0,-6.0,-98.0
2022-11-13,vs Brooklyn,W116-103,3-10,103.0,116.0,13.0,-85.0
2022-11-14,vs Brooklyn,W116-103,3-10,103.0,116.0,13.0,-85.0
2022-11-15,vs Brooklyn,W116-103,3-10,103.0,116.0,13.0,-85.0
2022-11-16,vs Brooklyn,W116-103,3-10,103.0,116.0,13.0,-85.0
2022-11-17,vs Brooklyn,W116-103,3-10,103.0,116.0,13.0,-85.0
2022-11-18,vs Detroit,W128-121,4-10,121.0,128.0,7.0,-78.0
2022-11-19,vs Detroit,W128-121,4-10,121.0,128.0,7.0,-78.0
2022-11-20,vs San Antonio,W123-92,5-10,92.0,123.0,31.0,-47.0
2022-11-21,vs San Antonio,W123-92,5-10,92.0,123.0,31.0,-47.0
2022-11-22,@ Phoenix,L115-105,5-11,115.0,105.0,-10.0,-57.0
2022-11-23,@ Phoenix,L115-105,5-11,115.0,105.0,-10.0,-57.0
2022-11-24,@ Phoenix,L115-105,5-11,115.0,105.0,-10.0,-57.0
2022-11-25,@ San Antonio,W105-94,6-11,94.0,105.0,11.0,-46.0
2022-11-26,@ San Antonio,W143-138,7-11,138.0,143.0,5.0,-41.0
2022-11-27,@ San Antonio,W143-138,7-11,138.0,143.0,5.0,-41.0
2022-11-28,vs Indiana,L116-115,7-12,116.0,115.0,-1.0,-42.0
2022-11-29,vs Indiana,L116-115,7-12,116.0,115.0,-1.0,-42.0
2022-11-30,vs Portland,W128-109,8-12,109.0,128.0,19.0,-23.0
2022-12-01,vs Portland,W128-109,8-12,109.0,128.0,19.0,-23.0
2022-12-02,@ Milwaukee,W133-129,9-12,129.0,133.0,4.0,-19.0
2022-12-03,@ Milwaukee,W133-129,9-12,129.0,133.0,4.0,-19.0
2022-12-04,@ Washington,W130-119,10-12,119.0,130.0,11.0,-8.0
2022-12-05,@ Washington,W130-119,10-12,119.0,130.0,11.0,-8.0
2022-12-06,@ Cleveland,L116-102,10-13,116.0,102.0,-14.0,-22.0
2022-12-07,@ Toronto,L126-113,10-14,126.0,113.0,-13.0,-35.0
2022-12-08,@ Toronto,L126-113,10-14,126.0,113.0,-13.0,-35.0
2022-12-09,@ Philadelphia,L133-122 OT,10-15,133.0,122.0,-11.0,-46.0
2022-12-10,@ Philadelphia,L133-122 OT,10-15,133.0,122.0,-11.0,-46.0
2022-12-11,@ Detroit,W124-117,11-15,117.0,124.0,7.0,-39.0
2022-12-12,@ Detroit,W124-117,11-15,117.0,124.0,7.0,-39.0
2022-12-13,vs Boston,L122-118 OT,11-16,122.0,118.0,-4.0,-43.0
2022-12-14,vs Boston,L122-118 OT,11-16,122.0,118.0,-4.0,-43.0
2022-12-15,vs Boston,L122-118 OT,11-16,122.0,118.0,-4.0,-43.0
2022-12-16,vs Denver,W126-108,12-16,108.0,126.0,18.0,-25.0
2022-12-17,vs Denver,W126-108,12-16,108.0,126.0,18.0,-25.0
2022-12-18,vs Washington,W119-117,13-16,117.0,119.0,2.0,-23.0
2022-12-19,@ Phoenix,L130-104,13-17,130.0,104.0,-26.0,-49.0
2022-12-20,@ Phoenix,L130-104,13-17,130.0,104.0,-26.0,-49.0
2022-12-21,@ Sacramento,L134-120,13-18,134.0,120.0,-14.0,-63.0
2022-12-22,@ Sacramento,L134-120,13-18,134.0,120.0,-14.0,-63.0
2022-12-23,vs Charlotte,L134-130,13-19,134.0,130.0,-4.0,-67.0
2022-12-24,vs Charlotte,L134-130,13-19,134.0,130.0,-4.0,-67.0
