Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs New York,W115-112 OT,1-0,112.0,115.0,3.0,3.0
2022-10-19,vs New York,W115-112 OT,1-0,112.0,115.0,3.0,3.0
2022-10-20,vs New York,W115-112 OT,1-0,112.0,115.0,3.0,3.0
2022-10-21,@ Houston,W129-122,2-0,122.0,129.0,7.0,10.0
2022-10-22,@ Dallas,L137-96,2-1,137.0,96.0,-41.0,-31.0
2022-10-23,@ Dallas,L137-96,2-1,137.0,96.0,-41.0,-31.0
2022-10-24,vs Brooklyn,W134-124,3-1,124.0,134.0,10.0,-21.0
2022-10-25,vs Brooklyn,W134-124,3-1,124.0,134.0,10.0,-21.0
2022-10-26,vs Brooklyn,W134-124,3-1,124.0,134.0,10.0,-21.0
2022-10-27,@ Sacramento,W125-110,4-1,110.0,125.0,15.0,-6.0
2022-10-28,@ Sacramento,W125-110,4-1,110.0,125.0,15.0,-6.0
2022-10-29,@ Utah,L124-123,4-2,124.0,123.0,-1.0,-7.0
2022-10-30,@ Utah,L124-123,4-2,124.0,123.0,-1.0,-7.0
2022-10-31,@ Utah,L121-105,4-3,121.0,105.0,-16.0,-23.0
2022-11-01,@ Utah,L121-105,4-3,121.0,105.0,-16.0,-23.0
2022-11-02,@ Portland,W111-106,5-3,106.0,111.0,5.0,-18.0
2022-11-03,@ Portland,W111-106,5-3,106.0,111.0,5.0,-18.0
2022-11-04,vs Charlotte,W130-99,6-3,99.0,130.0,31.0,13.0
2022-11-05,vs Charlotte,W130-99,6-3,99.0,130.0,31.0,13.0
2022-11-06,vs Washington,W103-97,7-3,97.0,103.0,6.0,19.0
2022-11-07,vs Boston,L109-106,7-4,109.0,106.0,-3.0,16.0
2022-11-08,vs Boston,L109-106,7-4,109.0,106.0,-3.0,16.0
2022-11-09,@ San Antonio,W124-122 OT,8-4,122.0,124.0,2.0,18.0
2022-11-10,@ San Antonio,W124-122 OT,8-4,122.0,124.0,2.0,18.0
2022-11-11,vs Minnesota,W114-103,9-4,103.0,114.0,11.0,29.0
2022-11-12,vs Minnesota,W114-103,9-4,103.0,114.0,11.0,29.0
2022-11-13,@ Washington,L102-92,9-5,102.0,92.0,-10.0,19.0
2022-11-14,@ Washington,L102-92,9-5,102.0,92.0,-10.0,19.0
2022-11-15,@ New Orleans,L113-102,9-6,113.0,102.0,-11.0,8.0
2022-11-16,@ New Orleans,L113-102,9-6,113.0,102.0,-11.0,8.0
2022-11-17,@ New Orleans,L113-102,9-6,113.0,102.0,-11.0,8.0
2022-11-18,vs Oklahoma City,W121-110,10-6,110.0,121.0,11.0,19.0
2022-11-19,vs Oklahoma City,W121-110,10-6,110.0,121.0,11.0,19.0
2022-11-20,@ Brooklyn,L127-115,10-7,127.0,115.0,-12.0,7.0
2022-11-21,@ Brooklyn,L127-115,10-7,127.0,115.0,-12.0,7.0
2022-11-22,vs Sacramento,L113-109,10-8,113.0,109.0,-4.0,3.0
2022-11-23,vs Sacramento,L113-109,10-8,113.0,109.0,-4.0,3.0
2022-11-24,vs Sacramento,L113-109,10-8,113.0,109.0,-4.0,3.0
2022-11-25,vs New Orleans,W132-111,11-8,111.0,132.0,21.0,24.0
2022-11-26,vs New Orleans,W132-111,11-8,111.0,132.0,21.0,24.0
2022-11-27,@ New York,W127-123,12-8,123.0,127.0,4.0,28.0
2022-11-28,@ New York,W127-123,12-8,123.0,127.0,4.0,28.0
2022-11-29,@ New York,W127-123,12-8,123.0,127.0,4.0,28.0
2022-11-30,@ Minnesota,L109-101,12-9,109.0,101.0,-8.0,20.0
2022-12-01,@ Minnesota,L109-101,12-9,109.0,101.0,-8.0,20.0
2022-12-02,vs Philadelphia,W117-109,13-9,109.0,117.0,8.0,28.0
2022-12-03,vs Philadelphia,W117-109,13-9,109.0,117.0,8.0,28.0
2022-12-04,@ Detroit,W122-112,14-9,112.0,122.0,10.0,38.0
2022-12-05,vs Miami,W101-93,15-9,93.0,101.0,8.0,46.0
2022-12-06,vs Miami,W101-93,15-9,93.0,101.0,8.0,46.0
2022-12-07,vs Oklahoma City,W123-102,16-9,102.0,123.0,21.0,67.0
2022-12-08,vs Oklahoma City,W123-102,16-9,102.0,123.0,21.0,67.0
