Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Chicago,L116-108,0-1,116.0,108.0,-8.0,-8.0
2022-10-19,vs Chicago,L116-108,0-1,116.0,108.0,-8.0,-8.0
2022-10-20,vs Chicago,L116-108,0-1,116.0,108.0,-8.0,-8.0
2022-10-21,vs Boston,L111-104,0-2,111.0,104.0,-7.0,-15.0
2022-10-22,vs Toronto,W112-109,1-2,109.0,112.0,3.0,-12.0
2022-10-23,vs Toronto,W112-109,1-2,109.0,112.0,3.0,-12.0
2022-10-24,vs Toronto,L98-90,1-3,98.0,90.0,-8.0,-20.0
2022-10-25,vs Toronto,L98-90,1-3,98.0,90.0,-8.0,-20.0
2022-10-26,@ Portland,W119-98,2-3,98.0,119.0,21.0,1.0
2022-10-27,@ Golden State,L123-110,2-4,123.0,110.0,-13.0,-12.0
2022-10-28,@ Golden State,L123-110,2-4,123.0,110.0,-13.0,-12.0
2022-10-29,@ Sacramento,L119-113,2-5,119.0,113.0,-6.0,-18.0
2022-10-30,@ Sacramento,L119-113,2-5,119.0,113.0,-6.0,-18.0
2022-10-31,@ Sacramento,L119-113,2-5,119.0,113.0,-6.0,-18.0
2022-11-01,vs Golden State,W116-109,3-5,109.0,116.0,7.0,-11.0
2022-11-02,vs Sacramento,W110-107,4-5,107.0,110.0,3.0,-8.0
2022-11-03,vs Sacramento,W110-107,4-5,107.0,110.0,3.0,-8.0
2022-11-04,@ Indiana,L101-99,4-6,101.0,99.0,-2.0,-10.0
2022-11-05,@ Indiana,L101-99,4-6,101.0,99.0,-2.0,-10.0
2022-11-06,@ Indiana,L101-99,4-6,101.0,99.0,-2.0,-10.0
2022-11-07,vs Portland,L110-107,4-7,110.0,107.0,-3.0,-13.0
2022-11-08,vs Portland,L110-107,4-7,110.0,107.0,-3.0,-13.0
2022-11-09,vs Portland,L110-107,4-7,110.0,107.0,-3.0,-13.0
2022-11-10,vs Charlotte,W117-112 OT,5-7,112.0,117.0,5.0,-8.0
2022-11-11,vs Charlotte,W117-112 OT,5-7,112.0,117.0,5.0,-8.0
2022-11-12,vs Charlotte,W132-115,6-7,115.0,132.0,17.0,9.0
2022-11-13,vs Charlotte,W132-115,6-7,115.0,132.0,17.0,9.0
2022-11-14,vs Phoenix,W113-112,7-7,112.0,113.0,1.0,10.0
2022-11-15,vs Phoenix,W113-112,7-7,112.0,113.0,1.0,10.0
2022-11-16,@ Toronto,L112-104,7-8,112.0,104.0,-8.0,2.0
2022-11-17,@ Toronto,L112-104,7-8,112.0,104.0,-8.0,2.0
2022-11-18,@ Washington,L107-106 OT,7-9,107.0,106.0,-1.0,1.0
2022-11-19,@ Washington,L107-106 OT,7-9,107.0,106.0,-1.0,1.0
2022-11-20,@ Cleveland,L113-87,7-10,113.0,87.0,-26.0,-25.0
2022-11-21,@ Minnesota,L105-101,7-11,105.0,101.0,-4.0,-29.0
2022-11-22,@ Minnesota,L105-101,7-11,105.0,101.0,-4.0,-29.0
2022-11-23,vs Washington,W113-105,8-11,105.0,113.0,8.0,-21.0
2022-11-24,vs Washington,W113-105,8-11,105.0,113.0,8.0,-21.0
2022-11-25,vs Washington,W110-107,9-11,107.0,110.0,3.0,-18.0
2022-11-26,vs Washington,W110-107,9-11,107.0,110.0,3.0,-18.0
2022-11-27,@ Atlanta,W106-98,10-11,98.0,106.0,8.0,-10.0
2022-11-28,@ Atlanta,W106-98,10-11,98.0,106.0,8.0,-10.0
2022-11-29,@ Atlanta,W106-98,10-11,98.0,106.0,8.0,-10.0
2022-11-30,@ Boston,L134-121,10-12,134.0,121.0,-13.0,-23.0
2022-12-01,@ Boston,L134-121,10-12,134.0,121.0,-13.0,-23.0
2022-12-02,@ Boston,W120-116 OT,11-12,116.0,120.0,4.0,-19.0
2022-12-03,@ Boston,W120-116 OT,11-12,116.0,120.0,4.0,-19.0
2022-12-04,@ Boston,W120-116 OT,11-12,116.0,120.0,4.0,-19.0
2022-12-05,@ Memphis,L101-93,11-13,101.0,93.0,-8.0,-27.0
2022-12-06,vs Detroit,L116-96,11-14,116.0,96.0,-20.0,-47.0
2022-12-07,vs Detroit,L116-96,11-14,116.0,96.0,-20.0,-47.0
2022-12-08,vs LA,W115-110,12-14,110.0,115.0,5.0,-42.0
2022-12-09,vs LA,W115-110,12-14,110.0,115.0,5.0,-42.0
2022-12-10,vs San Antonio,L115-111,12-15,115.0,111.0,-4.0,-46.0
2022-12-11,vs San Antonio,L115-111,12-15,115.0,111.0,-4.0,-46.0
2022-12-12,@ Indiana,W87-82,13-15,82.0,87.0,5.0,-41.0
2022-12-13,@ Indiana,W87-82,13-15,82.0,87.0,5.0,-41.0
2022-12-14,@ Oklahoma City,W110-108,14-15,108.0,110.0,2.0,-39.0
2022-12-15,@ Houston,W111-108,15-15,108.0,111.0,3.0,-36.0
2022-12-16,@ Houston,W111-108,15-15,108.0,111.0,3.0,-36.0
2022-12-17,@ San Antonio,W111-101,16-15,101.0,111.0,10.0,-26.0
2022-12-18,@ San Antonio,W111-101,16-15,101.0,111.0,10.0,-26.0
2022-12-19,@ San Antonio,W111-101,16-15,101.0,111.0,10.0,-26.0
2022-12-20,vs Chicago,L113-103,16-16,113.0,103.0,-10.0,-36.0
2022-12-21,vs Chicago,L113-103,16-16,113.0,103.0,-10.0,-36.0
2022-12-22,vs Chicago,L113-103,16-16,113.0,103.0,-10.0,-36.0
2022-12-23,vs Indiana,L111-108,16-17,111.0,108.0,-3.0,-39.0
2022-12-24,vs Indiana,L111-108,16-17,111.0,108.0,-3.0,-39.0
2022-12-25,vs Indiana,L111-108,16-17,111.0,108.0,-3.0,-39.0
2022-12-26,vs Minnesota,W113-110,17-17,110.0,113.0,3.0,-36.0
2022-12-27,vs Minnesota,W113-110,17-17,110.0,113.0,3.0,-36.0
2022-12-28,vs Los Angeles,W112-98,18-17,98.0,112.0,14.0,-22.0
2022-12-29,vs Los Angeles,W112-98,18-17,98.0,112.0,14.0,-22.0
2022-12-30,@ Denver,L124-119,18-18,124.0,119.0,-5.0,-27.0
2022-12-31,@ Utah,W126-123,19-18,123.0,126.0,3.0,-24.0
2023-01-01,@ Utah,W126-123,19-18,123.0,126.0,3.0,-24.0
2023-01-02,@ LA,W110-100,20-18,100.0,110.0,10.0,-14.0
2023-01-03,@ LA,W110-100,20-18,100.0,110.0,10.0,-14.0
2023-01-04,@ Los Angeles,L112-109,20-19,112.0,109.0,-3.0,-17.0
2023-01-05,@ Los Angeles,L112-109,20-19,112.0,109.0,-3.0,-17.0
2023-01-06,@ Phoenix,W104-96,21-19,96.0,104.0,8.0,-9.0
2023-01-07,@ Phoenix,W104-96,21-19,96.0,104.0,8.0,-9.0
2023-01-08,vs Brooklyn,L102-101,21-20,102.0,101.0,-1.0,-10.0
2023-01-09,vs Brooklyn,L102-101,21-20,102.0,101.0,-1.0,-10.0
2023-01-10,vs Oklahoma City,W112-111,22-20,111.0,112.0,1.0,-9.0
2023-01-11,vs Oklahoma City,W112-111,22-20,111.0,112.0,1.0,-9.0
2023-01-12,vs Milwaukee,W108-102,23-20,102.0,108.0,6.0,-3.0
2023-01-13,vs Milwaukee,W108-102,23-20,102.0,108.0,6.0,-3.0
2023-01-14,vs Milwaukee,W111-95,24-20,95.0,111.0,16.0,13.0
2023-01-15,vs Milwaukee,W111-95,24-20,95.0,111.0,16.0,13.0
2023-01-16,@ Atlanta,L121-113,24-21,121.0,113.0,-8.0,5.0
2023-01-17,@ Atlanta,L121-113,24-21,121.0,113.0,-8.0,5.0
2023-01-18,@ New Orleans,W124-98,25-21,98.0,124.0,26.0,31.0
2023-01-19,@ New Orleans,W124-98,25-21,98.0,124.0,26.0,31.0
2023-01-20,@ Dallas,L115-90,25-22,115.0,90.0,-25.0,6.0
2023-01-21,@ Dallas,L115-90,25-22,115.0,90.0,-25.0,6.0
2023-01-22,vs New Orleans,W100-96,26-22,96.0,100.0,4.0,10.0
2023-01-23,vs New Orleans,W100-96,26-22,96.0,100.0,4.0,10.0
2023-01-24,vs Boston,W98-95,27-22,95.0,98.0,3.0,13.0
2023-01-25,vs Boston,W98-95,27-22,95.0,98.0,3.0,13.0
2023-01-26,vs Boston,W98-95,27-22,95.0,98.0,3.0,13.0
2023-01-27,vs Orlando,W110-105,28-22,105.0,110.0,5.0,18.0
2023-01-28,vs Orlando,W110-105,28-22,105.0,110.0,5.0,18.0
2023-01-29,@ Charlotte,L122-117,28-23,122.0,117.0,-5.0,13.0
2023-01-30,@ Charlotte,L122-117,28-23,122.0,117.0,-5.0,13.0
2023-01-31,@ Cleveland,W100-97,29-23,97.0,100.0,3.0,16.0
2023-02-01,@ Cleveland,W100-97,29-23,97.0,100.0,3.0,16.0
2023-02-02,@ New York,L106-104,29-24,106.0,104.0,-2.0,14.0
2023-02-03,@ New York,L106-104,29-24,106.0,104.0,-2.0,14.0
2023-02-04,@ Milwaukee,L123-115,29-25,123.0,115.0,-8.0,6.0
2023-02-05,@ Milwaukee,L123-115,29-25,123.0,115.0,-8.0,6.0
2023-02-06,@ Milwaukee,L123-115,29-25,123.0,115.0,-8.0,6.0
2023-02-07,@ Milwaukee,L123-115,29-25,123.0,115.0,-8.0,6.0
2023-02-08,vs Indiana,W116-111,30-25,111.0,116.0,5.0,11.0
2023-02-09,vs Indiana,W116-111,30-25,111.0,116.0,5.0,11.0
2023-02-10,vs Houston,W97-95,31-25,95.0,97.0,2.0,13.0
2023-02-11,@ Orlando,W107-103 OT,32-25,103.0,107.0,4.0,17.0
2023-02-12,@ Orlando,W107-103 OT,32-25,103.0,107.0,4.0,17.0
2023-02-13,vs Denver,L112-108,32-26,112.0,108.0,-4.0,13.0
2023-02-14,vs Denver,L112-108,32-26,112.0,108.0,-4.0,13.0
2023-02-15,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-16,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-17,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-18,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-19,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-20,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-21,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-22,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-23,@ Brooklyn,L116-105,32-27,116.0,105.0,-11.0,2.0
2023-02-24,@ Milwaukee,L128-99,32-28,128.0,99.0,-29.0,-27.0
2023-02-25,@ Charlotte,L108-103,32-29,108.0,103.0,-5.0,-32.0
2023-02-26,@ Charlotte,L108-103,32-29,108.0,103.0,-5.0,-32.0
2023-02-27,@ Philadelphia,W101-99,33-29,99.0,101.0,2.0,-30.0
2023-02-28,@ Philadelphia,W101-99,33-29,99.0,101.0,2.0,-30.0
2023-03-01,vs Philadelphia,L119-96,33-30,119.0,96.0,-23.0,-53.0
2023-03-02,vs Philadelphia,L119-96,33-30,119.0,96.0,-23.0,-53.0
2023-03-03,vs New York,L122-120,33-31,122.0,120.0,-2.0,-55.0
2023-03-04,vs Atlanta,W117-109,34-31,109.0,117.0,8.0,-47.0
2023-03-05,vs Atlanta,W117-109,34-31,109.0,117.0,8.0,-47.0
2023-03-06,vs Atlanta,W130-128,35-31,128.0,130.0,2.0,-45.0
2023-03-07,vs Atlanta,W130-128,35-31,128.0,130.0,2.0,-45.0
2023-03-08,vs Cleveland,L104-100,35-32,104.0,100.0,-4.0,-49.0
2023-03-09,vs Cleveland,L104-100,35-32,104.0,100.0,-4.0,-49.0
2023-03-10,vs Cleveland,W119-115,36-32,115.0,119.0,4.0,-45.0
2023-03-11,@ Orlando,L126-114 OT,36-33,126.0,114.0,-12.0,-57.0
2023-03-12,@ Orlando,L126-114 OT,36-33,126.0,114.0,-12.0,-57.0
2023-03-13,vs Utah,W119-115,37-33,115.0,119.0,4.0,-53.0
2023-03-14,vs Utah,W119-115,37-33,115.0,119.0,4.0,-53.0
2023-03-15,vs Memphis,W138-119,38-33,119.0,138.0,19.0,-34.0
2023-03-16,vs Memphis,W138-119,38-33,119.0,138.0,19.0,-34.0
2023-03-17,vs Memphis,W138-119,38-33,119.0,138.0,19.0,-34.0
2023-03-18,@ Chicago,L113-99,38-34,113.0,99.0,-14.0,-48.0
2023-03-19,@ Detroit,W112-100,39-34,100.0,112.0,12.0,-36.0
2023-03-20,@ Detroit,W112-100,39-34,100.0,112.0,12.0,-36.0
2023-03-21,@ Detroit,W112-100,39-34,100.0,112.0,12.0,-36.0
2023-03-22,vs New York,W127-120,40-34,120.0,127.0,7.0,-29.0
2023-03-23,vs New York,W127-120,40-34,120.0,127.0,7.0,-29.0
2023-03-24,vs New York,W127-120,40-34,120.0,127.0,7.0,-29.0
2023-03-25,vs Brooklyn,L129-100,40-35,129.0,100.0,-29.0,-58.0
2023-03-26,vs Brooklyn,L129-100,40-35,129.0,100.0,-29.0,-58.0
2023-03-27,vs Brooklyn,L129-100,40-35,129.0,100.0,-29.0,-58.0
2023-03-28,@ Toronto,L106-92,40-36,106.0,92.0,-14.0,-72.0
2023-03-29,@ New York,L101-92,40-37,101.0,92.0,-9.0,-81.0
2023-03-30,@ New York,L101-92,40-37,101.0,92.0,-9.0,-81.0
2023-03-31,@ New York,L101-92,40-37,101.0,92.0,-9.0,-81.0
2023-04-01,vs Dallas,W129-122,41-37,122.0,129.0,7.0,-74.0
2023-04-02,vs Dallas,W129-122,41-37,122.0,129.0,7.0,-74.0
2023-04-03,vs Dallas,W129-122,41-37,122.0,129.0,7.0,-74.0
2023-04-04,@ Detroit,W118-105,42-37,105.0,118.0,13.0,-61.0
2023-04-05,@ Detroit,W118-105,42-37,105.0,118.0,13.0,-61.0
2023-04-06,@ Philadelphia,W129-101,43-37,101.0,129.0,28.0,-33.0
2023-04-07,@ Washington,L114-108,43-38,114.0,108.0,-6.0,-39.0
2023-04-08,@ Washington,L114-108,43-38,114.0,108.0,-6.0,-39.0
2023-04-09,vs Orlando,W123-110,44-38,110.0,123.0,13.0,-26.0
