Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Philadelphia,W90-88,1-0,88.0,90.0,2.0,2.0
2022-10-19,@ Philadelphia,W90-88,1-0,88.0,90.0,2.0,2.0
2022-10-20,@ Philadelphia,W90-88,1-0,88.0,90.0,2.0,2.0
2022-10-21,@ Philadelphia,W90-88,1-0,88.0,90.0,2.0,2.0
2022-10-22,vs Houston,W125-105,2-0,105.0,125.0,20.0,22.0
2022-10-23,vs Houston,W125-105,2-0,105.0,125.0,20.0,22.0
2022-10-24,vs Houston,W125-105,2-0,105.0,125.0,20.0,22.0
2022-10-25,vs Houston,W125-105,2-0,105.0,125.0,20.0,22.0
2022-10-26,vs Brooklyn,W110-99,3-0,99.0,110.0,11.0,33.0
2022-10-27,vs Brooklyn,W110-99,3-0,99.0,110.0,11.0,33.0
2022-10-28,vs New York,W119-108,4-0,108.0,119.0,11.0,44.0
2022-10-29,vs Atlanta,W123-115,5-0,115.0,123.0,8.0,52.0
2022-10-30,vs Atlanta,W123-115,5-0,115.0,123.0,8.0,52.0
2022-10-31,vs Detroit,W110-108,6-0,108.0,110.0,2.0,54.0
2022-11-01,vs Detroit,W110-108,6-0,108.0,110.0,2.0,54.0
2022-11-02,vs Detroit,W116-91,7-0,91.0,116.0,25.0,79.0
2022-11-03,vs Detroit,W116-91,7-0,91.0,116.0,25.0,79.0
2022-11-04,@ Minnesota,W115-102,8-0,102.0,115.0,13.0,92.0
2022-11-05,vs Oklahoma City,W108-94,9-0,94.0,108.0,14.0,106.0
2022-11-06,vs Oklahoma City,W108-94,9-0,94.0,108.0,14.0,106.0
2022-11-07,@ Atlanta,L117-98,9-1,117.0,98.0,-19.0,87.0
2022-11-08,@ Atlanta,L117-98,9-1,117.0,98.0,-19.0,87.0
2022-11-09,@ Oklahoma City,W136-132 2OT,10-1,132.0,136.0,4.0,91.0
2022-11-10,@ Oklahoma City,W136-132 2OT,10-1,132.0,136.0,4.0,91.0
2022-11-11,@ San Antonio,L111-93,10-2,111.0,93.0,-18.0,73.0
2022-11-12,@ San Antonio,L111-93,10-2,111.0,93.0,-18.0,73.0
2022-11-13,@ San Antonio,L111-93,10-2,111.0,93.0,-18.0,73.0
2022-11-14,vs Atlanta,L121-106,10-3,121.0,106.0,-15.0,58.0
2022-11-15,vs Atlanta,L121-106,10-3,121.0,106.0,-15.0,58.0
2022-11-16,vs Cleveland,W113-98,11-3,98.0,113.0,15.0,73.0
2022-11-17,vs Cleveland,W113-98,11-3,98.0,113.0,15.0,73.0
2022-11-18,@ Philadelphia,L110-102,11-4,110.0,102.0,-8.0,65.0
2022-11-19,@ Philadelphia,L110-102,11-4,110.0,102.0,-8.0,65.0
2022-11-20,@ Philadelphia,L110-102,11-4,110.0,102.0,-8.0,65.0
2022-11-21,vs Portland,W119-111,12-4,111.0,119.0,8.0,73.0
2022-11-22,vs Portland,W119-111,12-4,111.0,119.0,8.0,73.0
2022-11-23,vs Chicago,L118-113,12-5,118.0,113.0,-5.0,68.0
2022-11-24,vs Chicago,L118-113,12-5,118.0,113.0,-5.0,68.0
2022-11-25,vs Cleveland,W117-102,13-5,102.0,117.0,15.0,83.0
