Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Oklahoma City,W115-108,1-0,108.0,115.0,7.0,7.0
2022-10-19,vs Oklahoma City,W115-108,1-0,108.0,115.0,7.0,7.0
2022-10-20,vs Oklahoma City,W115-108,1-0,108.0,115.0,7.0,7.0
2022-10-21,vs Utah,L132-126 OT,1-1,132.0,126.0,-6.0,1.0
2022-10-22,vs Utah,L132-126 OT,1-1,132.0,126.0,-6.0,1.0
2022-10-23,@ Oklahoma City,W116-106,2-1,106.0,116.0,10.0,11.0
2022-10-24,vs San Antonio,L115-106,2-2,115.0,106.0,-9.0,2.0
2022-10-25,vs San Antonio,L115-106,2-2,115.0,106.0,-9.0,2.0
2022-10-26,vs San Antonio,W134-122,3-2,122.0,134.0,12.0,14.0
2022-10-27,vs San Antonio,W134-122,3-2,122.0,134.0,12.0,14.0
2022-10-28,vs Los Angeles,W111-102,4-2,102.0,111.0,9.0,23.0
2022-10-29,vs Los Angeles,W111-102,4-2,102.0,111.0,9.0,23.0
2022-10-30,@ San Antonio,L107-98,4-3,107.0,98.0,-9.0,14.0
2022-10-31,@ San Antonio,L107-98,4-3,107.0,98.0,-9.0,14.0
2022-11-01,@ Phoenix,L116-107,4-4,116.0,107.0,-9.0,5.0
2022-11-02,@ Phoenix,L116-107,4-4,116.0,107.0,-9.0,5.0
2022-11-03,@ Phoenix,L116-107,4-4,116.0,107.0,-9.0,5.0
2022-11-04,vs Milwaukee,L115-102,4-5,115.0,102.0,-13.0,-8.0
2022-11-05,vs Houston,W129-117,5-5,117.0,129.0,12.0,4.0
2022-11-06,vs Houston,W129-117,5-5,117.0,129.0,12.0,4.0
2022-11-07,vs New York,L120-107,5-6,120.0,107.0,-13.0,-9.0
2022-11-08,vs New York,L120-107,5-6,120.0,107.0,-13.0,-9.0
2022-11-09,vs Phoenix,L129-117,5-7,129.0,117.0,-12.0,-21.0
2022-11-10,vs Phoenix,L129-117,5-7,129.0,117.0,-12.0,-21.0
2022-11-11,@ Memphis,L114-103,5-8,114.0,103.0,-11.0,-32.0
2022-11-12,@ Memphis,L114-103,5-8,114.0,103.0,-11.0,-32.0
2022-11-13,@ Cleveland,W129-124,6-8,124.0,129.0,5.0,-27.0
2022-11-14,@ Cleveland,W129-124,6-8,124.0,129.0,5.0,-27.0
2022-11-15,@ Cleveland,W129-124,6-8,124.0,129.0,5.0,-27.0
2022-11-16,@ Orlando,W126-108,7-8,108.0,126.0,18.0,-9.0
2022-11-17,@ Orlando,W126-108,7-8,108.0,126.0,18.0,-9.0
2022-11-18,@ Orlando,W126-108,7-8,108.0,126.0,18.0,-9.0
2022-11-19,@ Philadelphia,W112-109,8-8,109.0,112.0,3.0,-6.0
2022-11-20,@ Philadelphia,W112-109,8-8,109.0,112.0,3.0,-6.0
2022-11-21,vs Miami,W105-101,9-8,101.0,105.0,4.0,-2.0
2022-11-22,vs Miami,W105-101,9-8,101.0,105.0,4.0,-2.0
2022-11-23,@ Indiana,W115-101,10-8,101.0,115.0,14.0,12.0
2022-11-24,@ Indiana,W115-101,10-8,101.0,115.0,14.0,12.0
2022-11-25,@ Charlotte,L110-108,10-9,110.0,108.0,-2.0,10.0
2022-11-26,@ Charlotte,L110-108,10-9,110.0,108.0,-2.0,10.0
2022-11-27,vs Golden State,L137-114,10-10,137.0,114.0,-23.0,-13.0
2022-11-28,@ Washington,L142-127,10-11,142.0,127.0,-15.0,-28.0
2022-11-29,@ Washington,L142-127,10-11,142.0,127.0,-15.0,-28.0
2022-11-30,vs Memphis,W109-101,11-11,101.0,109.0,8.0,-20.0
2022-12-01,vs Memphis,W109-101,11-11,101.0,109.0,8.0,-20.0
2022-12-02,vs Memphis,W109-101,11-11,101.0,109.0,8.0,-20.0
2022-12-03,vs Oklahoma City,L135-128,11-12,135.0,128.0,-7.0,-27.0
2022-12-04,vs Oklahoma City,L135-128,11-12,135.0,128.0,-7.0,-27.0
2022-12-05,vs Oklahoma City,L135-128,11-12,135.0,128.0,-7.0,-27.0
2022-12-06,vs Oklahoma City,L135-128,11-12,135.0,128.0,-7.0,-27.0
2022-12-07,vs Indiana,W121-115,12-12,115.0,121.0,6.0,-21.0
2022-12-08,vs Indiana,W121-115,12-12,115.0,121.0,6.0,-21.0
2022-12-09,@ Utah,W118-108,13-12,108.0,118.0,10.0,-11.0
2022-12-10,@ Portland,L124-118,13-13,124.0,118.0,-6.0,-17.0
2022-12-11,@ Portland,L124-118,13-13,124.0,118.0,-6.0,-17.0
2022-12-12,@ Portland,L133-112,13-14,133.0,112.0,-21.0,-38.0
2022-12-13,@ Portland,L133-112,13-14,133.0,112.0,-21.0,-38.0
2022-12-14,@ LA,L99-88,13-15,99.0,88.0,-11.0,-49.0
2022-12-15,@ LA,L99-88,13-15,99.0,88.0,-11.0,-49.0
2022-12-16,@ Oklahoma City,W112-110,14-15,110.0,112.0,2.0,-47.0
2022-12-17,@ Oklahoma City,W112-110,14-15,110.0,112.0,2.0,-47.0
2022-12-18,vs Chicago,W150-126,15-15,126.0,150.0,24.0,-23.0
2022-12-19,vs Dallas,W116-106,16-15,106.0,116.0,10.0,-13.0
2022-12-20,vs Dallas,W116-106,16-15,106.0,116.0,10.0,-13.0
2022-12-21,vs Dallas,L104-99,16-16,104.0,99.0,-5.0,-18.0
2022-12-22,vs Dallas,L104-99,16-16,104.0,99.0,-5.0,-18.0
2022-12-23,@ Boston,L121-109,16-17,121.0,109.0,-12.0,-30.0
2022-12-24,@ Boston,L121-109,16-17,121.0,109.0,-12.0,-30.0
2022-12-25,@ Boston,L121-109,16-17,121.0,109.0,-12.0,-30.0
2022-12-26,@ Miami,L113-110,16-18,113.0,110.0,-3.0,-33.0
2022-12-27,@ Miami,L113-110,16-18,113.0,110.0,-3.0,-33.0
2022-12-28,@ New Orleans,L119-118,16-19,119.0,118.0,-1.0,-34.0
2022-12-29,@ New Orleans,L119-118,16-19,119.0,118.0,-1.0,-34.0
2022-12-30,@ Milwaukee,L123-114,16-20,123.0,114.0,-9.0,-43.0
2022-12-31,vs Detroit,L116-104,16-21,116.0,104.0,-12.0,-55.0
2023-01-01,vs Detroit,L116-104,16-21,116.0,104.0,-12.0,-55.0
2023-01-02,vs Denver,W124-111,17-21,111.0,124.0,13.0,-42.0
2023-01-03,vs Denver,W124-111,17-21,111.0,124.0,13.0,-42.0
2023-01-04,vs Portland,W113-106,18-21,106.0,113.0,7.0,-35.0
2023-01-05,vs Portland,W113-106,18-21,106.0,113.0,7.0,-35.0
2023-01-06,vs LA,W128-115,19-21,115.0,128.0,13.0,-22.0
2023-01-07,vs LA,W128-115,19-21,115.0,128.0,13.0,-22.0
2023-01-08,@ Houston,W104-96,20-21,96.0,104.0,8.0,-14.0
2023-01-09,@ Houston,W104-96,20-21,96.0,104.0,8.0,-14.0
2023-01-10,@ Houston,W104-96,20-21,96.0,104.0,8.0,-14.0
2023-01-11,@ Detroit,L135-118,20-22,135.0,118.0,-17.0,-31.0
2023-01-12,@ Detroit,L135-118,20-22,135.0,118.0,-17.0,-31.0
2023-01-13,vs Phoenix,W121-116,21-22,116.0,121.0,5.0,-26.0
2023-01-14,vs Cleveland,W110-102,22-22,102.0,110.0,8.0,-18.0
2023-01-15,vs Cleveland,W110-102,22-22,102.0,110.0,8.0,-18.0
2023-01-16,vs Utah,L126-125,22-23,126.0,125.0,-1.0,-19.0
2023-01-17,vs Utah,L126-125,22-23,126.0,125.0,-1.0,-19.0
2023-01-18,@ Denver,L122-118,22-24,122.0,118.0,-4.0,-23.0
2023-01-19,vs Toronto,W128-126,23-24,126.0,128.0,2.0,-21.0
2023-01-20,vs Toronto,W128-126,23-24,126.0,128.0,2.0,-21.0
2023-01-21,vs Houston,W113-104,24-24,104.0,113.0,9.0,-12.0
2023-01-22,vs Houston,W113-104,24-24,104.0,113.0,9.0,-12.0
2023-01-23,@ Houston,L119-114,24-25,119.0,114.0,-5.0,-17.0
2023-01-24,@ Houston,L119-114,24-25,119.0,114.0,-5.0,-17.0
2023-01-25,@ New Orleans,W111-102,25-25,102.0,111.0,9.0,-8.0
2023-01-26,@ New Orleans,W111-102,25-25,102.0,111.0,9.0,-8.0
2023-01-27,vs Memphis,W111-100,26-25,100.0,111.0,11.0,3.0
2023-01-28,vs Sacramento,W117-110,27-25,110.0,117.0,7.0,10.0
2023-01-29,vs Sacramento,W117-110,27-25,110.0,117.0,7.0,10.0
2023-01-30,vs Sacramento,L118-111 OT,27-26,118.0,111.0,-7.0,3.0
2023-01-31,vs Sacramento,L118-111 OT,27-26,118.0,111.0,-7.0,3.0
2023-02-01,vs Golden State,W119-114 OT,28-26,114.0,119.0,5.0,8.0
2023-02-02,vs Golden State,W119-114 OT,28-26,114.0,119.0,5.0,8.0
2023-02-03,vs Orlando,L127-120,28-27,127.0,120.0,-7.0,1.0
2023-02-04,vs Orlando,L127-120,28-27,127.0,120.0,-7.0,1.0
2023-02-05,vs Denver,W128-98,29-27,98.0,128.0,30.0,31.0
2023-02-06,vs Denver,W128-98,29-27,98.0,128.0,30.0,31.0
2023-02-07,@ Denver,L146-112,29-28,146.0,112.0,-34.0,-3.0
2023-02-08,@ Utah,W143-118,30-28,118.0,143.0,25.0,22.0
2023-02-09,@ Utah,W143-118,30-28,118.0,143.0,25.0,22.0
2023-02-10,@ Memphis,L128-107,30-29,128.0,107.0,-21.0,1.0
2023-02-11,@ Memphis,L128-107,30-29,128.0,107.0,-21.0,1.0
2023-02-12,@ Memphis,L128-107,30-29,128.0,107.0,-21.0,1.0
2023-02-13,@ Dallas,W124-121,31-29,121.0,124.0,3.0,4.0
2023-02-14,@ Dallas,W124-121,31-29,121.0,124.0,3.0,4.0
2023-02-15,@ Dallas,W124-121,31-29,121.0,124.0,3.0,4.0
2023-02-16,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-17,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-18,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-19,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-20,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-21,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-22,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-23,vs Washington,L114-106,31-30,114.0,106.0,-8.0,-4.0
2023-02-24,vs Charlotte,L121-113,31-31,121.0,113.0,-8.0,-12.0
2023-02-25,vs Charlotte,L121-113,31-31,121.0,113.0,-8.0,-12.0
2023-02-26,@ Golden State,L109-104,31-32,109.0,104.0,-5.0,-17.0
2023-02-27,@ Golden State,L109-104,31-32,109.0,104.0,-5.0,-17.0
2023-02-28,@ LA,W108-101,32-32,101.0,108.0,7.0,-10.0
2023-03-01,@ LA,W108-101,32-32,101.0,108.0,7.0,-10.0
2023-03-02,@ LA,W108-101,32-32,101.0,108.0,7.0,-10.0
2023-03-03,@ Los Angeles,W110-102,33-32,102.0,110.0,8.0,-2.0
2023-03-04,@ Sacramento,W138-134,34-32,134.0,138.0,4.0,2.0
2023-03-05,@ Sacramento,W138-134,34-32,134.0,138.0,4.0,2.0
2023-03-06,@ Sacramento,W138-134,34-32,134.0,138.0,4.0,2.0
2023-03-07,vs Philadelphia,L117-94,34-33,117.0,94.0,-23.0,-21.0
2023-03-08,vs Philadelphia,L117-94,34-33,117.0,94.0,-23.0,-21.0
2023-03-09,vs Philadelphia,L117-94,34-33,117.0,94.0,-23.0,-21.0
2023-03-10,vs Brooklyn,L124-123 OT,34-34,124.0,123.0,-1.0,-22.0
2023-03-11,vs Brooklyn,L124-123 OT,34-34,124.0,123.0,-1.0,-22.0
2023-03-12,vs Brooklyn,L124-123 OT,34-34,124.0,123.0,-1.0,-22.0
2023-03-13,@ Atlanta,W136-115,35-34,115.0,136.0,21.0,-1.0
2023-03-14,@ Atlanta,W136-115,35-34,115.0,136.0,21.0,-1.0
2023-03-15,vs Boston,L104-102,35-35,104.0,102.0,-2.0,-3.0
2023-03-16,vs Boston,L104-102,35-35,104.0,102.0,-2.0,-3.0
2023-03-17,@ Chicago,L139-131 2OT,35-36,139.0,131.0,-8.0,-11.0
2023-03-18,@ Toronto,L122-107,42-40,122.0,107.0,-15.0,-26.0
2023-03-19,@ Toronto,L122-107,42-40,122.0,107.0,-15.0,-26.0
2023-03-20,@ New York,W140-134,36-37,134.0,140.0,6.0,-20.0
2023-03-21,@ New York,W140-134,36-37,134.0,140.0,6.0,-20.0
2023-03-22,vs Atlanta,W125-124,37-37,124.0,125.0,1.0,-19.0
2023-03-23,vs Atlanta,W125-124,37-37,124.0,125.0,1.0,-19.0
2023-03-24,vs Atlanta,W125-124,37-37,124.0,125.0,1.0,-19.0
2023-03-25,vs Atlanta,W125-124,37-37,124.0,125.0,1.0,-19.0
2023-03-26,@ Golden State,W99-96,38-37,96.0,99.0,3.0,-16.0
2023-03-27,@ Sacramento,W119-115,39-37,115.0,119.0,4.0,-12.0
2023-03-28,@ Sacramento,W119-115,39-37,115.0,119.0,4.0,-12.0
2023-03-29,@ Phoenix,L107-100,39-38,107.0,100.0,-7.0,-19.0
2023-03-30,@ Phoenix,L107-100,39-38,107.0,100.0,-7.0,-19.0
2023-03-31,vs Los Angeles,L123-111,39-39,123.0,111.0,-12.0,-31.0
2023-04-01,vs Los Angeles,L123-111,39-39,123.0,111.0,-12.0,-31.0
2023-04-02,vs Portland,L107-105,39-40,107.0,105.0,-2.0,-33.0
2023-04-03,vs Portland,L107-105,39-40,107.0,105.0,-2.0,-33.0
2023-04-04,@ Brooklyn,W107-102,40-40,102.0,107.0,5.0,-28.0
2023-04-05,@ Brooklyn,W107-102,40-40,102.0,107.0,5.0,-28.0
2023-04-06,@ Brooklyn,W107-102,40-40,102.0,107.0,5.0,-28.0
2023-04-07,@ Brooklyn,W107-102,40-40,102.0,107.0,5.0,-28.0
2023-04-08,@ San Antonio,W151-131,42-40,131.0,151.0,20.0,-8.0
2023-04-09,vs New Orleans,W113-108,42-40,108.0,113.0,5.0,-3.0
