Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Brooklyn,W130-108,1-0,108.0,130.0,22.0,22.0
2022-10-19,@ Brooklyn,W130-108,1-0,108.0,130.0,22.0,22.0
2022-10-20,@ Brooklyn,W130-108,1-0,108.0,130.0,22.0,22.0
2022-10-21,@ Charlotte,W124-112,2-0,112.0,124.0,12.0,34.0
2022-10-22,@ Charlotte,W124-112,2-0,112.0,124.0,12.0,34.0
2022-10-23,vs Utah,L122-121 OT,2-1,122.0,121.0,-1.0,33.0
2022-10-24,vs Utah,L122-121 OT,2-1,122.0,121.0,-1.0,33.0
2022-10-25,vs Dallas,W113-111,3-1,111.0,113.0,2.0,35.0
2022-10-26,vs Dallas,W113-111,3-1,111.0,113.0,2.0,35.0
2022-10-27,vs Dallas,W113-111,3-1,111.0,113.0,2.0,35.0
2022-10-28,@ Phoenix,L124-111,3-2,124.0,111.0,-13.0,22.0
2022-10-29,@ Phoenix,L124-111,3-2,124.0,111.0,-13.0,22.0
2022-10-30,@ LA,W112-91,4-2,91.0,112.0,21.0,43.0
2022-10-31,@ LA,W112-91,4-2,91.0,112.0,21.0,43.0
2022-11-01,@ LA,W112-91,4-2,91.0,112.0,21.0,43.0
2022-11-02,@ Los Angeles,L120-117 OT,4-3,120.0,117.0,-3.0,40.0
2022-11-03,@ Los Angeles,L120-117 OT,4-3,120.0,117.0,-3.0,40.0
2022-11-04,vs Golden State,W114-105,5-3,105.0,114.0,9.0,49.0
2022-11-05,@ Atlanta,L124-121 OT,5-4,124.0,121.0,-3.0,46.0
2022-11-06,@ Atlanta,L124-121 OT,5-4,124.0,121.0,-3.0,46.0
2022-11-07,@ Indiana,L129-122,5-5,129.0,122.0,-7.0,39.0
2022-11-08,@ Indiana,L129-122,5-5,129.0,122.0,-7.0,39.0
2022-11-09,@ Chicago,W115-111,6-5,111.0,115.0,4.0,43.0
2022-11-10,vs Portland,L106-95,6-6,106.0,95.0,-11.0,32.0
2022-11-11,vs Portland,L106-95,6-6,106.0,95.0,-11.0,32.0
2022-11-12,vs Houston,W119-106,7-6,106.0,119.0,13.0,45.0
2022-11-13,vs Houston,W119-106,7-6,106.0,119.0,13.0,45.0
2022-11-14,vs Houston,W119-106,7-6,106.0,119.0,13.0,45.0
2022-11-15,vs Memphis,W113-102,8-6,102.0,113.0,11.0,56.0
2022-11-16,vs Chicago,W124-110,9-6,110.0,124.0,14.0,70.0
2022-11-17,vs Chicago,W124-110,9-6,110.0,124.0,14.0,70.0
2022-11-18,vs Boston,L117-109,9-7,117.0,109.0,-8.0,62.0
2022-11-19,vs Boston,L117-109,9-7,117.0,109.0,-8.0,62.0
2022-11-20,vs Boston,L117-109,9-7,117.0,109.0,-8.0,62.0
2022-11-21,vs Golden State,W128-83,10-7,83.0,128.0,45.0,107.0
2022-11-22,vs Golden State,W128-83,10-7,83.0,128.0,45.0,107.0
2022-11-23,@ San Antonio,W129-110,11-7,110.0,129.0,19.0,126.0
2022-11-24,@ San Antonio,W129-110,11-7,110.0,129.0,19.0,126.0
2022-11-25,@ Memphis,L132-111,11-8,132.0,111.0,-21.0,105.0
2022-11-26,@ Memphis,L132-111,11-8,132.0,111.0,-21.0,105.0
2022-11-27,@ Memphis,L132-111,11-8,132.0,111.0,-21.0,105.0
2022-11-28,vs Oklahoma City,W105-101,12-8,101.0,105.0,4.0,109.0
2022-11-29,vs Oklahoma City,W105-101,12-8,101.0,105.0,4.0,109.0
2022-11-30,vs Toronto,W126-108,13-8,108.0,126.0,18.0,127.0
2022-12-01,vs Toronto,W126-108,13-8,108.0,126.0,18.0,127.0
2022-12-02,@ San Antonio,W117-99,14-8,99.0,117.0,18.0,145.0
2022-12-03,@ San Antonio,W117-99,14-8,99.0,117.0,18.0,145.0
2022-12-04,vs Denver,W121-106,15-8,106.0,121.0,15.0,160.0
2022-12-05,vs Denver,W121-106,15-8,106.0,121.0,15.0,160.0
2022-12-06,vs Denver,W121-106,15-8,106.0,121.0,15.0,160.0
2022-12-07,vs Detroit,W104-98,16-8,98.0,104.0,6.0,166.0
2022-12-08,vs Detroit,W104-98,16-8,98.0,104.0,6.0,166.0
2022-12-09,vs Phoenix,W128-117,17-8,117.0,128.0,11.0,177.0
2022-12-10,vs Phoenix,W128-117,17-8,117.0,128.0,11.0,177.0
2022-12-11,vs Phoenix,W129-124 OT,18-8,124.0,129.0,5.0,182.0
2022-12-12,vs Phoenix,W129-124 OT,18-8,124.0,129.0,5.0,182.0
2022-12-13,@ Utah,L121-100,18-9,121.0,100.0,-21.0,161.0
2022-12-14,@ Utah,L121-100,18-9,121.0,100.0,-21.0,161.0
2022-12-15,@ Utah,L132-129 OT,18-10,132.0,129.0,-3.0,158.0
2022-12-16,@ Utah,L132-129 OT,18-10,132.0,129.0,-3.0,158.0
2022-12-17,@ Phoenix,L118-114,18-11,118.0,114.0,-4.0,154.0
2022-12-18,@ Phoenix,L118-114,18-11,118.0,114.0,-4.0,154.0
2022-12-19,vs Milwaukee,L128-119,18-12,128.0,119.0,-9.0,145.0
2022-12-20,vs Milwaukee,L128-119,18-12,128.0,119.0,-9.0,145.0
2022-12-21,vs Milwaukee,L128-119,18-12,128.0,119.0,-9.0,145.0
2022-12-22,vs San Antonio,W126-117,19-12,117.0,126.0,9.0,154.0
2022-12-23,@ Oklahoma City,W128-125 OT,20-12,125.0,128.0,3.0,157.0
2022-12-24,@ Oklahoma City,W128-125 OT,20-12,125.0,128.0,3.0,157.0
2022-12-25,@ Oklahoma City,W128-125 OT,20-12,125.0,128.0,3.0,157.0
2022-12-26,vs Indiana,W113-93,21-12,93.0,113.0,20.0,177.0
2022-12-27,vs Indiana,W113-93,21-12,93.0,113.0,20.0,177.0
2022-12-28,vs Minnesota,W119-118,22-12,118.0,119.0,1.0,178.0
2022-12-29,vs Minnesota,W119-118,22-12,118.0,119.0,1.0,178.0
2022-12-30,vs Philadelphia,W127-116,23-12,116.0,127.0,11.0,189.0
2022-12-31,@ Memphis,L116-101,23-13,116.0,101.0,-15.0,174.0
2023-01-01,@ Memphis,L116-101,23-13,116.0,101.0,-15.0,174.0
2023-01-02,@ Philadelphia,L120-111,23-14,120.0,111.0,-9.0,165.0
2023-01-03,@ Philadelphia,L120-111,23-14,120.0,111.0,-9.0,165.0
2023-01-04,vs Houston,W119-108,24-14,108.0,119.0,11.0,176.0
2023-01-05,vs Houston,W119-108,24-14,108.0,119.0,11.0,176.0
2023-01-06,vs Brooklyn,L108-102,24-15,108.0,102.0,-6.0,170.0
2023-01-07,@ Dallas,L127-117,24-16,127.0,117.0,-10.0,160.0
2023-01-08,@ Dallas,L127-117,24-16,127.0,117.0,-10.0,160.0
2023-01-09,@ Washington,W132-112,25-16,112.0,132.0,20.0,180.0
2023-01-10,@ Washington,W132-112,25-16,112.0,132.0,20.0,180.0
2023-01-11,@ Boston,L125-114,25-17,125.0,114.0,-11.0,169.0
2023-01-12,@ Boston,L125-114,25-17,125.0,114.0,-11.0,169.0
2023-01-13,@ Detroit,W116-110,26-17,110.0,116.0,6.0,175.0
2023-01-14,@ Detroit,W116-110,26-17,110.0,116.0,6.0,175.0
2023-01-15,@ Detroit,W116-110,26-17,110.0,116.0,6.0,175.0
