Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Memphis,L115-112 OT,0-1,115.0,112.0,-3.0,-3.0
2022-10-19,@ Memphis,L115-112 OT,0-1,115.0,112.0,-3.0,-3.0
2022-10-20,@ Memphis,L115-112 OT,0-1,115.0,112.0,-3.0,-3.0
2022-10-21,vs Detroit,W130-106,1-1,106.0,130.0,24.0,21.0
2022-10-22,vs Detroit,W130-106,1-1,106.0,130.0,24.0,21.0
2022-10-23,vs Detroit,W130-106,1-1,106.0,130.0,24.0,21.0
2022-10-24,vs Orlando,W115-102,2-1,102.0,115.0,13.0,34.0
2022-10-25,vs Orlando,W115-102,2-1,102.0,115.0,13.0,34.0
2022-10-26,vs Charlotte,W134-131 OT,3-1,131.0,134.0,3.0,37.0
2022-10-27,vs Charlotte,W134-131 OT,3-1,131.0,134.0,3.0,37.0
2022-10-28,@ Milwaukee,L119-108,3-2,119.0,108.0,-11.0,26.0
2022-10-29,@ Milwaukee,L119-108,3-2,119.0,108.0,-11.0,26.0
2022-10-30,@ Cleveland,L121-108,3-3,121.0,108.0,-13.0,13.0
2022-10-31,@ Cleveland,L121-108,3-3,121.0,108.0,-13.0,13.0
2022-11-01,@ Cleveland,L121-108,3-3,121.0,108.0,-13.0,13.0
2022-11-02,vs Atlanta,L112-99,3-4,112.0,99.0,-13.0,0.0
2022-11-03,vs Atlanta,L112-99,3-4,112.0,99.0,-13.0,0.0
2022-11-04,@ Philadelphia,W106-104,4-4,104.0,106.0,2.0,2.0
2022-11-05,vs Boston,L133-118,4-5,133.0,118.0,-15.0,-13.0
2022-11-06,vs Boston,L133-118,4-5,133.0,118.0,-15.0,-13.0
2022-11-07,@ Minnesota,W120-107,5-5,107.0,120.0,13.0,0.0
2022-11-08,@ Minnesota,W120-107,5-5,107.0,120.0,13.0,0.0
2022-11-09,@ Brooklyn,L112-85,5-6,112.0,85.0,-27.0,-27.0
2022-11-10,@ Brooklyn,L112-85,5-6,112.0,85.0,-27.0,-27.0
2022-11-11,vs Detroit,W121-112,6-6,112.0,121.0,9.0,-18.0
2022-11-12,vs Detroit,W121-112,6-6,112.0,121.0,9.0,-18.0
2022-11-13,vs Oklahoma City,L145-135,6-7,145.0,135.0,-10.0,-28.0
2022-11-14,vs Oklahoma City,L145-135,6-7,145.0,135.0,-10.0,-28.0
2022-11-15,@ Utah,W118-111,7-7,111.0,118.0,7.0,-21.0
2022-11-16,@ Denver,W106-103,8-7,103.0,106.0,3.0,-18.0
2022-11-17,@ Denver,W106-103,8-7,103.0,106.0,3.0,-18.0
2022-11-18,@ Golden State,L111-101,8-8,111.0,101.0,-10.0,-28.0
2022-11-19,@ Golden State,L111-101,8-8,111.0,101.0,-10.0,-28.0
2022-11-20,@ Phoenix,L116-95,8-9,116.0,95.0,-21.0,-49.0
2022-11-21,@ Oklahoma City,W129-119,9-9,119.0,129.0,10.0,-39.0
2022-11-22,@ Oklahoma City,W129-119,9-9,119.0,129.0,10.0,-39.0
2022-11-23,@ Oklahoma City,W129-119,9-9,119.0,129.0,10.0,-39.0
2022-11-24,@ Oklahoma City,W129-119,9-9,119.0,129.0,10.0,-39.0
2022-11-25,vs Portland,L132-129 OT,9-10,132.0,129.0,-3.0,-42.0
2022-11-26,vs Portland,L132-129 OT,9-10,132.0,129.0,-3.0,-42.0
2022-11-27,vs Memphis,L127-123,9-11,127.0,123.0,-4.0,-46.0
2022-11-28,vs Memphis,L127-123,9-11,127.0,123.0,-4.0,-46.0
2022-11-29,@ Detroit,W140-110,10-11,110.0,140.0,30.0,-16.0
2022-11-30,vs Milwaukee,L109-103,10-12,109.0,103.0,-6.0,-22.0
2022-12-01,vs Milwaukee,L109-103,10-12,109.0,103.0,-6.0,-22.0
2022-12-02,vs Milwaukee,L109-103,10-12,109.0,103.0,-6.0,-22.0
2022-12-03,vs Dallas,L121-100,10-13,121.0,100.0,-21.0,-43.0
2022-12-04,vs Cleveland,W92-81,11-13,81.0,92.0,11.0,-32.0
2022-12-05,vs Cleveland,W92-81,11-13,81.0,92.0,11.0,-32.0
2022-12-06,vs Cleveland,W92-81,11-13,81.0,92.0,11.0,-32.0
2022-12-07,vs Atlanta,W113-89,12-13,89.0,113.0,24.0,-8.0
2022-12-08,vs Atlanta,W113-89,12-13,89.0,113.0,24.0,-8.0
2022-12-09,@ Charlotte,W121-102,13-13,102.0,121.0,19.0,11.0
2022-12-10,@ Charlotte,W121-102,13-13,102.0,121.0,19.0,11.0
2022-12-11,vs Sacramento,W112-99,14-13,99.0,112.0,13.0,24.0
2022-12-12,vs Sacramento,W112-99,14-13,99.0,112.0,13.0,24.0
2022-12-13,vs Sacramento,W112-99,14-13,99.0,112.0,13.0,24.0
2022-12-14,@ Chicago,W128-120 OT,15-13,120.0,128.0,8.0,32.0
2022-12-15,@ Chicago,W128-120 OT,15-13,120.0,128.0,8.0,32.0
2022-12-16,@ Chicago,W114-91,16-13,91.0,114.0,23.0,55.0
2022-12-17,@ Chicago,W114-91,16-13,91.0,114.0,23.0,55.0
2022-12-18,@ Indiana,W109-106,17-13,106.0,109.0,3.0,58.0
2022-12-19,@ Indiana,W109-106,17-13,106.0,109.0,3.0,58.0
2022-12-20,vs Golden State,W132-94,18-13,94.0,132.0,38.0,96.0
2022-12-21,vs Toronto,L113-106,18-14,113.0,106.0,-7.0,89.0
2022-12-22,vs Toronto,L113-106,18-14,113.0,106.0,-7.0,89.0
2022-12-23,vs Chicago,L118-117,18-15,118.0,117.0,-1.0,88.0
2022-12-24,vs Chicago,L118-117,18-15,118.0,117.0,-1.0,88.0
2022-12-25,vs Philadelphia,L119-112,18-16,119.0,112.0,-7.0,81.0
2022-12-26,vs Philadelphia,L119-112,18-16,119.0,112.0,-7.0,81.0
2022-12-27,@ Dallas,L126-121 OT,18-17,126.0,121.0,-5.0,76.0
2022-12-28,@ Dallas,L126-121 OT,18-17,126.0,121.0,-5.0,76.0
2022-12-29,@ San Antonio,L122-115,18-18,122.0,115.0,-7.0,69.0
2022-12-30,@ San Antonio,L122-115,18-18,122.0,115.0,-7.0,69.0
2022-12-31,@ Houston,W108-88,19-18,88.0,108.0,20.0,89.0
2023-01-01,@ Houston,W108-88,19-18,88.0,108.0,20.0,89.0
2023-01-02,vs Phoenix,W102-83,20-18,83.0,102.0,19.0,108.0
2023-01-03,vs Phoenix,W102-83,20-18,83.0,102.0,19.0,108.0
2023-01-04,vs San Antonio,W117-114,21-18,114.0,117.0,3.0,111.0
2023-01-05,vs San Antonio,W117-114,21-18,114.0,117.0,3.0,111.0
2023-01-06,@ Toronto,W112-108,22-18,108.0,112.0,4.0,115.0
2023-01-07,@ Toronto,W112-108,22-18,108.0,112.0,4.0,115.0
2023-01-08,@ Toronto,W112-108,22-18,108.0,112.0,4.0,115.0
2023-01-09,vs Milwaukee,L111-107,22-19,111.0,107.0,-4.0,111.0
2023-01-10,vs Milwaukee,L111-107,22-19,111.0,107.0,-4.0,111.0
2023-01-11,vs Indiana,W119-113,23-19,113.0,119.0,6.0,117.0
2023-01-12,vs Indiana,W119-113,23-19,113.0,119.0,6.0,117.0
2023-01-13,@ Washington,W112-108,24-19,108.0,112.0,4.0,121.0
2023-01-14,@ Washington,W112-108,24-19,108.0,112.0,4.0,121.0
2023-01-15,@ Detroit,W117-104,25-19,104.0,117.0,13.0,134.0
2023-01-16,vs Toronto,L123-121 OT,25-20,123.0,121.0,-2.0,132.0
2023-01-17,vs Toronto,L123-121 OT,25-20,123.0,121.0,-2.0,132.0
2023-01-18,vs Washington,L116-105,25-21,116.0,105.0,-11.0,121.0
2023-01-19,vs Washington,L116-105,25-21,116.0,105.0,-11.0,121.0
2023-01-20,@ Atlanta,L139-124,25-22,139.0,124.0,-15.0,106.0
2023-01-21,@ Atlanta,L139-124,25-22,139.0,124.0,-15.0,106.0
2023-01-22,@ Toronto,L125-116,25-23,125.0,116.0,-9.0,97.0
2023-01-23,@ Toronto,L125-116,25-23,125.0,116.0,-9.0,97.0
2023-01-24,vs Cleveland,W105-103,26-23,103.0,105.0,2.0,99.0
2023-01-25,vs Cleveland,W105-103,26-23,103.0,105.0,2.0,99.0
