Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Minnesota,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-19,@ Minnesota,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-20,@ Minnesota,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-21,@ Minnesota,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-22,@ Denver,L122-117,0-2,122.0,117.0,-5.0,-12.0
2022-10-23,vs Minnesota,L116-106,0-3,116.0,106.0,-10.0,-22.0
2022-10-24,vs Minnesota,L116-106,0-3,116.0,106.0,-10.0,-22.0
2022-10-25,vs LA,W108-94,1-3,94.0,108.0,14.0,-8.0
2022-10-26,vs LA,W108-94,1-3,94.0,108.0,14.0,-8.0
2022-10-27,vs LA,W118-110,2-3,110.0,118.0,8.0,0.0
2022-10-28,vs LA,W118-110,2-3,110.0,118.0,8.0,0.0
2022-10-29,@ Dallas,W117-111 OT,3-3,111.0,117.0,6.0,6.0
2022-10-30,@ Dallas,W117-111 OT,3-3,111.0,117.0,6.0,6.0
2022-10-31,@ Dallas,W117-111 OT,3-3,111.0,117.0,6.0,6.0
2022-11-01,vs Orlando,W116-108,4-3,108.0,116.0,8.0,14.0
2022-11-02,vs Orlando,W116-108,4-3,108.0,116.0,8.0,14.0
2022-11-03,vs Denver,L122-110,4-4,122.0,110.0,-12.0,2.0
2022-11-04,vs Denver,L122-110,4-4,122.0,110.0,-12.0,2.0
2022-11-05,@ Milwaukee,L108-94,4-5,108.0,94.0,-14.0,-12.0
2022-11-06,@ Milwaukee,L108-94,4-5,108.0,94.0,-14.0,-12.0
2022-11-07,@ Detroit,L112-103,4-6,112.0,103.0,-9.0,-21.0
2022-11-08,@ Detroit,L112-103,4-6,112.0,103.0,-9.0,-21.0
2022-11-09,vs Milwaukee,L136-132 2OT,4-7,136.0,132.0,-4.0,-25.0
2022-11-10,vs Milwaukee,L136-132 2OT,4-7,136.0,132.0,-4.0,-25.0
2022-11-11,vs Toronto,W132-113,5-7,113.0,132.0,19.0,-6.0
2022-11-12,vs Toronto,W132-113,5-7,113.0,132.0,19.0,-6.0
2022-11-13,@ New York,W145-135,6-7,135.0,145.0,10.0,4.0
2022-11-14,@ Boston,L126-122,6-8,126.0,122.0,-4.0,0.0
2022-11-15,@ Boston,L126-122,6-8,126.0,122.0,-4.0,0.0
2022-11-16,@ Washington,W121-120,7-8,120.0,121.0,1.0,1.0
2022-11-17,@ Washington,W121-120,7-8,120.0,121.0,1.0,1.0
2022-11-18,@ Memphis,L121-110,7-9,121.0,110.0,-11.0,-10.0
2022-11-19,@ Memphis,L121-110,7-9,121.0,110.0,-11.0,-10.0
2022-11-20,@ Memphis,L121-110,7-9,121.0,110.0,-11.0,-10.0
2022-11-21,vs New York,L129-119,7-10,129.0,119.0,-10.0,-20.0
2022-11-22,vs New York,L129-119,7-10,129.0,119.0,-10.0,-20.0
2022-11-23,vs Denver,L131-126 OT,7-11,131.0,126.0,-5.0,-25.0
2022-11-24,vs Denver,L131-126 OT,7-11,131.0,126.0,-5.0,-25.0
2022-11-25,vs Chicago,W123-119 OT,8-11,119.0,123.0,4.0,-21.0
2022-11-26,@ Houston,L118-105,8-12,118.0,105.0,-13.0,-34.0
2022-11-27,@ Houston,L118-105,8-12,118.0,105.0,-13.0,-34.0
2022-11-28,@ New Orleans,L105-101,8-13,105.0,101.0,-4.0,-38.0
2022-11-29,@ New Orleans,L105-101,8-13,105.0,101.0,-4.0,-38.0
2022-11-30,vs San Antonio,W119-111,9-13,111.0,119.0,8.0,-30.0
2022-12-01,vs San Antonio,W119-111,9-13,111.0,119.0,8.0,-30.0
2022-12-02,vs San Antonio,W119-111,9-13,111.0,119.0,8.0,-30.0
2022-12-03,@ Minnesota,W135-128,10-13,128.0,135.0,7.0,-23.0
2022-12-04,@ Minnesota,W135-128,10-13,128.0,135.0,7.0,-23.0
2022-12-05,@ Atlanta,W121-114,11-13,114.0,121.0,7.0,-16.0
2022-12-06,@ Atlanta,W121-114,11-13,114.0,121.0,7.0,-16.0
2022-12-07,@ Memphis,L123-102,11-14,123.0,102.0,-21.0,-37.0
2022-12-08,@ Memphis,L123-102,11-14,123.0,102.0,-21.0,-37.0
2022-12-09,@ Memphis,L123-102,11-14,123.0,102.0,-21.0,-37.0
2022-12-10,@ Cleveland,L110-102,11-15,110.0,102.0,-8.0,-45.0
2022-12-11,@ Cleveland,L110-102,11-15,110.0,102.0,-8.0,-45.0
2022-12-12,@ Dallas,L121-114,11-16,121.0,114.0,-7.0,-52.0
2022-12-13,@ Dallas,L121-114,11-16,121.0,114.0,-7.0,-52.0
2022-12-14,vs Miami,L110-108,11-17,110.0,108.0,-2.0,-54.0
2022-12-15,vs Miami,L110-108,11-17,110.0,108.0,-2.0,-54.0
2022-12-16,vs Minnesota,L112-110,11-18,112.0,110.0,-2.0,-56.0
2022-12-17,vs Memphis,W115-109,12-18,109.0,115.0,6.0,-50.0
2022-12-18,vs Memphis,W115-109,12-18,109.0,115.0,6.0,-50.0
2022-12-19,vs Portland,W123-121,13-18,121.0,123.0,2.0,-48.0
2022-12-20,vs Portland,W123-121,13-18,121.0,123.0,2.0,-48.0
2022-12-21,vs Portland,W101-98,14-18,98.0,101.0,3.0,-45.0
2022-12-22,vs Portland,W101-98,14-18,98.0,101.0,3.0,-45.0
2022-12-23,vs New Orleans,L128-125 OT,14-19,128.0,125.0,-3.0,-48.0
2022-12-24,vs New Orleans,L128-125 OT,14-19,128.0,125.0,-3.0,-48.0
2022-12-25,vs New Orleans,L128-125 OT,14-19,128.0,125.0,-3.0,-48.0
2022-12-26,vs New Orleans,L128-125 OT,14-19,128.0,125.0,-3.0,-48.0
2022-12-27,vs San Antonio,W130-114,15-19,114.0,130.0,16.0,-32.0
2022-12-28,vs San Antonio,W130-114,15-19,114.0,130.0,16.0,-32.0
2022-12-29,@ Charlotte,L121-113,15-20,121.0,113.0,-8.0,-40.0
2022-12-30,@ Charlotte,L121-113,15-20,121.0,113.0,-8.0,-40.0
2022-12-31,vs Philadelphia,L115-96,15-21,115.0,96.0,-19.0,-59.0
2023-01-01,vs Philadelphia,L115-96,15-21,115.0,96.0,-19.0,-59.0
2023-01-02,vs Philadelphia,L115-96,15-21,115.0,96.0,-19.0,-59.0
2023-01-03,vs Boston,W150-117,16-21,117.0,150.0,33.0,-26.0
2023-01-04,@ Orlando,L126-115,16-22,126.0,115.0,-11.0,-37.0
2023-01-05,@ Orlando,L126-115,16-22,126.0,115.0,-11.0,-37.0
2023-01-06,vs Washington,W127-110,17-22,110.0,127.0,17.0,-20.0
2023-01-07,vs Washington,W127-110,17-22,110.0,127.0,17.0,-20.0
2023-01-08,vs Dallas,W120-109,18-22,109.0,120.0,11.0,-9.0
2023-01-09,vs Dallas,W120-109,18-22,109.0,120.0,11.0,-9.0
2023-01-10,@ Miami,L112-111,18-23,112.0,111.0,-1.0,-10.0
2023-01-11,@ Miami,L112-111,18-23,112.0,111.0,-1.0,-10.0
2023-01-12,@ Philadelphia,W133-114,19-23,114.0,133.0,19.0,9.0
2023-01-13,@ Chicago,W124-110,20-23,110.0,124.0,14.0,23.0
2023-01-14,@ Chicago,W124-110,20-23,110.0,124.0,14.0,23.0
2023-01-15,@ Brooklyn,W112-102,21-23,102.0,112.0,10.0,33.0
2023-01-16,@ Brooklyn,W112-102,21-23,102.0,112.0,10.0,33.0
2023-01-17,@ Brooklyn,W112-102,21-23,102.0,112.0,10.0,33.0
2023-01-18,vs Indiana,W126-106,22-23,106.0,126.0,20.0,53.0
2023-01-19,vs Indiana,W126-106,22-23,106.0,126.0,20.0,53.0
2023-01-20,@ Sacramento,L118-113,22-24,118.0,113.0,-5.0,48.0
2023-01-21,@ Sacramento,L118-113,22-24,118.0,113.0,-5.0,48.0
2023-01-22,@ Denver,W101-99,23-24,99.0,101.0,2.0,50.0
2023-01-23,@ Denver,W101-99,23-24,99.0,101.0,2.0,50.0
2023-01-24,@ Denver,W101-99,23-24,99.0,101.0,2.0,50.0
2023-01-25,vs Atlanta,L137-132,23-25,137.0,132.0,-5.0,45.0
2023-01-26,vs Atlanta,L137-132,23-25,137.0,132.0,-5.0,45.0
2023-01-27,vs Cleveland,W112-100,24-25,100.0,112.0,12.0,57.0
2023-01-28,vs Cleveland,W112-100,24-25,100.0,112.0,12.0,57.0
2023-01-29,vs Cleveland,W112-100,24-25,100.0,112.0,12.0,57.0
2023-01-30,vs Golden State,L128-120,24-26,128.0,120.0,-8.0,49.0
2023-01-31,vs Golden State,L128-120,24-26,128.0,120.0,-8.0,49.0
2023-02-01,@ Houston,L112-106,24-27,112.0,106.0,-6.0,43.0
2023-02-02,@ Houston,L112-106,24-27,112.0,106.0,-6.0,43.0
2023-02-03,@ Houston,L112-106,24-27,112.0,106.0,-6.0,43.0
2023-02-04,vs Houston,W153-121,25-27,121.0,153.0,32.0,75.0
2023-02-05,vs Houston,W153-121,25-27,121.0,153.0,32.0,75.0
2023-02-06,@ Golden State,L141-114,25-28,141.0,114.0,-27.0,48.0
2023-02-07,@ Los Angeles,W133-130,26-28,130.0,133.0,3.0,51.0
2023-02-08,@ Los Angeles,W133-130,26-28,130.0,133.0,3.0,51.0
2023-02-09,@ Los Angeles,W133-130,26-28,130.0,133.0,3.0,51.0
2023-02-10,@ Portland,W138-129,27-28,129.0,138.0,9.0,60.0
2023-02-11,@ Portland,W138-129,27-28,129.0,138.0,9.0,60.0
2023-02-12,@ Portland,W138-129,27-28,129.0,138.0,9.0,60.0
2023-02-13,vs New Orleans,L103-100,27-29,103.0,100.0,-3.0,57.0
2023-02-14,vs New Orleans,L103-100,27-29,103.0,100.0,-3.0,57.0
2023-02-15,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-16,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-17,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-18,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-19,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-20,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-21,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-22,vs Houston,W133-96,28-29,96.0,133.0,37.0,94.0
2023-02-23,@ Utah,L120-119 OT,28-30,120.0,119.0,-1.0,93.0
2023-02-24,@ Phoenix,L124-115,28-31,124.0,115.0,-9.0,84.0
2023-02-25,@ Phoenix,L124-115,28-31,124.0,115.0,-9.0,84.0
2023-02-26,vs Sacramento,L124-115,28-32,124.0,115.0,-9.0,75.0
2023-02-27,vs Sacramento,L124-115,28-32,124.0,115.0,-9.0,75.0
2023-02-28,vs Sacramento,L123-117,28-33,123.0,117.0,-6.0,69.0
2023-03-01,vs Los Angeles,L123-117,28-34,123.0,117.0,-6.0,63.0
2023-03-02,vs Los Angeles,L123-117,28-34,123.0,117.0,-6.0,63.0
2023-03-03,vs Utah,W130-103,29-34,103.0,130.0,27.0,90.0
2023-03-04,vs Utah,W130-103,29-34,103.0,130.0,27.0,90.0
2023-03-05,vs Utah,W129-119,30-34,119.0,129.0,10.0,100.0
2023-03-06,vs Utah,W129-119,30-34,119.0,129.0,10.0,100.0
2023-03-07,vs Golden State,W137-128,31-34,128.0,137.0,9.0,109.0
2023-03-08,@ Phoenix,L132-101,31-35,132.0,101.0,-31.0,78.0
2023-03-09,@ Phoenix,L132-101,31-35,132.0,101.0,-31.0,78.0
2023-03-10,@ Phoenix,L132-101,31-35,132.0,101.0,-31.0,78.0
2023-03-11,@ New Orleans,W110-96,32-35,96.0,110.0,14.0,92.0
2023-03-12,@ San Antonio,W102-90,33-35,90.0,102.0,12.0,104.0
2023-03-13,@ San Antonio,W102-90,33-35,90.0,102.0,12.0,104.0
2023-03-14,vs Brooklyn,W121-107,34-35,107.0,121.0,14.0,118.0
2023-03-15,vs Brooklyn,W121-107,34-35,107.0,121.0,14.0,118.0
2023-03-16,@ Toronto,L128-111,34-36,128.0,111.0,-17.0,101.0
2023-03-17,@ Toronto,L128-111,34-36,128.0,111.0,-17.0,101.0
2023-03-18,@ Toronto,L128-111,34-36,128.0,111.0,-17.0,101.0
2023-03-19,vs Phoenix,W124-120,35-36,120.0,124.0,4.0,105.0
2023-03-20,vs Phoenix,W124-120,35-36,120.0,124.0,4.0,105.0
2023-03-21,@ LA,W101-100,36-36,100.0,101.0,1.0,106.0
2023-03-22,@ LA,W101-100,36-36,100.0,101.0,1.0,106.0
2023-03-23,@ LA,L127-105,36-37,127.0,105.0,-22.0,84.0
2023-03-24,@ Los Angeles,L116-111,36-38,116.0,111.0,-5.0,79.0
2023-03-25,@ Los Angeles,L116-111,36-38,116.0,111.0,-5.0,79.0
2023-03-26,@ Portland,W118-112,37-38,112.0,118.0,6.0,85.0
2023-03-27,@ Portland,W118-112,37-38,112.0,118.0,6.0,85.0
2023-03-28,vs Charlotte,L137-134,37-39,137.0,134.0,-3.0,82.0
2023-03-29,vs Detroit,W107-106,38-39,106.0,107.0,1.0,83.0
2023-03-30,vs Detroit,W107-106,38-39,106.0,107.0,1.0,83.0
2023-03-31,@ Indiana,L121-117,38-40,121.0,117.0,-4.0,79.0
2023-04-01,@ Indiana,L121-117,38-40,121.0,117.0,-4.0,79.0
2023-04-02,vs Phoenix,L128-118,38-41,128.0,118.0,-10.0,69.0
2023-04-03,vs Phoenix,L128-118,38-41,128.0,118.0,-10.0,69.0
2023-04-04,@ Golden State,L136-125,38-42,136.0,125.0,-11.0,58.0
2023-04-05,@ Golden State,L136-125,38-42,136.0,125.0,-11.0,58.0
2023-04-06,@ Utah,W114-98,39-42,98.0,114.0,16.0,74.0
2023-04-07,@ Utah,W114-98,39-42,98.0,114.0,16.0,74.0
2023-04-08,@ Utah,W114-98,39-42,98.0,114.0,16.0,74.0
2023-04-09,vs Memphis,W115-100,40-42,100.0,115.0,15.0,89.0
