Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Detroit,L113-109,0-1,113.0,109.0,-4.0,-4.0
2022-10-19,@ Detroit,L113-109,0-1,113.0,109.0,-4.0,-4.0
2022-10-20,@ Detroit,L113-109,0-1,113.0,109.0,-4.0,-4.0
2022-10-21,@ Atlanta,L108-98,0-2,108.0,98.0,-10.0,-14.0
2022-10-22,vs Boston,L126-120,0-3,126.0,120.0,-6.0,-20.0
2022-10-23,vs Boston,L126-120,0-3,126.0,120.0,-6.0,-20.0
2022-10-24,@ New York,L115-102,0-4,115.0,102.0,-13.0,-33.0
2022-10-25,@ New York,L115-102,0-4,115.0,102.0,-13.0,-33.0
2022-10-26,@ Cleveland,L103-92,0-5,103.0,92.0,-11.0,-44.0
2022-10-27,@ Cleveland,L103-92,0-5,103.0,92.0,-11.0,-44.0
2022-10-28,vs Charlotte,W113-93,1-5,93.0,113.0,20.0,-24.0
2022-10-29,vs Charlotte,W113-93,1-5,93.0,113.0,20.0,-24.0
2022-10-30,@ Dallas,L114-105,1-6,114.0,105.0,-9.0,-33.0
2022-10-31,@ Dallas,L114-105,1-6,114.0,105.0,-9.0,-33.0
2022-11-01,@ Oklahoma City,L116-108,1-7,116.0,108.0,-8.0,-41.0
2022-11-02,@ Oklahoma City,L116-108,1-7,116.0,108.0,-8.0,-41.0
2022-11-03,vs Golden State,W130-129,2-7,129.0,130.0,1.0,-40.0
2022-11-04,vs Golden State,W130-129,2-7,129.0,130.0,1.0,-40.0
2022-11-05,vs Sacramento,L126-123 OT,2-8,126.0,123.0,-3.0,-43.0
2022-11-06,vs Sacramento,L126-123 OT,2-8,126.0,123.0,-3.0,-43.0
2022-11-07,vs Houston,L134-127,2-9,134.0,127.0,-7.0,-50.0
2022-11-08,vs Houston,L134-127,2-9,134.0,127.0,-7.0,-50.0
2022-11-09,vs Dallas,W94-87,3-9,87.0,94.0,7.0,-43.0
2022-11-10,vs Dallas,W94-87,3-9,87.0,94.0,7.0,-43.0
2022-11-11,vs Phoenix,W114-97,4-9,97.0,114.0,17.0,-26.0
2022-11-12,vs Phoenix,W114-97,4-9,97.0,114.0,17.0,-26.0
2022-11-13,vs Phoenix,W114-97,4-9,97.0,114.0,17.0,-26.0
2022-11-14,vs Charlotte,L112-105,4-10,112.0,105.0,-7.0,-33.0
2022-11-15,vs Charlotte,L112-105,4-10,112.0,105.0,-7.0,-33.0
2022-11-16,vs Minnesota,L126-108,4-11,126.0,108.0,-18.0,-51.0
2022-11-17,vs Minnesota,L126-108,4-11,126.0,108.0,-18.0,-51.0
2022-11-18,@ Chicago,W108-107,5-11,107.0,108.0,1.0,-50.0
2022-11-19,@ Indiana,L114-113,5-12,114.0,113.0,-1.0,-51.0
2022-11-20,@ Indiana,L114-113,5-12,114.0,113.0,-1.0,-51.0
2022-11-21,@ Indiana,L123-102,5-13,123.0,102.0,-21.0,-72.0
2022-11-22,@ Indiana,L123-102,5-13,123.0,102.0,-21.0,-72.0
2022-11-23,@ Indiana,L123-102,5-13,123.0,102.0,-21.0,-72.0
2022-11-24,@ Indiana,L123-102,5-13,123.0,102.0,-21.0,-72.0
2022-11-25,vs Philadelphia,L107-99,5-14,107.0,99.0,-8.0,-80.0
2022-11-26,vs Philadelphia,L107-99,5-14,107.0,99.0,-8.0,-80.0
2022-11-27,vs Philadelphia,L133-103,5-15,133.0,103.0,-30.0,-110.0
2022-11-28,@ Brooklyn,L109-102,5-16,109.0,102.0,-7.0,-117.0
2022-11-29,@ Brooklyn,L109-102,5-16,109.0,102.0,-7.0,-117.0
2022-11-30,vs Atlanta,L125-108,5-17,125.0,108.0,-17.0,-134.0
2022-12-01,vs Atlanta,L125-108,5-17,125.0,108.0,-17.0,-134.0
2022-12-02,@ Cleveland,L107-96,5-18,107.0,96.0,-11.0,-145.0
2022-12-03,@ Toronto,L121-108,5-19,121.0,108.0,-13.0,-158.0
2022-12-04,@ Toronto,L121-108,5-19,121.0,108.0,-13.0,-158.0
2022-12-05,vs Milwaukee,L109-102,5-20,109.0,102.0,-7.0,-165.0
2022-12-06,vs Milwaukee,L109-102,5-20,109.0,102.0,-7.0,-165.0
2022-12-07,vs LA,W116-111 OT,6-20,111.0,116.0,5.0,-160.0
2022-12-08,vs LA,W116-111 OT,6-20,111.0,116.0,5.0,-160.0
2022-12-09,vs Toronto,W113-109,7-20,109.0,113.0,4.0,-156.0
2022-12-10,vs Toronto,W113-109,7-20,109.0,113.0,4.0,-156.0
