Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Boston,L126-117,0-1,126.0,117.0,-9.0,-9.0
2022-10-19,@ Boston,L126-117,0-1,126.0,117.0,-9.0,-9.0
2022-10-20,vs Milwaukee,L90-88,0-2,90.0,88.0,-2.0,-11.0
2022-10-21,vs Milwaukee,L90-88,0-2,90.0,88.0,-2.0,-11.0
2022-10-22,vs San Antonio,L114-105,0-3,114.0,105.0,-9.0,-20.0
2022-10-23,vs San Antonio,L114-105,0-3,114.0,105.0,-9.0,-20.0
2022-10-24,vs Indiana,W120-106,1-3,106.0,120.0,14.0,-6.0
2022-10-25,vs Indiana,W120-106,1-3,106.0,120.0,14.0,-6.0
2022-10-26,@ Toronto,L119-109,1-4,119.0,109.0,-10.0,-16.0
2022-10-27,@ Toronto,L119-109,1-4,119.0,109.0,-10.0,-16.0
2022-10-28,@ Toronto,W112-90,2-4,90.0,112.0,22.0,6.0
2022-10-29,@ Chicago,W114-109,3-4,109.0,114.0,5.0,11.0
2022-10-30,@ Chicago,W114-109,3-4,109.0,114.0,5.0,11.0
2022-10-31,@ Washington,W118-111,4-4,111.0,118.0,7.0,18.0
2022-11-01,@ Washington,W118-111,4-4,111.0,118.0,7.0,18.0
2022-11-02,vs Washington,L121-111,4-5,121.0,111.0,-10.0,8.0
2022-11-03,vs Washington,L121-111,4-5,121.0,111.0,-10.0,8.0
2022-11-04,vs New York,L106-104,4-6,106.0,104.0,-2.0,6.0
2022-11-05,vs New York,L106-104,4-6,106.0,104.0,-2.0,6.0
2022-11-06,vs New York,L106-104,4-6,106.0,104.0,-2.0,6.0
2022-11-07,vs Phoenix,W100-88,5-6,88.0,100.0,12.0,18.0
2022-11-08,vs Phoenix,W100-88,5-6,88.0,100.0,12.0,18.0
2022-11-09,vs Phoenix,W100-88,5-6,88.0,100.0,12.0,18.0
2022-11-10,@ Atlanta,L104-95,5-7,104.0,95.0,-9.0,9.0
2022-11-11,@ Atlanta,L104-95,5-7,104.0,95.0,-9.0,9.0
2022-11-12,vs Atlanta,W121-109,6-7,109.0,121.0,12.0,21.0
2022-11-13,vs Utah,W105-98,7-7,98.0,105.0,7.0,28.0
2022-11-14,vs Utah,W105-98,7-7,98.0,105.0,7.0,28.0
2022-11-15,vs Utah,W105-98,7-7,98.0,105.0,7.0,28.0
2022-11-16,vs Utah,W105-98,7-7,98.0,105.0,7.0,28.0
2022-11-17,vs Utah,W105-98,7-7,98.0,105.0,7.0,28.0
2022-11-18,vs Milwaukee,W110-102,8-7,102.0,110.0,8.0,36.0
2022-11-19,vs Minnesota,L112-109,8-8,112.0,109.0,-3.0,33.0
2022-11-20,vs Minnesota,L112-109,8-8,112.0,109.0,-3.0,33.0
2022-11-21,vs Minnesota,L112-109,8-8,112.0,109.0,-3.0,33.0
2022-11-22,vs Brooklyn,W115-106,9-8,106.0,115.0,9.0,42.0
2022-11-23,@ Charlotte,L107-101,9-9,107.0,101.0,-6.0,36.0
2022-11-24,@ Charlotte,L107-101,9-9,107.0,101.0,-6.0,36.0
2022-11-25,@ Orlando,W107-99,10-9,99.0,107.0,8.0,44.0
2022-11-26,@ Orlando,W107-99,10-9,99.0,107.0,8.0,44.0
2022-11-27,@ Orlando,W133-103,11-9,103.0,133.0,30.0,74.0
2022-11-28,vs Atlanta,W104-101,12-9,101.0,104.0,3.0,77.0
2022-11-29,vs Atlanta,W104-101,12-9,101.0,104.0,3.0,77.0
2022-11-30,@ Cleveland,L113-85,12-10,113.0,85.0,-28.0,49.0
2022-12-01,@ Cleveland,L113-85,12-10,113.0,85.0,-28.0,49.0
2022-12-02,@ Memphis,L117-109,12-11,117.0,109.0,-8.0,41.0
2022-12-03,@ Memphis,L117-109,12-11,117.0,109.0,-8.0,41.0
2022-12-04,@ Memphis,L117-109,12-11,117.0,109.0,-8.0,41.0
2022-12-05,@ Houston,L132-123 2OT,12-12,132.0,123.0,-9.0,32.0
2022-12-06,@ Houston,L132-123 2OT,12-12,132.0,123.0,-9.0,32.0
2022-12-07,@ Houston,L132-123 2OT,12-12,132.0,123.0,-9.0,32.0
2022-12-08,@ Houston,L132-123 2OT,12-12,132.0,123.0,-9.0,32.0
2022-12-09,vs Los Angeles,W133-122 OT,13-12,122.0,133.0,11.0,43.0
2022-12-10,vs Los Angeles,W133-122 OT,13-12,122.0,133.0,11.0,43.0
2022-12-11,vs Charlotte,W131-113,14-12,113.0,131.0,18.0,61.0
2022-12-12,vs Charlotte,W131-113,14-12,113.0,131.0,18.0,61.0
2022-12-13,vs Sacramento,W123-103,15-12,103.0,123.0,20.0,81.0
2022-12-14,vs Sacramento,W123-103,15-12,103.0,123.0,20.0,81.0
2022-12-15,vs Sacramento,W123-103,15-12,103.0,123.0,20.0,81.0
2022-12-16,vs Golden State,W118-106,16-12,106.0,118.0,12.0,93.0
2022-12-17,vs Golden State,W118-106,16-12,106.0,118.0,12.0,93.0
2022-12-18,vs Golden State,W118-106,16-12,106.0,118.0,12.0,93.0
2022-12-19,vs Toronto,W104-101 OT,17-12,101.0,104.0,3.0,96.0
2022-12-20,vs Toronto,W104-101 OT,17-12,101.0,104.0,3.0,96.0
2022-12-21,vs Detroit,W113-93,18-12,93.0,113.0,20.0,116.0
2022-12-22,vs Detroit,W113-93,18-12,93.0,113.0,20.0,116.0
2022-12-23,vs LA,W119-114,19-12,114.0,119.0,5.0,121.0
2022-12-24,vs LA,W119-114,19-12,114.0,119.0,5.0,121.0
2022-12-25,@ New York,W119-112,20-12,112.0,119.0,7.0,128.0
2022-12-26,@ New York,W119-112,20-12,112.0,119.0,7.0,128.0
2022-12-27,@ Washington,L116-111,20-13,116.0,111.0,-5.0,123.0
2022-12-28,@ Washington,L116-111,20-13,116.0,111.0,-5.0,123.0
2022-12-29,@ Washington,L116-111,20-13,116.0,111.0,-5.0,123.0
2022-12-30,@ New Orleans,L127-116,20-14,127.0,116.0,-11.0,112.0
2022-12-31,@ Oklahoma City,W115-96,21-14,96.0,115.0,19.0,131.0
2023-01-01,@ Oklahoma City,W115-96,21-14,96.0,115.0,19.0,131.0
2023-01-02,vs New Orleans,W120-111,22-14,111.0,120.0,9.0,140.0
2023-01-03,vs New Orleans,W120-111,22-14,111.0,120.0,9.0,140.0
2023-01-04,vs Indiana,W129-126 OT,23-14,126.0,129.0,3.0,143.0
2023-01-05,vs Indiana,W129-126 OT,23-14,126.0,129.0,3.0,143.0
2023-01-06,vs Chicago,L126-112,23-15,126.0,112.0,-14.0,129.0
2023-01-07,vs Chicago,L126-112,23-15,126.0,112.0,-14.0,129.0
2023-01-08,@ Detroit,W123-111,24-15,111.0,123.0,12.0,141.0
2023-01-09,@ Detroit,W123-111,24-15,111.0,123.0,12.0,141.0
2023-01-10,vs Detroit,W147-116,25-15,116.0,147.0,31.0,172.0
2023-01-11,vs Detroit,W147-116,25-15,116.0,147.0,31.0,172.0
2023-01-12,vs Oklahoma City,L133-114,25-16,133.0,114.0,-19.0,153.0
2023-01-13,vs Oklahoma City,L133-114,25-16,133.0,114.0,-19.0,153.0
2023-01-14,@ Utah,W118-117,26-16,117.0,118.0,1.0,154.0
2023-01-15,@ Los Angeles,W113-112,27-16,112.0,113.0,1.0,155.0
2023-01-16,@ Los Angeles,W113-112,27-16,112.0,113.0,1.0,155.0
2023-01-17,@ LA,W120-110,28-16,110.0,120.0,10.0,165.0
2023-01-18,@ LA,W120-110,28-16,110.0,120.0,10.0,165.0
2023-01-19,@ Portland,W105-95,29-16,95.0,105.0,10.0,175.0
2023-01-20,@ Portland,W105-95,29-16,95.0,105.0,10.0,175.0
2023-01-21,@ Sacramento,W129-127,30-16,127.0,129.0,2.0,177.0
2023-01-22,@ Sacramento,W129-127,30-16,127.0,129.0,2.0,177.0
2023-01-23,@ Sacramento,W129-127,30-16,127.0,129.0,2.0,177.0
2023-01-24,@ Sacramento,W129-127,30-16,127.0,129.0,2.0,177.0
2023-01-25,vs Brooklyn,W137-133,31-16,133.0,137.0,4.0,181.0
2023-01-26,vs Brooklyn,W137-133,31-16,133.0,137.0,4.0,181.0
2023-01-27,vs Brooklyn,W137-133,31-16,133.0,137.0,4.0,181.0
2023-01-28,vs Denver,W126-119,32-16,119.0,126.0,7.0,188.0
2023-01-29,vs Denver,W126-119,32-16,119.0,126.0,7.0,188.0
2023-01-30,vs Orlando,L119-109,32-17,119.0,109.0,-10.0,178.0
2023-01-31,vs Orlando,L119-109,32-17,119.0,109.0,-10.0,178.0
2023-02-01,vs Orlando,W105-94,33-17,94.0,105.0,11.0,189.0
2023-02-02,vs Orlando,W105-94,33-17,94.0,105.0,11.0,189.0
2023-02-03,@ San Antonio,W137-125,34-17,125.0,137.0,12.0,201.0
2023-02-04,@ San Antonio,W137-125,34-17,125.0,137.0,12.0,201.0
2023-02-05,@ New York,L108-97,34-18,108.0,97.0,-11.0,190.0
2023-02-06,@ New York,L108-97,34-18,108.0,97.0,-11.0,190.0
2023-02-07,@ New York,L108-97,34-18,108.0,97.0,-11.0,190.0
2023-02-08,@ Boston,L106-99,34-19,106.0,99.0,-7.0,183.0
2023-02-09,@ Boston,L106-99,34-19,106.0,99.0,-7.0,183.0
2023-02-10,vs New York,W119-108,35-19,108.0,119.0,11.0,194.0
2023-02-11,@ Brooklyn,W101-98,36-19,98.0,101.0,3.0,197.0
2023-02-12,@ Brooklyn,W101-98,36-19,98.0,101.0,3.0,197.0
2023-02-13,vs Houston,W123-104,37-19,104.0,123.0,19.0,216.0
2023-02-14,vs Houston,W123-104,37-19,104.0,123.0,19.0,216.0
2023-02-15,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-16,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-17,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-18,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-19,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-20,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-21,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-22,vs Cleveland,W118-112,38-19,112.0,118.0,6.0,222.0
2023-02-23,vs Memphis,W110-105,54-28,105.0,110.0,5.0,227.0
2023-02-24,vs Memphis,W110-105,54-28,105.0,110.0,5.0,227.0
2023-02-25,vs Boston,L110-107,39-20,110.0,107.0,-3.0,224.0
2023-02-26,vs Boston,L110-107,39-20,110.0,107.0,-3.0,224.0
2023-02-27,vs Miami,L101-99,39-21,101.0,99.0,-2.0,222.0
2023-02-28,vs Miami,L101-99,39-21,101.0,99.0,-2.0,222.0
2023-03-01,@ Miami,W119-96,40-21,96.0,119.0,23.0,245.0
2023-03-02,@ Dallas,L133-126,40-22,133.0,126.0,-7.0,238.0
2023-03-03,@ Dallas,L133-126,40-22,133.0,126.0,-7.0,238.0
2023-03-04,@ Milwaukee,W133-130,41-22,130.0,133.0,3.0,241.0
2023-03-05,@ Milwaukee,W133-130,41-22,130.0,133.0,3.0,241.0
2023-03-06,@ Indiana,W147-143,42-22,143.0,147.0,4.0,245.0
2023-03-07,@ Minnesota,W117-94,43-22,94.0,117.0,23.0,268.0
2023-03-08,@ Minnesota,W117-94,43-22,94.0,117.0,23.0,268.0
2023-03-09,@ Minnesota,W117-94,43-22,94.0,117.0,23.0,268.0
2023-03-10,vs Portland,W120-119,44-22,119.0,120.0,1.0,269.0
2023-03-11,vs Portland,W120-119,44-22,119.0,120.0,1.0,269.0
2023-03-12,vs Washington,W112-93,45-22,93.0,112.0,19.0,288.0
2023-03-13,vs Washington,W112-93,45-22,93.0,112.0,19.0,288.0
2023-03-14,vs Washington,W112-93,45-22,93.0,112.0,19.0,288.0
2023-03-15,@ Cleveland,W118-109,46-22,109.0,118.0,9.0,297.0
2023-03-16,@ Cleveland,W118-109,46-22,109.0,118.0,9.0,297.0
2023-03-17,@ Charlotte,W121-82,47-22,82.0,121.0,39.0,336.0
2023-03-18,@ Indiana,W141-121,48-22,121.0,141.0,20.0,356.0
2023-03-19,@ Indiana,W141-121,48-22,121.0,141.0,20.0,356.0
2023-03-20,vs Chicago,L109-105 2OT,48-23,109.0,105.0,-4.0,352.0
2023-03-21,vs Chicago,L109-105 2OT,48-23,109.0,105.0,-4.0,352.0
2023-03-22,@ Chicago,W116-91,49-23,91.0,116.0,25.0,377.0
2023-03-23,@ Chicago,W116-91,49-23,91.0,116.0,25.0,377.0
2023-03-24,@ Golden State,L120-112,54-28,120.0,112.0,-8.0,369.0
2023-03-25,@ Phoenix,L125-105,49-25,125.0,105.0,-20.0,349.0
2023-03-26,@ Phoenix,L125-105,49-25,125.0,105.0,-20.0,349.0
2023-03-27,@ Denver,L116-111,49-26,116.0,111.0,-5.0,344.0
2023-03-28,@ Denver,L116-111,49-26,116.0,111.0,-5.0,344.0
2023-03-29,vs Dallas,W116-108,50-26,108.0,116.0,8.0,352.0
2023-03-30,vs Dallas,W116-108,50-26,108.0,116.0,8.0,352.0
2023-03-31,vs Toronto,W117-110,51-26,110.0,117.0,7.0,359.0
2023-04-01,vs Toronto,W117-110,51-26,110.0,117.0,7.0,359.0
2023-04-02,@ Milwaukee,L117-104,51-27,117.0,104.0,-13.0,346.0
2023-04-03,@ Milwaukee,L117-104,51-27,117.0,104.0,-13.0,346.0
2023-04-04,vs Boston,W103-101,52-27,101.0,103.0,2.0,348.0
2023-04-05,vs Boston,W103-101,52-27,101.0,103.0,2.0,348.0
2023-04-06,vs Miami,L129-101,52-28,129.0,101.0,-28.0,320.0
2023-04-07,@ Atlanta,W136-131 OT,53-28,131.0,136.0,5.0,325.0
2023-04-08,@ Atlanta,W136-131 OT,53-28,131.0,136.0,5.0,325.0
2023-04-09,@ Brooklyn,W134-105,54-28,105.0,134.0,29.0,354.0
