Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Dallas,W107-105,1-0,105.0,107.0,2.0,2.0
2022-10-19,vs Dallas,W107-105,1-0,105.0,107.0,2.0,2.0
2022-10-20,vs Dallas,W107-105,1-0,105.0,107.0,2.0,2.0
2022-10-21,@ Portland,L113-111 OT,1-1,113.0,111.0,-2.0,0.0
2022-10-22,@ Portland,L113-111 OT,1-1,113.0,111.0,-2.0,0.0
2022-10-23,@ LA,W112-95,2-1,95.0,112.0,17.0,17.0
2022-10-24,@ LA,W112-95,2-1,95.0,112.0,17.0,17.0
2022-10-25,vs Golden State,W134-105,3-1,105.0,134.0,29.0,46.0
2022-10-26,vs Golden State,W134-105,3-1,105.0,134.0,29.0,46.0
2022-10-27,vs Golden State,W134-105,3-1,105.0,134.0,29.0,46.0
2022-10-28,vs New Orleans,W124-111,4-1,111.0,124.0,13.0,59.0
2022-10-29,vs New Orleans,W124-111,4-1,111.0,124.0,13.0,59.0
2022-10-30,vs Houston,W124-109,5-1,109.0,124.0,15.0,74.0
2022-10-31,vs Houston,W124-109,5-1,109.0,124.0,15.0,74.0
2022-11-01,vs Minnesota,W116-107,6-1,107.0,116.0,9.0,83.0
2022-11-02,vs Minnesota,W116-107,6-1,107.0,116.0,9.0,83.0
2022-11-03,vs Minnesota,W116-107,6-1,107.0,116.0,9.0,83.0
2022-11-04,vs Portland,L108-106,6-2,108.0,106.0,-2.0,81.0
2022-11-05,vs Portland,W102-82,7-2,82.0,102.0,20.0,101.0
2022-11-06,vs Portland,W102-82,7-2,82.0,102.0,20.0,101.0
2022-11-07,@ Philadelphia,L100-88,7-3,100.0,88.0,-12.0,89.0
2022-11-08,@ Philadelphia,L100-88,7-3,100.0,88.0,-12.0,89.0
2022-11-09,@ Minnesota,W129-117,8-3,117.0,129.0,12.0,101.0
2022-11-10,@ Minnesota,W129-117,8-3,117.0,129.0,12.0,101.0
2022-11-11,@ Orlando,L114-97,8-4,114.0,97.0,-17.0,84.0
2022-11-12,@ Orlando,L114-97,8-4,114.0,97.0,-17.0,84.0
2022-11-13,@ Orlando,L114-97,8-4,114.0,97.0,-17.0,84.0
2022-11-14,@ Miami,L113-112,8-5,113.0,112.0,-1.0,83.0
2022-11-15,@ Miami,L113-112,8-5,113.0,112.0,-1.0,83.0
2022-11-16,vs Golden State,W130-119,9-5,119.0,130.0,11.0,94.0
2022-11-17,vs Golden State,W130-119,9-5,119.0,130.0,11.0,94.0
2022-11-18,@ Utah,L134-133,9-6,134.0,133.0,-1.0,93.0
2022-11-19,@ Utah,L134-133,9-6,134.0,133.0,-1.0,93.0
2022-11-20,vs New York,W116-95,10-6,95.0,116.0,21.0,114.0
2022-11-21,vs New York,W116-95,10-6,95.0,116.0,21.0,114.0
2022-11-22,vs Los Angeles,W115-105,11-6,105.0,115.0,10.0,124.0
2022-11-23,vs Los Angeles,W115-105,11-6,105.0,115.0,10.0,124.0
2022-11-24,vs Los Angeles,W115-105,11-6,105.0,115.0,10.0,124.0
2022-11-25,vs Detroit,W108-102,12-6,102.0,108.0,6.0,130.0
2022-11-26,vs Utah,W113-112,13-6,112.0,113.0,1.0,131.0
2022-11-27,vs Utah,W113-112,13-6,112.0,113.0,1.0,131.0
2022-11-28,@ Sacramento,W122-117,14-6,117.0,122.0,5.0,136.0
2022-11-29,@ Sacramento,W122-117,14-6,117.0,122.0,5.0,136.0
2022-11-30,vs Chicago,W132-113,15-6,113.0,132.0,19.0,155.0
2022-12-01,vs Chicago,W132-113,15-6,113.0,132.0,19.0,155.0
2022-12-02,vs Houston,L122-121,15-7,122.0,121.0,-1.0,154.0
2022-12-03,vs Houston,L122-121,15-7,122.0,121.0,-1.0,154.0
2022-12-04,@ San Antonio,W133-95,16-7,95.0,133.0,38.0,192.0
2022-12-05,@ Dallas,L130-111,16-8,130.0,111.0,-19.0,173.0
2022-12-06,@ Dallas,L130-111,16-8,130.0,111.0,-19.0,173.0
2022-12-07,vs Boston,L125-98,16-9,125.0,98.0,-27.0,146.0
2022-12-08,vs Boston,L125-98,16-9,125.0,98.0,-27.0,146.0
2022-12-09,@ New Orleans,L128-117,16-10,128.0,117.0,-11.0,135.0
2022-12-10,@ New Orleans,L128-117,16-10,128.0,117.0,-11.0,135.0
2022-12-11,@ New Orleans,L129-124 OT,16-11,129.0,124.0,-5.0,130.0
2022-12-12,@ New Orleans,L129-124 OT,16-11,129.0,124.0,-5.0,130.0
2022-12-13,@ Houston,L111-97,16-12,111.0,97.0,-14.0,116.0
2022-12-14,@ Houston,L111-97,16-12,111.0,97.0,-14.0,116.0
2022-12-15,@ LA,W111-95,17-12,95.0,111.0,16.0,132.0
2022-12-16,@ LA,W111-95,17-12,95.0,111.0,16.0,132.0
2022-12-17,vs New Orleans,W118-114,18-12,114.0,118.0,4.0,136.0
2022-12-18,vs New Orleans,W118-114,18-12,114.0,118.0,4.0,136.0
2022-12-19,vs Los Angeles,W130-104,19-12,104.0,130.0,26.0,162.0
2022-12-20,vs Washington,L113-110,19-13,113.0,110.0,-3.0,159.0
2022-12-21,vs Washington,L113-110,19-13,113.0,110.0,-3.0,159.0
2022-12-22,vs Washington,L113-110,19-13,113.0,110.0,-3.0,159.0
2022-12-23,vs Memphis,L125-100,19-14,125.0,100.0,-25.0,134.0
2022-12-24,vs Memphis,L125-100,19-14,125.0,100.0,-25.0,134.0
2022-12-25,@ Denver,L128-125 OT,19-15,128.0,125.0,-3.0,131.0
2022-12-26,@ Denver,L128-125 OT,19-15,128.0,125.0,-3.0,131.0
2022-12-27,@ Memphis,W125-108,20-15,108.0,125.0,17.0,148.0
2022-12-28,@ Washington,L127-102,20-16,127.0,102.0,-25.0,123.0
2022-12-29,@ Washington,L127-102,20-16,127.0,102.0,-25.0,123.0
2022-12-30,@ Toronto,L113-104,20-17,113.0,104.0,-9.0,114.0
2022-12-31,@ Toronto,L113-104,20-17,113.0,104.0,-9.0,114.0
2023-01-01,@ Toronto,L113-104,20-17,113.0,104.0,-9.0,114.0
2023-01-02,@ New York,L102-83,20-18,102.0,83.0,-19.0,95.0
2023-01-03,@ New York,L102-83,20-18,102.0,83.0,-19.0,95.0
2023-01-04,@ Cleveland,L90-88,20-19,90.0,88.0,-2.0,93.0
2023-01-05,@ Cleveland,L90-88,20-19,90.0,88.0,-2.0,93.0
2023-01-06,vs Miami,L104-96,20-20,104.0,96.0,-8.0,85.0
2023-01-07,vs Miami,L104-96,20-20,104.0,96.0,-8.0,85.0
2023-01-08,vs Cleveland,L112-98,20-21,112.0,98.0,-14.0,71.0
2023-01-09,vs Cleveland,L112-98,20-21,112.0,98.0,-14.0,71.0
2023-01-10,@ Golden State,W125-113,21-21,113.0,125.0,12.0,83.0
2023-01-11,@ Denver,L126-97,21-22,126.0,97.0,-29.0,54.0
2023-01-12,@ Denver,L126-97,21-22,126.0,97.0,-29.0,54.0
2023-01-13,@ Minnesota,L121-116,21-23,121.0,116.0,-5.0,49.0
2023-01-14,@ Minnesota,L121-116,21-23,121.0,116.0,-5.0,49.0
2023-01-15,@ Minnesota,L121-116,21-23,121.0,116.0,-5.0,49.0
2023-01-16,@ Memphis,L136-106,21-24,136.0,106.0,-30.0,19.0
2023-01-17,@ Memphis,L136-106,21-24,136.0,106.0,-30.0,19.0
2023-01-18,@ Memphis,L136-106,21-24,136.0,106.0,-30.0,19.0
2023-01-19,vs Brooklyn,W117-112,22-24,112.0,117.0,5.0,24.0
2023-01-20,vs Brooklyn,W117-112,22-24,112.0,117.0,5.0,24.0
2023-01-21,vs Indiana,W112-107,23-24,107.0,112.0,5.0,29.0
2023-01-22,vs Memphis,W112-110,24-24,110.0,112.0,2.0,31.0
2023-01-23,vs Memphis,W112-110,24-24,110.0,112.0,2.0,31.0
2023-01-24,vs Charlotte,W128-97,25-24,97.0,128.0,31.0,62.0
2023-01-25,vs Charlotte,W128-97,25-24,97.0,128.0,31.0,62.0
2023-01-26,vs Dallas,L99-95,25-25,99.0,95.0,-4.0,58.0
2023-01-27,vs Dallas,L99-95,25-25,99.0,95.0,-4.0,58.0
2023-01-28,@ San Antonio,W128-118 OT,26-25,118.0,128.0,10.0,68.0
2023-01-29,@ San Antonio,W128-118 OT,26-25,118.0,128.0,10.0,68.0
2023-01-30,vs Toronto,W114-106,27-25,106.0,114.0,8.0,76.0
2023-01-31,vs Toronto,W114-106,27-25,106.0,114.0,8.0,76.0
2023-02-01,vs Atlanta,L132-100,27-26,132.0,100.0,-32.0,44.0
2023-02-02,vs Atlanta,L132-100,27-26,132.0,100.0,-32.0,44.0
2023-02-03,@ Boston,W106-94,28-26,94.0,106.0,12.0,56.0
2023-02-04,@ Detroit,W116-100,29-26,100.0,116.0,16.0,72.0
2023-02-05,@ Detroit,W116-100,29-26,100.0,116.0,16.0,72.0
2023-02-06,@ Detroit,W116-100,29-26,100.0,116.0,16.0,72.0
2023-02-07,@ Brooklyn,W116-112,30-26,112.0,116.0,4.0,76.0
2023-02-08,@ Brooklyn,W116-112,30-26,112.0,116.0,4.0,76.0
2023-02-09,@ Atlanta,L116-107,30-27,116.0,107.0,-9.0,67.0
2023-02-10,@ Indiana,W117-104,31-27,104.0,117.0,13.0,80.0
2023-02-11,@ Indiana,W117-104,31-27,104.0,117.0,13.0,80.0
2023-02-12,@ Indiana,W117-104,31-27,104.0,117.0,13.0,80.0
2023-02-13,@ Indiana,W117-104,31-27,104.0,117.0,13.0,80.0
2023-02-14,vs Sacramento,W120-109,32-27,109.0,120.0,11.0,91.0
2023-02-15,vs Sacramento,W120-109,32-27,109.0,120.0,11.0,91.0
2023-02-16,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-17,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-18,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-19,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-20,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-21,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-22,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-23,vs LA,L116-107,32-28,116.0,107.0,-9.0,82.0
2023-02-24,vs Oklahoma City,W124-115,33-28,115.0,124.0,9.0,91.0
2023-02-25,vs Oklahoma City,W124-115,33-28,115.0,124.0,9.0,91.0
2023-02-26,@ Milwaukee,L104-101,33-29,104.0,101.0,-3.0,88.0
2023-02-27,@ Milwaukee,L104-101,33-29,104.0,101.0,-3.0,88.0
2023-02-28,@ Milwaukee,L104-101,33-29,104.0,101.0,-3.0,88.0
2023-03-01,@ Charlotte,W105-91,34-29,91.0,105.0,14.0,102.0
2023-03-02,@ Charlotte,W105-91,34-29,91.0,105.0,14.0,102.0
2023-03-03,@ Chicago,W125-104,35-29,104.0,125.0,21.0,123.0
2023-03-04,@ Chicago,W125-104,35-29,104.0,125.0,21.0,123.0
2023-03-05,@ Dallas,W130-126,36-29,126.0,130.0,4.0,127.0
2023-03-06,@ Dallas,W130-126,36-29,126.0,130.0,4.0,127.0
2023-03-07,@ Dallas,W130-126,36-29,126.0,130.0,4.0,127.0
2023-03-08,vs Oklahoma City,W132-101,37-29,101.0,132.0,31.0,158.0
2023-03-09,vs Oklahoma City,W132-101,37-29,101.0,132.0,31.0,158.0
2023-03-10,vs Oklahoma City,W132-101,37-29,101.0,132.0,31.0,158.0
2023-03-11,vs Sacramento,L128-119,37-30,128.0,119.0,-9.0,149.0
2023-03-12,vs Sacramento,L128-119,37-30,128.0,119.0,-9.0,149.0
2023-03-13,@ Golden State,L123-112,37-31,123.0,112.0,-11.0,138.0
2023-03-14,vs Milwaukee,L116-104,37-32,116.0,104.0,-12.0,126.0
2023-03-15,vs Milwaukee,L116-104,37-32,116.0,104.0,-12.0,126.0
2023-03-16,vs Orlando,W116-113,38-32,113.0,116.0,3.0,129.0
2023-03-17,vs Orlando,W116-113,38-32,113.0,116.0,3.0,129.0
2023-03-18,vs Orlando,W116-113,38-32,113.0,116.0,3.0,129.0
2023-03-19,@ Oklahoma City,L124-120,38-33,124.0,120.0,-4.0,125.0
2023-03-20,@ Oklahoma City,L124-120,38-33,124.0,120.0,-4.0,125.0
2023-03-21,@ Oklahoma City,L124-120,38-33,124.0,120.0,-4.0,125.0
2023-03-22,@ Los Angeles,L122-111,38-34,122.0,111.0,-11.0,114.0
2023-03-23,@ Los Angeles,L122-111,38-34,122.0,111.0,-11.0,114.0
2023-03-24,@ Sacramento,L135-127,38-35,135.0,127.0,-8.0,106.0
2023-03-25,vs Philadelphia,W125-105,39-35,105.0,125.0,20.0,126.0
2023-03-26,vs Philadelphia,W125-105,39-35,105.0,125.0,20.0,126.0
2023-03-27,@ Utah,W117-103,40-35,103.0,117.0,14.0,140.0
2023-03-28,@ Utah,W117-103,40-35,103.0,117.0,14.0,140.0
2023-03-29,vs Minnesota,W107-100,41-35,100.0,107.0,7.0,147.0
2023-03-30,vs Minnesota,W107-100,41-35,100.0,107.0,7.0,147.0
2023-03-31,vs Denver,W100-93,42-35,93.0,100.0,7.0,154.0
2023-04-01,vs Denver,W100-93,42-35,93.0,100.0,7.0,154.0
2023-04-02,@ Oklahoma City,W128-118,43-35,118.0,128.0,10.0,164.0
2023-04-03,@ Oklahoma City,W128-118,43-35,118.0,128.0,10.0,164.0
2023-04-04,vs San Antonio,W115-94,44-35,94.0,115.0,21.0,185.0
2023-04-05,vs San Antonio,W115-94,44-35,94.0,115.0,21.0,185.0
2023-04-06,vs Denver,W119-115,45-35,115.0,119.0,4.0,189.0
2023-04-07,@ Los Angeles,L121-107,45-36,121.0,107.0,-14.0,175.0
2023-04-08,@ Los Angeles,L121-107,45-36,121.0,107.0,-14.0,175.0
2023-04-09,vs LA,L119-114,45-37,119.0,114.0,-5.0,170.0
