Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Sacramento,W115-108,1-0,108.0,115.0,7.0,7.0
2022-10-19,@ Sacramento,W115-108,1-0,108.0,115.0,7.0,7.0
2022-10-20,@ Sacramento,W115-108,1-0,108.0,115.0,7.0,7.0
2022-10-21,vs Phoenix,W113-111 OT,2-0,111.0,113.0,2.0,9.0
2022-10-22,vs Phoenix,W113-111 OT,2-0,111.0,113.0,2.0,9.0
2022-10-23,@ Los Angeles,W106-104,3-0,104.0,106.0,2.0,11.0
2022-10-24,vs Denver,W135-110,4-0,110.0,135.0,25.0,36.0
2022-10-25,vs Denver,W135-110,4-0,110.0,135.0,25.0,36.0
2022-10-26,vs Miami,L119-98,4-1,119.0,98.0,-21.0,15.0
2022-10-27,vs Miami,L119-98,4-1,119.0,98.0,-21.0,15.0
2022-10-28,vs Houston,W125-111,5-1,111.0,125.0,14.0,29.0
2022-10-29,vs Houston,W125-111,5-1,111.0,125.0,14.0,29.0
2022-10-30,vs Houston,W125-111,5-1,111.0,125.0,14.0,29.0
2022-10-31,vs Houston,W125-111,5-1,111.0,125.0,14.0,29.0
2022-11-01,vs Houston,W125-111,5-1,111.0,125.0,14.0,29.0
2022-11-02,vs Memphis,L111-106,5-2,111.0,106.0,-5.0,24.0
2022-11-03,vs Memphis,L111-106,5-2,111.0,106.0,-5.0,24.0
2022-11-04,@ Phoenix,W108-106,6-2,106.0,108.0,2.0,26.0
2022-11-05,@ Phoenix,L102-82,6-3,102.0,82.0,-20.0,6.0
2022-11-06,@ Phoenix,L102-82,6-3,102.0,82.0,-20.0,6.0
2022-11-07,@ Miami,W110-107,7-3,107.0,110.0,3.0,9.0
2022-11-08,@ Miami,W110-107,7-3,107.0,110.0,3.0,9.0
2022-11-09,@ Charlotte,W105-95,8-3,95.0,105.0,10.0,19.0
2022-11-10,@ New Orleans,W106-95,9-3,95.0,106.0,11.0,30.0
2022-11-11,@ New Orleans,W106-95,9-3,95.0,106.0,11.0,30.0
2022-11-12,@ Dallas,L117-112,9-4,117.0,112.0,-5.0,25.0
2022-11-13,@ Dallas,L117-112,9-4,117.0,112.0,-5.0,25.0
2022-11-14,@ Dallas,L117-112,9-4,117.0,112.0,-5.0,25.0
2022-11-15,vs San Antonio,W117-110,10-4,110.0,117.0,7.0,32.0
2022-11-16,vs San Antonio,W117-110,10-4,110.0,117.0,7.0,32.0
2022-11-17,vs Brooklyn,L109-107,10-5,109.0,107.0,-2.0,30.0
2022-11-18,vs Brooklyn,L109-107,10-5,109.0,107.0,-2.0,30.0
2022-11-19,vs Utah,L118-113,10-6,118.0,113.0,-5.0,25.0
2022-11-20,vs Utah,L118-113,10-6,118.0,113.0,-5.0,25.0
2022-11-21,@ Milwaukee,L119-111,10-7,119.0,111.0,-8.0,17.0
2022-11-22,@ Milwaukee,L119-111,10-7,119.0,111.0,-8.0,17.0
2022-11-23,@ Cleveland,L114-96,10-8,114.0,96.0,-18.0,-1.0
2022-11-24,@ Cleveland,L114-96,10-8,114.0,96.0,-18.0,-1.0
2022-11-25,@ New York,W132-129 OT,11-8,129.0,132.0,3.0,2.0
2022-11-26,@ New York,W132-129 OT,11-8,129.0,132.0,3.0,2.0
