Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Portland,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-19,vs Portland,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-20,vs Portland,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-21,vs Portland,L115-108,0-1,115.0,108.0,-7.0,-7.0
2022-10-22,vs LA,L111-109,0-2,111.0,109.0,-2.0,-9.0
2022-10-23,@ Golden State,L130-125,0-3,130.0,125.0,-5.0,-14.0
2022-10-24,@ Golden State,L130-125,0-3,130.0,125.0,-5.0,-14.0
2022-10-25,@ Golden State,L130-125,0-3,130.0,125.0,-5.0,-14.0
2022-10-26,@ Golden State,L130-125,0-3,130.0,125.0,-5.0,-14.0
2022-10-27,vs Memphis,L125-110,0-4,125.0,110.0,-15.0,-29.0
2022-10-28,vs Memphis,L125-110,0-4,125.0,110.0,-15.0,-29.0
2022-10-29,vs Miami,W119-113,1-4,113.0,119.0,6.0,-23.0
2022-10-30,vs Miami,W119-113,1-4,113.0,119.0,6.0,-23.0
2022-10-31,@ Charlotte,W115-108,2-4,108.0,115.0,7.0,-16.0
2022-11-01,@ Charlotte,W115-108,2-4,108.0,115.0,7.0,-16.0
2022-11-02,@ Miami,L110-107,2-5,110.0,107.0,-3.0,-19.0
2022-11-03,@ Miami,L110-107,2-5,110.0,107.0,-3.0,-19.0
2022-11-04,@ Miami,L110-107,2-5,110.0,107.0,-3.0,-19.0
2022-11-05,@ Orlando,W126-123 OT,3-5,123.0,126.0,3.0,-16.0
2022-11-06,@ Orlando,W126-123 OT,3-5,123.0,126.0,3.0,-16.0
2022-11-07,@ Golden State,L116-113,3-6,116.0,113.0,-3.0,-19.0
2022-11-08,@ Golden State,L116-113,3-6,116.0,113.0,-3.0,-19.0
2022-11-09,vs Cleveland,W127-120,4-6,120.0,127.0,7.0,-12.0
2022-11-10,vs Cleveland,W127-120,4-6,120.0,127.0,7.0,-12.0
2022-11-11,@ Los Angeles,W120-114,5-6,114.0,120.0,6.0,-6.0
2022-11-12,@ Los Angeles,W120-114,5-6,114.0,120.0,6.0,-6.0
2022-11-13,vs Golden State,W122-115,6-6,115.0,122.0,7.0,1.0
2022-11-14,vs Golden State,W122-115,6-6,115.0,122.0,7.0,1.0
2022-11-15,vs Brooklyn,W153-121,7-6,121.0,153.0,32.0,33.0
2022-11-16,vs Brooklyn,W153-121,7-6,121.0,153.0,32.0,33.0
2022-11-17,vs San Antonio,W130-112,8-6,112.0,130.0,18.0,51.0
2022-11-18,vs San Antonio,W130-112,8-6,112.0,130.0,18.0,51.0
2022-11-19,vs San Antonio,W130-112,8-6,112.0,130.0,18.0,51.0
2022-11-20,vs Detroit,W137-129,9-6,129.0,137.0,8.0,59.0
2022-11-21,vs Detroit,W137-129,9-6,129.0,137.0,8.0,59.0
2022-11-22,@ Memphis,W113-109,10-6,109.0,113.0,4.0,63.0
2022-11-23,@ Atlanta,L115-106,10-7,115.0,106.0,-9.0,54.0
2022-11-24,@ Atlanta,L115-106,10-7,115.0,106.0,-9.0,54.0
2022-11-25,@ Boston,L122-104,10-8,122.0,104.0,-18.0,36.0
2022-11-26,@ Boston,L122-104,10-8,122.0,104.0,-18.0,36.0
2022-11-27,@ Boston,L122-104,10-8,122.0,104.0,-18.0,36.0
2022-11-28,vs Phoenix,L122-117,10-9,122.0,117.0,-5.0,31.0
2022-11-29,vs Phoenix,L122-117,10-9,122.0,117.0,-5.0,31.0
2022-11-30,vs Indiana,W137-114,11-9,114.0,137.0,23.0,54.0
2022-12-01,vs Indiana,W137-114,11-9,114.0,137.0,23.0,54.0
2022-12-02,vs Indiana,W137-114,11-9,114.0,137.0,23.0,54.0
2022-12-03,@ LA,W123-96,12-9,96.0,123.0,27.0,81.0
2022-12-04,vs Chicago,W110-101,13-9,101.0,110.0,9.0,90.0
2022-12-05,vs Chicago,W110-101,13-9,101.0,110.0,9.0,90.0
2022-12-06,vs Chicago,W110-101,13-9,101.0,110.0,9.0,90.0
2022-12-07,@ Milwaukee,L126-113,13-10,126.0,113.0,-13.0,77.0
2022-12-08,@ Milwaukee,L126-113,13-10,126.0,113.0,-13.0,77.0
2022-12-09,@ Cleveland,W106-95,14-10,95.0,106.0,11.0,88.0
2022-12-10,@ Cleveland,W106-95,14-10,95.0,106.0,11.0,88.0
2022-12-11,@ New York,L112-99,14-11,112.0,99.0,-13.0,75.0
2022-12-12,@ New York,L112-99,14-11,112.0,99.0,-13.0,75.0
2022-12-13,@ Philadelphia,L123-103,14-12,123.0,103.0,-20.0,55.0
2022-12-14,@ Toronto,W124-123,15-12,123.0,124.0,1.0,56.0
2022-12-15,@ Toronto,W124-123,15-12,123.0,124.0,1.0,56.0
2022-12-16,@ Detroit,W122-113,16-12,113.0,122.0,9.0,65.0
2022-12-17,@ Detroit,W122-113,16-12,113.0,122.0,9.0,65.0
2022-12-18,@ Detroit,W122-113,16-12,113.0,122.0,9.0,65.0
2022-12-19,vs Charlotte,L125-119,16-13,125.0,119.0,-6.0,59.0
2022-12-20,vs Charlotte,L125-119,16-13,125.0,119.0,-6.0,59.0
2022-12-21,vs Los Angeles,W134-120,17-13,120.0,134.0,14.0,73.0
2022-12-22,vs Los Angeles,W134-120,17-13,120.0,134.0,14.0,73.0
2022-12-23,vs Washington,L125-111,17-14,125.0,111.0,-14.0,59.0
2022-12-24,vs Washington,L125-111,17-14,125.0,111.0,-14.0,59.0
2022-12-25,vs Washington,L125-111,17-14,125.0,111.0,-14.0,59.0
2022-12-26,vs Washington,L125-111,17-14,125.0,111.0,-14.0,59.0
2022-12-27,vs Denver,L113-106,17-15,113.0,106.0,-7.0,52.0
