Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Charlotte,L129-102,0-1,129.0,102.0,-27.0,-27.0
2022-10-19,vs Charlotte,L129-102,0-1,129.0,102.0,-27.0,-27.0
2022-10-20,vs Charlotte,L129-102,0-1,129.0,102.0,-27.0,-27.0
2022-10-21,@ Indiana,W137-134,1-1,134.0,137.0,3.0,-24.0
2022-10-22,@ Philadelphia,W114-105,2-1,105.0,114.0,9.0,-15.0
2022-10-23,@ Philadelphia,W114-105,2-1,105.0,114.0,9.0,-15.0
2022-10-24,@ Minnesota,W115-106,3-1,106.0,115.0,9.0,-6.0
2022-10-25,@ Minnesota,W115-106,3-1,106.0,115.0,9.0,-6.0
2022-10-26,@ Minnesota,L134-122,3-2,134.0,122.0,-12.0,-18.0
2022-10-27,@ Minnesota,L134-122,3-2,134.0,122.0,-12.0,-18.0
2022-10-28,vs Chicago,W129-124,4-2,124.0,129.0,5.0,-13.0
2022-10-29,vs Chicago,W129-124,4-2,124.0,129.0,5.0,-13.0
2022-10-30,vs Minnesota,W107-98,5-2,98.0,107.0,9.0,-4.0
2022-10-31,vs Minnesota,W107-98,5-2,98.0,107.0,9.0,-4.0
2022-11-01,vs Minnesota,W107-98,5-2,98.0,107.0,9.0,-4.0
2022-11-02,vs Toronto,L143-100,5-3,143.0,100.0,-43.0,-47.0
2022-11-03,vs Toronto,L143-100,5-3,143.0,100.0,-43.0,-47.0
2022-11-04,vs LA,L113-106,5-4,113.0,106.0,-7.0,-54.0
2022-11-05,@ Denver,L126-101,5-5,126.0,101.0,-25.0,-79.0
2022-11-06,@ Denver,L126-101,5-5,126.0,101.0,-25.0,-79.0
2022-11-07,vs Denver,L115-109,5-6,115.0,109.0,-6.0,-85.0
2022-11-08,vs Denver,L115-109,5-6,115.0,109.0,-6.0,-85.0
2022-11-09,vs Memphis,L124-122 OT,5-7,124.0,122.0,-2.0,-87.0
2022-11-10,vs Memphis,L124-122 OT,5-7,124.0,122.0,-2.0,-87.0
2022-11-11,vs Milwaukee,W111-93,6-7,93.0,111.0,18.0,-69.0
2022-11-12,vs Milwaukee,W111-93,6-7,93.0,111.0,18.0,-69.0
2022-11-13,vs Milwaukee,W111-93,6-7,93.0,111.0,18.0,-69.0
2022-11-14,@ Golden State,L132-95,6-8,132.0,95.0,-37.0,-106.0
2022-11-15,@ Portland,L117-110,6-9,117.0,110.0,-7.0,-113.0
2022-11-16,@ Portland,L117-110,6-9,117.0,110.0,-7.0,-113.0
2022-11-17,@ Sacramento,L130-112,6-10,130.0,112.0,-18.0,-131.0
2022-11-18,@ Sacramento,L130-112,6-10,130.0,112.0,-18.0,-131.0
2022-11-19,@ LA,L119-97,6-11,119.0,97.0,-22.0,-153.0
2022-11-20,@ Los Angeles,L123-92,6-12,123.0,92.0,-31.0,-184.0
2022-11-21,@ Los Angeles,L123-92,6-12,123.0,92.0,-31.0,-184.0
2022-11-22,@ Los Angeles,L123-92,6-12,123.0,92.0,-31.0,-184.0
2022-11-23,vs New Orleans,L129-110,6-13,129.0,110.0,-19.0,-203.0
2022-11-24,vs New Orleans,L129-110,6-13,129.0,110.0,-19.0,-203.0
