Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Cleveland,W108-105,1-0,105.0,108.0,3.0,3.0
2022-10-19,vs Cleveland,W108-105,1-0,105.0,108.0,3.0,3.0
2022-10-20,vs Cleveland,W108-105,1-0,105.0,108.0,3.0,3.0
2022-10-21,@ Brooklyn,L109-105,1-1,109.0,105.0,-4.0,-1.0
2022-10-22,@ Miami,L112-109,1-2,112.0,109.0,-3.0,-4.0
2022-10-23,@ Miami,L112-109,1-2,112.0,109.0,-3.0,-4.0
2022-10-24,@ Miami,W98-90,2-2,90.0,98.0,8.0,4.0
2022-10-25,@ Miami,W98-90,2-2,90.0,98.0,8.0,4.0
2022-10-26,vs Philadelphia,W119-109,3-2,109.0,119.0,10.0,14.0
2022-10-27,vs Philadelphia,W119-109,3-2,109.0,119.0,10.0,14.0
2022-10-28,vs Philadelphia,L112-90,3-3,112.0,90.0,-22.0,-8.0
2022-10-29,vs Philadelphia,L112-90,3-3,112.0,90.0,-22.0,-8.0
2022-10-30,vs Philadelphia,L112-90,3-3,112.0,90.0,-22.0,-8.0
2022-10-31,vs Atlanta,W139-109,4-3,109.0,139.0,30.0,22.0
2022-11-01,vs Atlanta,W139-109,4-3,109.0,139.0,30.0,22.0
2022-11-02,@ San Antonio,W143-100,5-3,100.0,143.0,43.0,65.0
2022-11-03,@ San Antonio,W143-100,5-3,100.0,143.0,43.0,65.0
2022-11-04,@ Dallas,L111-110,5-4,111.0,110.0,-1.0,64.0
2022-11-05,@ Dallas,L111-110,5-4,111.0,110.0,-1.0,64.0
2022-11-06,vs Chicago,W113-104,6-4,104.0,113.0,9.0,73.0
2022-11-07,@ Chicago,L111-97,6-5,111.0,97.0,-14.0,59.0
2022-11-08,@ Chicago,L111-97,6-5,111.0,97.0,-14.0,59.0
2022-11-09,vs Houston,W116-109,7-5,109.0,116.0,7.0,66.0
2022-11-10,vs Houston,W116-109,7-5,109.0,116.0,7.0,66.0
2022-11-11,@ Oklahoma City,L132-113,7-6,132.0,113.0,-19.0,47.0
2022-11-12,@ Indiana,L118-104,7-7,118.0,104.0,-14.0,33.0
2022-11-13,@ Indiana,L118-104,7-7,118.0,104.0,-14.0,33.0
2022-11-14,@ Detroit,W115-111,8-7,111.0,115.0,4.0,37.0
2022-11-15,@ Detroit,W115-111,8-7,111.0,115.0,4.0,37.0
2022-11-16,vs Miami,W112-104,9-7,104.0,112.0,8.0,45.0
2022-11-17,vs Miami,W112-104,9-7,104.0,112.0,8.0,45.0
2022-11-18,vs Miami,W112-104,9-7,104.0,112.0,8.0,45.0
2022-11-19,@ Atlanta,L124-122 OT,9-8,124.0,122.0,-2.0,43.0
2022-11-20,@ Atlanta,L124-122 OT,9-8,124.0,122.0,-2.0,43.0
2022-11-21,@ Atlanta,L124-122 OT,9-8,124.0,122.0,-2.0,43.0
2022-11-22,@ Atlanta,L124-122 OT,9-8,124.0,122.0,-2.0,43.0
2022-11-23,vs Brooklyn,L112-98,9-9,112.0,98.0,-14.0,29.0
2022-11-24,vs Brooklyn,L112-98,9-9,112.0,98.0,-14.0,29.0
2022-11-25,vs Brooklyn,L112-98,9-9,112.0,98.0,-14.0,29.0
2022-11-26,vs Dallas,W105-100,10-9,100.0,105.0,5.0,34.0
2022-11-27,vs Dallas,W105-100,10-9,100.0,105.0,5.0,34.0
