Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,vs Denver,W123-102,1-0,102.0,123.0,21.0,21.0
2022-10-19,vs Denver,W123-102,1-0,102.0,123.0,21.0,21.0
2022-10-20,vs Denver,W123-102,1-0,102.0,123.0,21.0,21.0
2022-10-21,@ Minnesota,W132-126 OT,2-0,126.0,132.0,6.0,27.0
2022-10-22,@ Minnesota,W132-126 OT,2-0,126.0,132.0,6.0,27.0
2022-10-23,@ New Orleans,W122-121 OT,3-0,121.0,122.0,1.0,28.0
2022-10-24,@ Houston,L114-108,3-1,114.0,108.0,-6.0,22.0
2022-10-25,@ Houston,L114-108,3-1,114.0,108.0,-6.0,22.0
2022-10-26,vs Houston,W109-101,4-1,101.0,109.0,8.0,30.0
2022-10-27,vs Houston,W109-101,4-1,101.0,109.0,8.0,30.0
2022-10-28,@ Denver,L117-101,4-2,117.0,101.0,-16.0,14.0
2022-10-29,vs Memphis,W124-123,5-2,123.0,124.0,1.0,15.0
2022-10-30,vs Memphis,W124-123,5-2,123.0,124.0,1.0,15.0
2022-10-31,vs Memphis,W121-105,6-2,105.0,121.0,16.0,31.0
2022-11-01,vs Memphis,W121-105,6-2,105.0,121.0,16.0,31.0
2022-11-02,@ Dallas,L103-100,6-3,103.0,100.0,-3.0,28.0
2022-11-03,@ Dallas,L103-100,6-3,103.0,100.0,-3.0,28.0
2022-11-04,@ Los Angeles,W130-116,7-3,116.0,130.0,14.0,42.0
2022-11-05,@ Los Angeles,W130-116,7-3,116.0,130.0,14.0,42.0
2022-11-06,@ LA,W110-102,8-3,102.0,110.0,8.0,50.0
2022-11-07,vs Los Angeles,W139-116,9-3,116.0,139.0,23.0,73.0
2022-11-08,vs Los Angeles,W139-116,9-3,116.0,139.0,23.0,73.0
2022-11-09,@ Atlanta,W125-119,10-3,119.0,125.0,6.0,79.0
2022-11-10,@ Atlanta,W125-119,10-3,119.0,125.0,6.0,79.0
2022-11-11,@ Atlanta,W125-119,10-3,119.0,125.0,6.0,79.0
2022-11-12,@ Washington,L121-112,10-4,121.0,112.0,-9.0,70.0
2022-11-13,@ Philadelphia,L105-98,10-5,105.0,98.0,-7.0,63.0
2022-11-14,@ Philadelphia,L105-98,10-5,105.0,98.0,-7.0,63.0
2022-11-15,vs New York,L118-111,10-6,118.0,111.0,-7.0,56.0
2022-11-16,vs New York,L118-111,10-6,118.0,111.0,-7.0,56.0
2022-11-17,vs New York,L118-111,10-6,118.0,111.0,-7.0,56.0
2022-11-18,vs Phoenix,W134-133,11-6,133.0,134.0,1.0,57.0
2022-11-19,@ Portland,W118-113,12-6,113.0,118.0,5.0,62.0
2022-11-20,@ Portland,W118-113,12-6,113.0,118.0,5.0,62.0
2022-11-21,@ LA,L121-114,12-7,121.0,114.0,-7.0,55.0
2022-11-22,@ LA,L121-114,12-7,121.0,114.0,-7.0,55.0
2022-11-23,vs Detroit,L125-116,12-8,125.0,116.0,-9.0,46.0
2022-11-24,vs Detroit,L125-116,12-8,125.0,116.0,-9.0,46.0
2022-11-25,@ Golden State,L129-118,12-9,129.0,118.0,-11.0,35.0
2022-11-26,@ Phoenix,L113-112,12-10,113.0,112.0,-1.0,34.0
2022-11-27,@ Phoenix,L113-112,12-10,113.0,112.0,-1.0,34.0
2022-11-28,vs Chicago,L114-107,12-11,114.0,107.0,-7.0,27.0
2022-11-29,vs Chicago,L114-107,12-11,114.0,107.0,-7.0,27.0
2022-11-30,vs LA,W125-112,13-11,112.0,125.0,13.0,40.0
