Date,Opponent,Result,W/L,PA,PF,PDiff,PDiff_cumulative
2022-10-18,@ Indiana,W114-107,1-0,107.0,114.0,7.0,7.0
2022-10-19,@ Indiana,W114-107,1-0,107.0,114.0,7.0,7.0
2022-10-20,@ Indiana,W114-107,1-0,107.0,114.0,7.0,7.0
2022-10-21,vs Chicago,W102-100,2-0,100.0,102.0,2.0,9.0
2022-10-22,vs Chicago,W102-100,2-0,100.0,102.0,2.0,9.0
2022-10-23,@ Cleveland,L117-107 OT,2-1,117.0,107.0,-10.0,-1.0
2022-10-24,@ Cleveland,L117-107 OT,2-1,117.0,107.0,-10.0,-1.0
2022-10-25,vs Detroit,W120-99,3-1,99.0,120.0,21.0,20.0
2022-10-26,vs Detroit,W120-99,3-1,99.0,120.0,21.0,20.0
2022-10-27,vs Detroit,W120-99,3-1,99.0,120.0,21.0,20.0
2022-10-28,vs Indiana,L127-117,3-2,127.0,117.0,-10.0,10.0
2022-10-29,vs Indiana,L127-117,3-2,127.0,117.0,-10.0,10.0
2022-10-30,@ Boston,L112-94,3-3,112.0,94.0,-18.0,-8.0
2022-10-31,vs Philadelphia,L118-111,3-4,118.0,111.0,-7.0,-15.0
2022-11-01,vs Philadelphia,L118-111,3-4,118.0,111.0,-7.0,-15.0
2022-11-02,@ Philadelphia,W121-111,4-4,111.0,121.0,10.0,-5.0
2022-11-03,@ Philadelphia,W121-111,4-4,111.0,121.0,10.0,-5.0
2022-11-04,vs Brooklyn,L128-86,4-5,128.0,86.0,-42.0,-47.0
2022-11-05,vs Brooklyn,L128-86,4-5,128.0,86.0,-42.0,-47.0
2022-11-06,@ Memphis,L103-97,4-6,103.0,97.0,-6.0,-53.0
2022-11-07,@ Charlotte,W108-100,5-6,100.0,108.0,8.0,-45.0
2022-11-08,@ Charlotte,W108-100,5-6,100.0,108.0,8.0,-45.0
2022-11-09,@ Charlotte,W108-100,5-6,100.0,108.0,8.0,-45.0
2022-11-10,vs Dallas,W113-105,6-6,105.0,113.0,8.0,-37.0
2022-11-11,vs Dallas,W113-105,6-6,105.0,113.0,8.0,-37.0
2022-11-12,vs Utah,W121-112,7-6,112.0,121.0,9.0,-28.0
2022-11-13,vs Memphis,W102-92,8-6,92.0,102.0,10.0,-18.0
2022-11-14,vs Memphis,W102-92,8-6,92.0,102.0,10.0,-18.0
2022-11-15,vs Memphis,W102-92,8-6,92.0,102.0,10.0,-18.0
2022-11-16,vs Oklahoma City,L121-120,8-7,121.0,120.0,-1.0,-19.0
2022-11-17,vs Oklahoma City,L121-120,8-7,121.0,120.0,-1.0,-19.0
2022-11-18,vs Miami,W107-106 OT,9-7,106.0,107.0,1.0,-18.0
2022-11-19,vs Miami,W107-106 OT,9-7,106.0,107.0,1.0,-18.0
2022-11-20,vs Charlotte,W106-102,10-7,102.0,106.0,4.0,-14.0
2022-11-21,vs Charlotte,W106-102,10-7,102.0,106.0,4.0,-14.0
2022-11-22,vs Charlotte,W106-102,10-7,102.0,106.0,4.0,-14.0
2022-11-23,@ Miami,L113-105,10-8,113.0,105.0,-8.0,-22.0
2022-11-24,@ Miami,L113-105,10-8,113.0,105.0,-8.0,-22.0
2022-11-25,@ Miami,L110-107,10-9,110.0,107.0,-3.0,-25.0
2022-11-26,@ Miami,L110-107,10-9,110.0,107.0,-3.0,-25.0
2022-11-27,@ Boston,L130-121,10-10,130.0,121.0,-9.0,-34.0
2022-11-28,vs Minnesota,W142-127,11-10,127.0,142.0,15.0,-19.0
2022-11-29,vs Minnesota,W142-127,11-10,127.0,142.0,15.0,-19.0
2022-11-30,@ Brooklyn,L113-107,11-11,113.0,107.0,-6.0,-25.0
2022-12-01,@ Brooklyn,L113-107,11-11,113.0,107.0,-6.0,-25.0
2022-12-02,@ Charlotte,L117-116,11-12,117.0,116.0,-1.0,-26.0
2022-12-03,@ Charlotte,L117-116,11-12,117.0,116.0,-1.0,-26.0
2022-12-04,vs Los Angeles,L130-119,11-13,130.0,119.0,-11.0,-37.0
2022-12-05,vs Los Angeles,L130-119,11-13,130.0,119.0,-11.0,-37.0
2022-12-06,vs Los Angeles,L130-119,11-13,130.0,119.0,-11.0,-37.0
2022-12-07,@ Chicago,L115-111,11-14,115.0,111.0,-4.0,-41.0
2022-12-08,@ Chicago,L115-111,11-14,115.0,111.0,-4.0,-41.0
2022-12-09,@ Indiana,L121-111,11-15,121.0,111.0,-10.0,-51.0
2022-12-10,vs LA,L114-107,11-16,114.0,107.0,-7.0,-58.0
2022-12-11,vs LA,L114-107,11-16,114.0,107.0,-7.0,-58.0
2022-12-12,vs Brooklyn,L112-100,11-17,112.0,100.0,-12.0,-70.0
2022-12-13,vs Brooklyn,L112-100,11-17,112.0,100.0,-12.0,-70.0
2022-12-14,@ Denver,L141-128,11-18,141.0,128.0,-13.0,-83.0
2022-12-15,@ Denver,L141-128,11-18,141.0,128.0,-13.0,-83.0
